"","V1","V2","V3","V4","V5"
"PC_1",-1.70170390267028,0.991458273502773,4.59989255975771,-1.34803054406864,4.66611285067668
"PC_2",-0.504030734726699,0.065685922782518,-1.97376607045435,3.08333498608277,0.446350057144301
"PC_3",0.0427911157678849,-1.72358379912934,2.96606315122919,1.18789994445858,-0.506291392397259
"PC_4",-0.354059076942792,1.91954756271955,1.37917891947075,0.400799190265682,-0.791695366166913
"PC_5",0.131928030349712,-0.458703789876159,-0.650069562677716,-0.19846475011375,0.267692631162589
"PC_6",0.0310277388999245,-0.174842819153853,-0.489319906836374,0.0528340434166728,0.0722485863494638
"PC_7",-0.0361140449315024,0.221674617997686,-0.650313979874964,-0.0223581046483614,0.115604914037195
"PC_8",-0.00182251055535496,-0.0379319532175845,0.184850824040863,-0.272804638584141,-0.0370313672249764
"PC_9",0.0293698652177442,-0.0130385395559299,-0.0391188204358881,0.107594656743993,0.0564820713043132
"PC_10",-0.0275416539748695,0.207135551971972,-0.340882285701625,0.227885888403991,0.0940541784997487
"PC_11",0.00696969645706767,0.213523453418601,0.107401547563685,0.12842851099857,-0.0636877601266808
"PC_12",-0.00590954011331114,-0.255046294776952,0.00188773263234067,-0.0402699847768466,0.0318720837414991
"PC_13",0.0447519261467093,-0.0185475444808018,0.175845434457356,0.077513657985505,-0.0112566034755587
"PC_14",-0.0224100549559871,0.230736091407934,-0.0895251668966399,-0.0992820520877662,-0.00439055178136093
"PC_15",0.0116559445501547,-0.069093645797376,-0.277480976922621,-0.0236016464618425,0.0693048316731392
