"","V1","V2","V3","V4","V5"
"AC133103.1",-0.00160177820514778,0.0047285422410519,0.00375616115636191,0.00952293991880888,-0.00053185394011588
"AC168977.1",-0.00202442718842608,0.00358396304711528,0.00759847956024341,0.00893670460920113,0.00280274661332035
"CAAA01118383.1",0.0025652633318739,0.00172748027954176,0.0038531312871161,0.00400995660261893,0.000856290265687952
"Vamp7",0.021813982845148,0.0112194928395914,0.0229912390227907,0.0302823744769817,0.0138368460952188
"Tmlhe",0.00126630978126079,-0.000278016128927808,0.00101541985650181,0.000812753907917742,0.000289432324946165
"CAAA01147332.1",0.000831201449273784,0.000778552945313498,-0.00150218329411457,0.0023759470454537,-7.75696701034584e-05
"AC149090.1",0.562142539502109,0.360274322976506,0.708150103484287,0.68807045493302,0.329452828401195
"Xkr4",0.0406824209710507,0.00971268243672841,-0.000514536452996033,-0.00874976676273495,0.0410862411540925
"Mrpl15",0.00798837523383053,0.0117701009096288,0.00153107933299374,0.0125955733931488,0.00649840886155541
"Rgs20",0.00378363783851192,0.00327596323970742,0.00443813837343203,0.00425912149597488,0.0107975428005548
"4732440D04Rik",0.00426984338326171,0.00381824022621562,0.0153729769970942,0.0273283164612829,0.00728241150612367
"Gm26901",-0.000370406262825765,0.000289001250249434,-3.57264725373428e-05,0.00500791014674264,-0.000234843461897831
"2610203C22Rik",0.00327564077109507,-0.000472697225845061,0.00167127323303556,-0.000215940961155268,0.00154561599389865
"Mybl1",0.0708172021651215,0.00610628718644268,0.0112804230549316,0.00899010604689425,0.281327831001834
"Vcpip1",0.131068874353434,0.0660725117227566,0.132749124239706,0.131196152662959,0.14523438778582
"Snhg6",0.00422473246525369,0.00367416246260029,0.00562969731865399,0.00692476088568703,0.00976007575840183
"Tcf24",0.000514430348131011,0.00159376020639772,-0.000164371682239685,0.00161437219980441,-0.00149902776881708
"Cops5",0.0168750328565657,0.0145665261243568,0.0353369021238896,0.0157947416156019,0.0284724933360469
"Arfgef1",0.426386773248699,0.222292067580519,0.0928436042736318,0.116051135096381,0.260233127468955
"Slco5a1",0.00211395332326472,0.00118709463714414,0.000129483953811156,0.000531747856500633,0.00510433454923187
"Ncoa2",0.0872497075122129,0.0373576214632787,0.0410539712346267,0.0560113108212736,0.0732720914064269
"Tram1",0.0976722600667583,0.0591971677911705,0.0630973491987475,0.0867886320147267,0.0932095643337835
"Lactb2",0.0317656228315775,0.0129206870011599,0.0336382411856315,0.0474470905193178,0.0230839576828464
"Eya1",-0.0115274596271887,0.0166831590955424,0.0521838623551525,0.0756225563869529,-0.00668218576310844
"Rpl7",0.0303213944556339,0.0368735431843459,0.0400609948322542,0.0587556548942431,0.0456992051494768
"Stau2",0.0573234959070974,0.0149830795683066,0.0197455243519627,0.0306988255462261,0.0685100090628534
"Ube2w",0.00764171406459571,0.0095344828447988,0.0114863631674408,0.0136524099359491,0.00490990777037641
"Eloc",0.0306476461663626,0.0242346292832019,0.0218783033295032,0.0282561355910371,0.0454493337821439
"Jph1",0.037542841887712,0.0112213623662364,0.00346977768484949,-0.00603851590190329,0.0379359781037213
"Pkhd1",-0.0211999894402656,0.0203657771145293,0.101627506499854,0.13146341952174,-0.00715793020813485
"Il17f",0.000651594086004053,0.000111689000392802,-0.000980854295521636,6.52938052080404e-05,0.00440186182088406
"Mcm3",0.0777582930986622,0.0385264809310484,0.0368483709049309,0.05644332977356,0.0867464311630668
"6720483E21Rik",-0.000436623145211609,2.45396512118238e-06,0.0012671375175874,0.00244990252834118,-0.000345646134383527
"Tram2",0.00565955402123877,0.00279074152730994,0.00518865988336385,0.00788511189118327,0.00532844321895526
"Kcnq5",0.0436913247580795,0.010913285612312,-0.00566062864497929,-0.000208244889396088,0.0244792479095722
"Rims1",0.020582072915328,0.0051071475500787,-0.00664411879630897,-0.00181464363585301,0.0503976377420439
"Ogfrl1",0.239960774422591,0.0757336567597803,0.0459937506237957,-0.0209854573871099,0.247054537968181
"Smap1",0.0288699112237934,0.0258193213500866,0.00133421931602217,0.0191653533053121,0.0275767808469639
"Sdhaf4",0.00920592706805874,0.0051102341344407,0.00501365716444997,0.00425654908661408,0.0106511967157089
"Fam135a",0.133212986450723,0.0417715269871352,0.0383123673314672,0.00989640589536991,0.110997835978148
"Adgrb3",0.0586936462366095,0.00605129185361385,-0.00545593130323836,-0.00847774773555137,0.102388616433489
"Phf3",0.134167052954408,0.0967378028416004,0.062391891978945,0.124056201354346,0.16025373841795
"Ptp4a1-1",-0.000223940676564428,0.000786576595411076,0.00582869351392652,0.0026952774495157,-0.000414091942535669
"Prim2",0.0149374468581553,0.00592560232413526,0.0112504616157774,0.0100656859140763,0.0353408536428066
"Bag2",0.00375773355151466,0.00664143782941603,0.00146195435933591,0.00368840228384534,0.00327256140190181
"Zfp451",0.0910021854513198,0.0333328643278566,0.02616447257089,0.0549753910261797,0.106031416215837
"Gm26788",9.8314667677123e-05,0.000564058251499653,0.00158642947189257,0.000552474904306826,0.000107430756200195
"Gm37233",0.0209082766912029,0.0128824848813018,0.0106472270844363,0.0445308936284252,0.0398150693552188
"Ccdc115",0.0111668048528423,0.0116110213817091,0.0028118762784406,0.0138705568439091,0.0090317223519091
"Gm28417",0.00114455712137692,0.00152540972808443,0.00551839981687122,-0.000320214106348762,0.00269408705227499
"Gm38336",0.00292362028937172,0.00174061625070732,0.00109109383248921,0.000190018567796098,0.00424057632769753
"Fam168b",0.0742440396348334,0.0641623906899466,0.0536063086999603,0.0795750543157672,0.119200213211838
"Uggt1",0.16747616095424,0.0668739944138334,0.050331269241712,0.040951895369874,0.185903695733114
"Neurl3",0.024949948232089,0.00874597778126089,0.014868631668872,-0.00206768066089427,0.0137509692245032
"Kansl3",0.0821665168891213,0.0357112319374179,0.0442941576023238,0.0489214403791991,0.0957077478085723
"Lman2l",0.0109591623132238,0.00353866496541895,0.00307991746953159,0.00541119974893109,0.010212148674918
"Ankrd23",0.0102372683933816,0.0109038509837056,0.0100104738652614,0.0108638163246202,0.00228502373991229
