"","V1","V2","V3","V4","V5"
"PC_1",-3.10619726137744,1.11818516467673,4.71272643311443,6.12449624935645,-2.134391518834
"PC_2",-0.728242461825473,0.183059778429535,-2.68023048435461,0.660040828637818,4.38561034981566
"PC_3",0.0140294880325522,-1.97163944903433,3.60180143128967,-0.671195017422239,1.66159995296709
"PC_4",-0.541231364319967,2.18943480214183,1.56734938895207,-1.04318142314043,0.391015748371815
"PC_5",0.0999013665758051,-0.376862592233996,-0.482973985401334,0.23178353433041,-0.0473892820185805
"PC_6",0.0290197713516394,-0.0847896879202561,-0.370588198224667,0.100626017606971,0.0530048701658957
"PC_7",-0.0207661470216506,0.166099768632369,-0.419694750729288,0.108800897082952,-0.0896153353467961
"PC_8",0.0194493106864201,0.0109717731547045,0.102786046532904,-0.0119617684648938,-0.202936881036234
"PC_9",0.04009346005844,-0.0357979166311626,-0.059786632195189,0.0439997634003753,0.0434333245624644
"PC_10",-0.0471831687088537,0.10003272592456,-0.12842348960828,0.0269069635491635,0.216028349337508
"PC_11",0.00418940235271588,0.0988167125443392,0.00606778267771837,-0.0225553483613065,0.106641903435186
"PC_12",0.014371264462433,-0.109345286912517,-0.0597052776524492,0.0457881369479816,-0.0384015982437263
"PC_13",0.0274615004054279,-0.0352399296879615,0.170414192035916,-0.0501460037615142,0.0848274198522303
"PC_14",0.00844945282487717,0.121368746700881,-0.116892354704265,0.0292398324803866,-0.0723739649152768
"PC_15",0.017745610451294,-0.0355082051332462,-0.266081288965429,0.036507246152688,-0.0405579187437113
