,EGR1,PRDM16,TCF12,LMX1B,CUX1,RARB,KMT2A,EHF,TEAD1,NFIA,PBX1,MEIS2,ZBTB18,SIX1,HSF2,ZBTB7A,SOX9,GRHL2,ICAM1,TBX15,NFKB1,NFIB,CREB1,SIX4,ESR1,EPCAM,NFATC2,RORB,NFIX,PROX1,REST,ZBTB20,SP100,JUND,STAT1,NR3C2,ASCL1,SMAD3,CD44,JUN,PPARG,ZEB1,TCF4,NCAM1,TCF7L2,JUNB,FOS,PKNOX2,RUNX1,RORA,FOXO3,ETS1,CUX2
EGR1,,,,,,,,,,,,10.725413652720984,,,,,,,,,,,,,,,,-11.03313458995728,,,,,,11.262440191283947,4.269528743554138,,,,,,,,,,,39.44099258376199,34.725251592802415,-16.605363656439085,,16.472018173009637,,,
PRDM16,-31.07080446932756,,,,,,,11.159009034727848,,19.912214058263658,,,,,,,,,,,,,,,,,,-23.41986760854821,,,,,,,-3.3346326938973685,,,,,23.510181810361534,,13.342870364796294,,,,,,,,40.05413851393097,,,
TCF12,-11.55067641720511,,,,,,,,,,,,,,,,,,,-2.9243369731186313,,,,,,,31.903960560437977,,,,,,,24.92383101637473,,,,,,8.678369900818913,,-10.217226110389463,,,,-3.8677410795077294,-9.765844745650346,,,,,,
LMX1B,,,,,,,,,,,-3.440063641743034,,-21.216860795561132,,,,,,,18.640829731678203,,,,,,,,26.66521956375949,,,,,,,-4.988211501212946,,,,,,,,,,,8.04515120141657,-9.517371427590517,,,4.186625663706178,,,
CUX1,13.810834895056182,,,,,,,,,,,-9.104297359875382,,,,,,,,-2.3449815821450235,,,,,,,,15.42459107892234,,,,,,,,,,,,,,,33.09520789134137,,19.694020058400252,4.771381270255058,,,,11.646021660590812,,,
RARB,-15.30775714096069,5.279182177758656,,,,,,,2.185416656918901,,,,36.80642358285355,,0.7875079032449064,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8573328668805784,,,15.48919645311376,,,,,,,-1.5887776379034222,
KMT2A,-4.788086912730005,,,,,,,,,,,,,,,,,,,,,,,,0.44349769914380444,,,,,,,,,51.76186961124009,10.724290906623752,,,11.884422399983414,,,21.25498726309169,33.07497652404502,,,,-8.920274750041127,,,,,,,
EHF,,,,,,,,,,-28.483612556909513,,,,,-2.485245177567796,,,,,-1.3186040244610415,,,,,,,,,,,,,,27.004624645403336,,11.86164158428921,,,,,,,,,-6.658169914315064,9.860347409356205,5.437644778725618,,,,,,
TEAD1,1.558409747129181,,,,,,,,52.64851316130217,,15.124534577952817,,,,,,,,,,,,19.11793487354898,,,,,,,,,,,22.07192183989248,,,,,,,,,,,13.511582202857426,-8.879172307132396,12.623514682885505,,,,,,
NFIA,6.719619138258105,,,,,,,,,70.69050752842035,,-2.1913874681177568,,,,,,,,,,,,,,,,5.545413394302525,,,,,,19.46849891106146,,,,,,,,,,,,-1.588833179654575,8.232896827337237,,,16.80354146985063,,,
PBX1,,-11.123681859213326,,,12.50710220755173,,,,14.185753848326359,,68.21938751039063,,,,,,,,,,,,,,,,,,,,,,,7.950684986110394,,,,,,,,,,,,2.1694744629252796,3.9406236078871766,,,,,,11.591989125088002
MEIS2,11.757469044315542,,,,,,,-26.627478130523723,,,,,-31.91966477272016,,,,,,,,,,,,,,,,,,-40.24330878819673,,,,26.84554196826366,,,,,,,14.405776761069973,5.124803984246007,,-38.26679195175889,,,,,,12.90908592102418,,
ZBTB18,,,,,,,,,,,,,0.7351235804675252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIX1,19.91829855651194,,,,,,,,,31.01644663242518,,-29.87814479254164,13.548902973992858,,,,,,,,,,,,,,3.694990964759399,,,,,,,,,,,8.223401271558465,,,,13.354627736288633,28.821569955852368,,,,,,,,,,
HSF2,-15.56759779067372,,,,,,,,38.978722266707976,,,,,,,,,,,,,,,,,,,-6.063667094915446,,,,,,,-2.752367944637504,,,,,26.97931238201425,,,,,,-18.38822968842111,-6.668529301104336,,,-12.780789929080411,,,
ZBTB7A,,,,,,,,,,,,,,,,0.7138001843643337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX9,,,,,,,,,,,,,,,,,0.7685694010570095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,17.36086271650608,,,,,,,,,,,,,,,,,,,,,,,,,,9.37476371941672,,,,,0.5689790686042008,,,,,21.67138848931053,,,,8.881855957833283,,,,-12.586771905662241,-3.227742565414052,,,-11.69962506832337,,,
ICAM1,5.71267760418862,,,,,,,,,,,,,,,,1.6083082348660276,,,,0.8548825341740497,,,,,,,,,,,,,,,,,,,,,,-3.769503018690708,,,,,,1.506495123497488,,,,
TBX15,49.84466298849838,,,,,,,,,11.643908561713413,,37.88161939159197,,,,,1.9820401264963863,,,,,,,,,,2.3621939752578665,,,,,,,,-0.02054949266622841,,19.527339095175908,,,,,,,,,,,,,,-2.849511456427636,,
NFKB1,,,,,,,,,,,,,,,,,,,,,,,,,4.977914827627787,,,,,9.949936319713808,,,,2.3779751859071934,,,,,,,,,,,,5.254163599385705,-3.9894967015286635,0.6459631373210969,,,1.9780897528629329,,
NFIB,,,,,,,,,,,9.899104280039237,,6.6052968068270355,,,,,,,,,65.47729338178591,,,,,,,,,,,,,12.152903923393158,,,-2.606100990047723,,18.797655121068185,,,,,4.25726504894061,,,,,,10.105467540012242,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37146480630700074,,,,,,,,
SIX4,14.06330439472699,,,,,,,,,17.79741612715402,,-17.126350419874775,,,,,,,,,,,,,,,10.273280529112503,,,,,,,,,,,16.49107646590475,,,,18.67567541003035,26.238849807317578,,25.20379143252488,,,,,,,,
ESR1,-8.004200643310341,,,,,,,,18.507434142560143,3.8795933740952715,,,,,,,,,,,,,-19.491867759361526,,,,,,,,,,,6.540871420505894,,,,,,20.425608072985945,,,,,,,-9.198326715459684,,,,-0.8352138597065296,,
