,PKNOX2,FOS,NR3C2,HSF2,NFIX,CREB1,PPARG,NFKB1,ZBTB20,LMX1B,NCAM1,EHF,JUNB,REST,CUX2,NFATC2,ASCL1,EGR1,SIX4,TCF12,EPCAM,TCF7L2,ESR1,RUNX1,RORA,TEAD1,SIX1,PROX1,CUX1,NFIA,RARB,SP100,FOXO3,MEIS2,ZBTB18,TBX15,TCF4,PRDM16,JUND,SMAD3,SOX9,JUN,KMT2A,CD44,ICAM1,NFIB,ZEB1,ETS1,RORB,ZBTB7A,STAT1,PBX1,GRHL2
PKNOX2,,,,24.862217135298764,,,,,,,,,,32.159703137815036,,,,36.138963899780606,,,,28.951726734223737,,,,,,,,,,,,,27.31781922610502,,32.1450593318566,,,,,,,,,,38.355366901940656,,,,29.39087425775945,,
FOS,,,,19.52414758598666,,,,,,,,,,,,,,,,,,,,,,,,,,,30.154224543885622,35.25479467816449,27.2556975464954,,31.18820794838535,,,30.22845579717166,,,,,,,,,36.132665462271866,,,34.61776872895077,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,1.0614014390303257,,,,,,,,,,,1.1959919761636915,,,,,,,,,,,,,0.215149173734615,,,,
HSF2,,15.430624587810273,,,,,,,,,,,22.184858128170433,,,,,21.15363522972884,,,,,,,23.280909908786896,43.85362053884516,,,,,,,,,,,,,,,,37.09854171220357,,,,,,,21.35242172483545,,21.994960592893243,,
NFIX,,,,40.3714867085762,,,,23.224615028731655,,,,26.915189102429448,,,,,,,,,,,,,35.5310653563499,,,20.937630107041514,,,,,,,,,,,,,,,,,,,,,33.44933469137227,,24.605106333798485,,33.112554555991125
CREB1,,,,,,,,,,,,,,,,,,,,,,0.37373406405515824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,,23.190921839215967,,,,,,,,,,,32.29948851821333,,,,,,,,,,,,26.705760430578284,,,,,,,,,,,,22.78822918075051,,25.468246483901954,,,17.941883958676183,,,,,24.279497021317667,,22.523195720384148,,,,
NFKB1,17.891609221361602,13.578313293860665,,,,,,,,,,,15.261894987351193,,,,,,,,,,13.333324940559551,,,,,16.262546437767707,,,,,12.089181153493973,,,,,,19.23826818087903,,,,,,,,,,,,,,
ZBTB20,,19.17722634610301,,,,,,,,,,35.329445660462355,23.62579675039014,,,,,,,,,23.7565098386952,,,,,,,,,,,,,,,29.190171440882878,,26.138831031884486,,,28.47132862789983,,,,,28.2536235425283,,,,,,
LMX1B,,21.306046931189954,,,,,,,,,,,23.560303797781756,,,,,,,,,,,,23.75206426213873,,,,,,,,,,34.39973550610185,23.611967051842395,,,,,,,,,,,,,30.644978219581194,,26.292748547719206,29.540844655260237,
NCAM1,,,,,,,6.348449788624707,,,,,,,8.222790513721081,,,,,,,,,,,,8.138856322391472,,,7.667521640135378,,,,,,,,6.16505651101465,,,,,,,,,,,5.188948598713589,,,,,
EHF,,21.09456819876509,27.045318002054877,23.12374401091825,,,,,,,,,23.754793924228775,,,,,,,,,29.861157212530895,,,,,,,,38.47557734863466,,,,,,27.374111115268292,,,40.00888170848573,,,,,,,,,,,,,,
JUNB,,,,,,,,,,,,,51.08680041337499,,,,,36.11386868945657,,,,,,,15.46673162026177,16.904528531360377,,18.39093248269011,,,,,,,,,17.05251017658596,,,,,,,,,,16.350505816846667,,13.951426853299996,,,,
REST,,,,,,,,,,,,,,0.8131962407495644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX2,,25.757578367049817,,,,,,,,,,,,,,,,22.00582699329571,,,,,,,32.625737416434404,,,,,,,,,,44.19716960626787,,,,27.787255679464103,,,,,,,,32.9484283907672,,33.686799803239595,23.77141403918376,,,
NFATC2,,12.428519239658161,,,,,,,,,,,21.109908335853074,,,,49.374110655010966,15.139628013536381,,,,,,,,,,,,,,,,,,,,,25.399251914606733,27.391883675722887,,26.92714216652526,,,,,24.917741156425055,,,,,,
ASCL1,,16.94751760025809,,,,,17.82120050083607,,,,,,18.56294323342984,,,43.106429976330084,,15.457753724997271,,,,,,,,,,,,,,,,,21.99725850650932,,36.65139407597118,,,,,,,,,,,,,,33.9625340137494,,
EGR1,20.742201822399178,34.47862541071957,,,,,,,,,,,39.497801473647456,,,,,,,,,,,,21.399614167290075,,,,,,,,,18.93958712495262,,,,,21.538059468504972,,,,,,,,,,20.91277793535601,,15.78351844445134,,
SIX4,,,,,,,,,,,,,,,,20.946998735995546,,21.98063902921854,,,,32.61301571605819,,,,,,,,27.223937137245475,,,,29.537311288204688,,,34.97194166563094,,,23.811025418492818,,,,,,,28.566321256548147,,,,,,
TCF12,,19.791616149501174,,,,,,,,,,,18.445262497974042,,,38.265468832863704,,20.010731201913828,,,,,,,,,,,,,,,,,,21.834976878889123,,,32.36865035229198,,,25.50364889978344,,,,,30.469966560918337,,,,,,
EPCAM,,,,,,,3.969780896656217,,,,,,,,,,,,,,,,3.129514501571326,3.054936360756942,,,,,,,,,,,,,,,,,3.969780896656218,,,,,,,,,,4.1403662516409065,,
TCF7L2,,,,,7.37868543767677,,6.717396323117525,,,,,,,,,,,,,,,,,,,10.491823758865264,,7.081974866716152,,6.970251418471094,,,,,,6.23169819740711,,,,,,,,,,,,,,,,,
ESR1,,22.680727679471108,,,,24.290522217352063,,,,,,,,,,,,25.88569224340401,,,,,,,,28.892143470482555,,,,30.144355728572968,,,21.61975828713085,,,,,,25.755441760332772,,,29.707934112724395,,,,,,,,,,,
RUNX1,,,,50.397616229901416,,,,,,,,,,,,,,,,,,52.30763935802268,,,54.566848198788904,,,,,,,,,47.42924905729508,,,67.6689739916926,,,,,,,,,,48.217327794510354,,71.19843683881544,47.690910630799515,47.50865556061971,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,0.734461980274991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,15.145949407806174,,,,20.188176390964635,,,,,,,14.671511513526578,,,,,11.521719854853547,,,,17.630697202009046,,,,52.570571035733565,,,,,,,,,,,,,23.24458984769695,,,,,,,,,,,,,16.659952104476904,
SIX1,,,,,,,,,,,,,,,,27.161257945984715,,24.52827701083208,,,,,,,,,,,,39.789970896224936,,,,33.521920723567504,26.32042010619306,,33.07472161456236,,,20.289672750080488,,,,,,,28.16862118323051,,,,,,
PROX1,22.94857320179151,,,,,,,,,,,,,,,26.083861437248476,43.881458868944314,,,,,20.58485767782127,,,,,,,,,,,23.951813710491628,19.10295339905466,,,,,,,,36.45304440409469,,,,,,,,,21.429035401636472,,
CUX1,,,,,,,,,,,,,21.12640827342941,,,,,24.68451349085989,,,,28.257123648755826,,,23.50108322591886,,,,,,,,,29.139530124754767,,18.580053000765087,37.02202212019913,,,,,,,,,,,,25.898040539943413,,,,
NFIA,,12.356592464651177,,,,,,,,,,,14.93360745186876,,,,,13.690181287126574,,,,,,,22.20256423554181,,,,,70.73738240144678,,,,17.73678497751707,,,,,25.875239704626413,,,,,,,,,,14.748870582749223,,,,
RARB,,,,21.29648727417826,,,,,,,,,,,,,,31.179306071713967,,,,21.84347315720355,,,,22.805657926123537,,,,,,,,,41.111442385677194,,,27.715742464848393,,,,,,,,,25.43779550209682,29.69740090550137,,,,,
SP100,,,,,,,,,,,,,,,40.5410177543077,,,32.39928405215843,,,,,,,27.433216744466126,21.879132303430673,,,26.53938088182355,32.98142729640044,,,,,,,,,,,33.302242930312886,,,,,,,,27.786777629728416,,,,
FOXO3,,,,,,28.81103562028619,,,,,,,,,,,,32.06002445085095,,,,28.170790120699596,,,32.61688981004829,30.678248709669628,,,,,,,140.3671943906949,,,,,,,,,36.21969034909974,,,,,,,31.443442734038985,,32.59849205156381,,
MEIS2,,,,,,,,,,,,52.10714671750282,,56.56849284349579,,,,40.52058816558225,,,,52.817219527539805,,,,,,,,,,,53.34478350223774,,53.40133210753777,,37.04234798783867,,,,,,,,,,47.063922404142254,,,,53.29806275617115,,
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7360037817243608,,,,,,,,,,,,,,,,,,
TBX15,,,,,,,,,,,,,,,,21.81009040322354,27.50861590741483,51.51643841494274,,,,,,,,,,,,28.14530764786009,,,18.574990037982946,39.08302719097838,,,,,,,26.82456757290484,,,,,,,,,,19.642168202318434,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7605610111870043,,,,,,,,,,,,,,,,
PRDM16,,,,,,,,,,,,24.06736351081486,,,,,,35.16213742522012,,,,,,,41.48834862095704,,,,,26.301037516398857,,,,,,,,,,,,26.660826737099192,,,,,28.30711201049146,,27.811288191853546,,18.2815863373914,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8554340075505151,,,,,,,,,,,,,,,0.6751243227532364
SMAD3,,,,,,,,,,,,,,,30.485659545363127,,,,,,,,,,33.97719259271103,,,,32.23240045340678,,,,25.443383990924826,,,25.37128620783414,,,,,,24.5568287455408,,,,,,,35.55860358431935,,28.65593096031377,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7691800782376265,,,,,,,,,,,,
JUN,,,,,,,,,,,,27.03660780811504,,,,,,38.77690705235301,,,,29.07700960116081,,,,,,,,,,,32.08964709006916,27.640577423125688,,,,,,21.62019305184699,,,,,,,19.073072124924664,30.15328250495362,,,,,
KMT2A,,,,,,,24.950794302677025,,,,,,21.14883754883366,,,,,15.611387723751216,,,,,15.219067569890273,,,,,,,,,,,,,,,,51.62156761594756,19.701881715085637,,,,,,,33.99599745577814,,,,18.513193299178347,,
CD44,,,,,,10.671560727851205,11.822070973274158,,,,,,,,,,,,,,,,11.12252945649705,17.400563740785305,,,,,,,,,,,,,,,,10.108767653240879,26.26259861468398,15.679282475917114,,,,,,,,,,,
ICAM1,,,,,,,,2.2724461095551565,,,,,,,,,,6.036540633193873,,,,,,2.008284791941534,,,,,,,,,,,,,4.584789252264315,,,,4.343812715711668,,,,,,,,,,,,
NFIB,,,,,,,,,,,,,,,,,,,,,,21.2912708538796,,,,,,,,,,,16.2385215512113,,22.101311963167426,,,,,16.943139212828406,,22.193098061285315,,,,65.30917181064085,,,,,20.74129886366193,17.283684039663434,
ZEB1,,,,,3.1177879963315767,,2.6606455316953967,,,,,,,,,,,,,,,,,,2.7649046786613254,,,,,4.2084965160454875,,,,,,,,,,,,,,,,,,,3.2150667799100576,,,,
ETS1,,22.819181995461882,,,,,24.664955973567004,,,,,,20.97928062511386,,,,,,,,,24.064347720860056,,,38.181511471903605,,,,,,,,,,,,22.236781189222043,,30.355316362460357,,,,,,,,,,30.895335013360864,,,,
RORB,,19.834827023309657,,,,,,,,,,,23.72111667769645,,,,,26.170798612994172,28.984829734088088,,,,,,,,32.56640382415783,,,,,,30.54290529347124,25.51515160924778,,,,,26.4824416408218,,,,,,,,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7137114262473684,,,
STAT1,,16.373373376004505,,,,,,,,,,31.49274826157999,22.419358861696484,,,,,,,,,20.20237674856691,,,,,,,,34.242302848278335,,,,,,,,,26.406676776980092,,,20.818017338505086,,,,,31.78609194550456,,,,,,
PBX1,,11.011841022362356,,,,,,,,,,,10.944792060476468,,17.25070867427901,,,,,,,,,,,15.428072817320636,,,16.33999283827366,,,,,,,,,16.434860650171355,13.88768983040441,,,,,,,,,,,,,68.26046243088749,
GRHL2,,23.5290258772224,,,,,,,,,,,31.11697271816372,,,,,,,,,,,,31.421489006672022,,,,,,,35.684812894253966,,,,,,35.88304837739081,,33.836326661096834,,,,,,,28.71390536063734,,35.87034437453606,,,,
