,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
ASCL1,,,,,,-0.011550360517694647,,,,,0.0640968484745259,,,,,,0.06765101350011393,,,,,,0.2992368650819994,,,,,,,,-0.06966997547881304,,,,,,,,,,,,,0.20197306903597123,,,-0.20379263868514474,,,0.008164172882462406,,,
CD44,,,0.022211929486124216,,,,,,-0.007756811117406004,,,,,,,-0.19697530730682355,,,,,,,,,,,,,,,0.03350176376872782,,,,,,,-0.08445330873531459,,,-0.061831966751572986,0.3779045669885645,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3738001922560043,,,,,
CUX1,,,,,,0.10503968251863305,,,,,,,,,,,0.03679491964163695,,,,-0.07007074689312509,,,,,,,,,,,,,,,0.08952437818095194,0.11873202782602765,,,,,,,,-0.018221066003503927,,0.25551925539352977,0.15764036520689395,,,,,
CUX2,,,,,,-0.039427743670931936,,,,,-0.059269553945864806,,,,,,,-0.04110664424430627,,,,,,,,,,,,,,,,,,0.040199171523812305,-0.19903431593076348,,,,,,,,,,,,,0.2556483622303463,,0.01307076209086,0.050953518123529995
EGR1,,,,,,,,,,,0.2704017832227783,,,,,,0.3099219821163355,0.08694041113419215,,,0.08407688889654158,,,,,,,,,-0.1306804091299198,,,,,,0.12968286187005013,-0.08755010487587533,,,,,,,0.03390720956841642,,,,,,,,,
EHF,,,,,,,,,,,0.04369394014242911,,,-0.020903130481373156,,,0.080380005072336,0.21179929280731202,,,,,,-0.22192901801186954,,,,0.09312458767347809,,,,,,,,,,,,,,,,,-0.009657471342109147,,,-0.048701529827691825,,,,,
EPCAM,,,,,,,,,0.15468851907323944,,,,,,,,,,,,,,,,,,,,,,0.020977093768547173,,,,,,,0.13249653472394007,,,,0.052993193867595545,,0.238818932714998,,,,,,,,,
ESR1,,,-0.1502592164969545,,,-0.06463191011705582,,,,,-0.07131489472009134,-0.00204627721892503,,,,0.1604033450570609,,0.04810694853851816,,,,,,0.030523370882014123,,,,,,,,,,,,,,,,,,,,,,,,,0.14859911589218688,,,,
ETS1,,,,,,,,,,,0.14363339986194773,,,,,,0.005379165382472073,0.1743437182269315,,,,,,,,,,,,,0.14133121493263728,,,,,0.18514037328029465,-0.07653223044535618,,,,,,,,,,0.07907416791100147,0.0933662081115374,,,,,
FOS,,,,,,,,,,,,0.08260381066513278,,-0.013619171425694243,,,,,,,,,,,,,,,,,,0.046628904625504064,,-0.12716476403240884,,,,,,,,,0.001904929269608835,,,,,,,-0.17869940687710606,,0.23495631359559238,0.03549294743733078
FOXO3,,,0.07531635110526813,,,-0.027270794533441833,,,,,,0.5476079412313908,,,,0.04948597830200285,,,,,,,,,,,,,,,,,,,,0.032070571275790216,-0.0007999962867798471,,,,,,,0.024860373776774525,,,,-0.022824196338127656,0.03440363949823322,,,,
GRHL2,,,,,,,,,,,-0.026142231620362,,,,,,-0.10003701647998553,,,,,,,,,,,,,,,0.1347244641406652,,,,-0.09043276651116477,0.07205408790115053,,,,0.169939998414884,,0.006532106432930229,,,,,,,,,,0.07167947871606722
HSF2,,,,,,-0.12019245587761862,,,,,-0.05223307335500249,,,,,0.2112553316474296,-0.14315705700097447,,,,,,,,,,,,,,,,,,,-0.10071382308623333,-0.04850805833682237,,,,,,,-0.012784568398294449,,,,,0.3008972804322299,,,,
ICAM1,,,,,,0.357881907342429,,,,,,,,,,,,,,,,,,,,,0.05043820320850395,,,,,,,,,,,0.0941588889166633,,,,0.10091796451664037,,,,,-0.23403132035748436,,,,,,
JUN,,,,,,0.27412495257390035,0.13660966981071532,,,0.19874512499482222,,0.19261984238526808,,,,,,,,,-0.15582023280617774,,,,,,,,,,,,,,,,,,,,0.0005939270523773743,,,,,,,0.15495120286078756,,,,,0.07785850165671904
JUNB,,,,,,0.2833932392023045,,,,,,,,,,,0.40020550603753435,,,,,,,,,,,,,,,,0.09951851093543196,,,0.06301354422104183,-0.012913406016153761,,,,,,,,,,-0.10795944218627684,,-0.08912370115436441,,,,0.028719872440900518
JUND,,,,,,,,,,,,,0.33906615888086483,,,,,,,,,,,,,,,,,,,0.4262689157358136,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,-0.03707874199958361,,,0.003615958941484143,,,,,,,,-0.06999061390930861,0.4036548580320425,,,,,,,,,,,,,0.16862353647858497,,,,,,,,,,0.09401676842057294,,,0.08533319963069685,,,,,,,,,0.2573233514301371
LMX1B,,,,,,,,,,,-0.07244203874732685,,,,,,0.062259661414491074,,,,,,,,,,,,-0.02475985004577741,,,,,,,0.03398906805435492,0.20852242893250772,,,,,,,-0.038952341007946534,0.14803524781337712,,,,,-0.16448057358531842,,,
MEIS2,,,,,,0.044197343148025536,-0.10343620346316473,,,,,0.049774132348572475,,,,,,,,,,,,,,,,,,,,,,,-0.15434771178329876,,,,,,,,,0.10339447649530786,,,0.01952641288394641,-0.1484784972091172,,-0.12463654157230236,,,0.05688930016712962
NCAM1,,,,0.23115502791369036,,,,,,-0.09880398060900097,,,,,,,,,,,,,,,,,,,,,-0.11413103899658783,,,,-0.20927211581978256,,,,,,,,,,,,0.010687462578486573,,0.2307533029678278,,,,
NFATC2,0.35965074860130963,,,,,0.05490739468666839,,,,,0.01360841002879376,,,,,0.07578827022303769,0.029766201655359925,-0.054807161563654394,,,,,,,,,,,,,,,,,,,,,,,-0.11674320870058857,,,,,,,,,,,,-0.05762839608567405
NFIA,,,,,,0.05249596944868595,,,,,0.06497481467698807,,,,,,-0.011296287467743804,0.15151573127011797,,,-0.015485260151526015,,,0.5505555317929922,,,,,,,,,,,,0.13178968375654032,0.04212843460515825,,,,,,,,,,,,,,,,
NFIB,,,,,,,,,,,,0.07919822213941796,,,,0.14700588836332307,,,,,,,,,0.5106837595245804,,,,0.07679792793383433,,,,,,,,,,,,-0.020468830665926085,,,0.09473871526618349,,,,0.03345535453275206,,0.05103771317450423,,,
NFIX,,,,,,,-0.020015084138909955,,,,,,0.13341897019823484,0.291660959663,,,,,,,,,,,,,-0.12596583867906652,,,,,,0.028076526470066643,,,0.2587528784271962,-0.1839289084377782,,,,,,,0.08638547070583802,,,,,,,,,
NFKB1,,,,,,,,,0.07817723103469598,,-0.06112651050460788,0.03332440322795044,,,,,0.08448622860455285,0.03800238169999881,,,,,,,,,,,,0.010016810132439102,,,0.15551607817307866,,,,,,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2648730161000135,0.02080515789204923,,,,,,,,-0.29712203494112,,,,,,,,
PBX1,,,,0.09864770615495766,0.09014887650121628,,,,,,0.029997585665053617,,,,,,0.017175934973899354,0.06045743684584215,,,,,,,,,,,0.5348916172243492,,,-0.08231336941311085,,,,,,,,,,,,,,,,,0.11015663652965513,,,,
PKNOX2,,,,,,-0.15250786405403566,,,,,,,,0.0385599938276171,,,,,,,,,,,,,,,,,,,,,0.08892633276873624,,,,,,,,,-0.018178635088272166,,,-0.10339438139459745,0.0512694037550534,,-0.06570579376080182,,,-0.1984628377433284
PPARG,,,,,,,,,,,-0.13446386893141649,,,,,0.07044133958808496,-0.214304411185264,0.15269957330162048,,,,,,,,,,,,,,,,,,0.1250330869600802,0.09985233060908572,,,,,,,,,,0.14145412476118985,,,,,,-0.10428351952309006
PRDM16,,,,,,-0.2440985822625541,0.08654562738544291,,,,,,,,,0.1827333218108329,,,,,,,,0.1564217666661185,,,,,,,,,,,,0.3116057451525578,-0.18150041264594968,,,,,,,-0.02538761856846039,,,,,,,,,0.10460557973312051
