,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
ASCL1,,,,,,-0.012560095623136758,,,,,0.06228258988785462,,,,,,0.06635527876455072,,,,,,0.29869057646478026,,,,,,,,-0.06850882395886015,,,,,,,,,,,,,0.20046861993373577,,,-0.2034361897440793,,,0.012342373483765323,,,
CD44,,,0.021533057320526405,,,,,,-0.009792937135711943,,,,,,,-0.19840513082880173,,,,,,,,,,,,,,,0.033029761530664836,,,,,,,-0.08386921430349803,,,-0.061520391993476586,0.3787546176807905,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3748299676464245,,,,,
CUX1,,,,,,0.10671665273586206,,,,,,,,,,,0.03670533412237176,,,,-0.0723046470590969,,,,,,,,,,,,,,,0.08728863190089886,0.1160639783165135,,,,,,,,-0.013790930038561022,,0.25582494158674074,0.15890213309262502,,,,,
CUX2,,,,,,-0.03972785455712208,,,,,-0.056019507082682385,,,,,,,-0.041715117197032525,,,,,,,,,,,,,,,,,,0.04078996792010159,-0.20048212354395456,,,,,,,,,,,,,0.25573888762100383,,0.014377427897228456,0.04713267801764226
EGR1,,,,,,,,,,,0.27006808228399454,,,,,,0.30923199147900804,0.08731461927288453,,,0.08407169065406783,,,,,,,,,-0.12936765610153034,,,,,,0.13136650305603909,-0.08481983884402067,,,,,,,0.033658496198953614,,,,,,,,,
EHF,,,,,,,,,,,0.042131661563504674,,,-0.021896793452316765,,,0.07820413255093606,0.21239860705816438,,,,,,-0.2180089738707624,,,,0.09245682499870111,,,,,,,,,,,,,,,,,-0.011938437309940486,,,-0.05263677946523515,,,,,
EPCAM,,,,,,,,,0.1580162327766722,,,,,,,,,,,,,,,,,,,,,,0.021548523532484987,,,,,,,0.12851637942117677,,,,0.05690624250232024,,0.24082697550783977,,,,,,,,,
ESR1,,,-0.15008901451817186,,,-0.05926739711146978,,,,,-0.0710698120789145,-0.010716626841327903,,,,0.15817363109034144,,0.050540004938299965,,,,,,0.033686831709859644,,,,,,,,,,,,,,,,,,,,,,,,,0.14795917543208875,,,,
ETS1,,,,,,,,,,,0.14378490438174907,,,,,,0.006776036510366401,0.1722769898019761,,,,,,,,,,,,,0.1418866628365998,,,,,0.18467959297021203,-0.07478355681923321,,,,,,,,,,0.08152896365386403,0.09244595834428371,,,,,
