,PKNOX2,FOS,NR3C2,HSF2,NFIX,CREB1,PPARG,NFKB1,ZBTB20,LMX1B,NCAM1,EHF,JUNB,REST,CUX2,NFATC2,ASCL1,EGR1,SIX4,TCF12,EPCAM,TCF7L2,ESR1,RUNX1,RORA,TEAD1,SIX1,PROX1,CUX1,NFIA,RARB,SP100,FOXO3,MEIS2,ZBTB18,TBX15,TCF4,PRDM16,JUND,SMAD3,SOX9,JUN,KMT2A,CD44,ICAM1,NFIB,ZEB1,ETS1,RORB,ZBTB7A,STAT1,PBX1,GRHL2
PKNOX2,,,,25.059294418981665,,,,,,,,,,32.27129669081511,,,,36.1591919183405,,,,28.801301852849395,,,,,,,,,,,,,27.187257725224647,,32.04742623723003,,,,,,,,,,38.66948169383662,,,,29.119804214553497,,
FOS,,,,19.294568764801316,,,,,,,,,,,,,,,,,,,,,,,,,,,30.156159047678116,35.52420078500808,27.533809922505636,,31.3432132928911,,,30.116611653589697,,,,,,,,,36.34393511009533,,,34.457627165957966,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,1.0594920644000538,,,,,,,,,,,1.18848813976448,,,,,,,,,,,,,0.2136058577731365,,,,
HSF2,,15.449696199965,,,,,,,,,,,22.296884409103875,,,,,21.31626866143701,,,,,,,23.68437928839696,43.54588639783309,,,,,,,,,,,,,,,,37.638849459341465,,,,,,,21.191083293738064,,21.9334787862323,,
NFIX,,,,40.28602344560299,,,,23.102174099935656,,,,26.767978300411265,,,,,,,,,,,,,35.57081684519367,,,21.089355266880876,,,,,,,,,,,,,,,,,,,,,33.35558320537121,,24.353311708791296,,33.130560553946154
CREB1,,,,,,,,,,,,,,,,,,,,,,0.3738001922560043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,,23.24456786279162,,,,,,,,,,,32.798448602933234,,,,,,,,,,,,27.192564792581855,,,,,,,,,,,,22.70213764360237,,25.668397715461005,,,17.96597234754689,,,,,24.502657303235235,,22.469680685337494,,,,
NFKB1,17.908306948499227,13.550059099828205,,,,,,,,,,,15.204018534079863,,,,,,,,,,13.296019350238454,,,,,16.270071606489154,,,,,11.97031713229275,,,,,,19.25535079725054,,,,,,,,,,,,,,
ZBTB20,,18.912883076736247,,,,,,,,,,35.50006867336362,23.604803942023356,,,,,,,,,23.63522826937654,,,,,,,,,,,,,,,29.329866450153347,,26.21499900476703,,,28.47734513741105,,,,,27.869834401560244,,,,,,
LMX1B,,21.264254499332786,,,,,,,,,,,23.44984160429231,,,,,,,,,,,,23.914173296657847,,,,,,,,,,34.37156073070641,23.739377042499303,,,,,,,,,,,,,30.49524188842689,,26.325144722549624,29.654015975490612,
