,PKNOX2,FOS,NR3C2,HSF2,NFIX,CREB1,PPARG,NFKB1,ZBTB20,LMX1B,NCAM1,EHF,JUNB,REST,CUX2,NFATC2,ASCL1,EGR1,SIX4,TCF12,EPCAM,TCF7L2,ESR1,RUNX1,RORA,TEAD1,SIX1,PROX1,CUX1,NFIA,RARB,SP100,FOXO3,MEIS2,ZBTB18,TBX15,TCF4,PRDM16,JUND,SMAD3,SOX9,JUN,KMT2A,CD44,ICAM1,NFIB,ZEB1,ETS1,RORB,ZBTB7A,STAT1,PBX1,GRHL2
PKNOX2,,,,24.921819428465618,,,,,,,,,,32.37703921067106,,,,35.87886896454818,,,,29.106509908187967,,,,,,,,,,,,,27.277274911503863,,31.92313033799354,,,,,,,,,,38.59109037404768,,,,29.263774260716307,,
FOS,,,,19.39540917182518,,,,,,,,,,,,,,,,,,,,,,,,,,,30.084126063399133,35.53098088966173,27.33674099361347,,31.423122618914192,,,29.956279321555,,,,,,,,,36.31284470541236,,,34.69364644837272,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,1.0596485658672596,,,,,,,,,,,1.2025393105220117,,,,,,,,,,,,,0.21585762272778694,,,,
HSF2,,15.491180133517625,,,,,,,,,,,22.295608105787057,,,,,21.304140936343117,,,,,,,23.58249518465434,43.647885500206876,,,,,,,,,,,,,,,,37.481987055533885,,,,,,,21.127047547821768,,22.1004927679342,,
NFIX,,,,40.32232424159486,,,,23.120468202567192,,,,26.795239827576022,,,,,,,,,,,,,35.85683020369492,,,20.897314820812632,,,,,,,,,,,,,,,,,,,,,33.130432602238116,,24.54876906952728,,32.99837340090626
CREB1,,,,,,,,,,,,,,,,,,,,,,0.373716796039414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,,23.443131080939008,,,,,,,,,,,32.7798790019864,,,,,,,,,,,,27.18712677027858,,,,,,,,,,,,22.60723130005121,,25.45605378982864,,,17.779106849058685,,,,,24.30833648329889,,22.488303089192335,,,,
NFKB1,17.88657223314644,13.657794649193193,,,,,,,,,,,15.411292834005437,,,,,,,,,,13.39740123011893,,,,,16.235295310213196,,,,,11.985867597765527,,,,,,19.231534007308532,,,,,,,,,,,,,,
ZBTB20,,18.997616398268125,,,,,,,,,,35.56699025861226,23.802384292814317,,,,,,,,,23.592038053871466,,,,,,,,,,,,,,,29.213066678656933,,26.164523292623482,,,28.30249829694758,,,,,27.81782947976303,,,,,,
LMX1B,,21.366440044356473,,,,,,,,,,,23.53898565178347,,,,,,,,,,,,23.853174383761896,,,,,,,,,,34.60894402450948,23.659914744049694,,,,,,,,,,,,,30.242822259331522,,26.259686357931578,29.574769889314194,
NCAM1,,,,,,,6.3879295223656625,,,,,,,8.1570656521301,,,,,,,,,,,,8.198778202907883,,,7.663379644313728,,,,,,,,6.194594995948519,,,,,,,,,,,5.1850992434590175,,,,,
