,EGR1,PRDM16,TCF12,LMX1B,CUX1,RARB,KMT2A,EHF,TEAD1,NFIA,PBX1,MEIS2,ZBTB18,SIX1,HSF2,ZBTB7A,SOX9,GRHL2,ICAM1,TBX15,NFKB1,NFIB,CREB1,SIX4,ESR1,EPCAM,NFATC2,RORB,NFIX,PROX1,REST,ZBTB20,SP100,JUND,STAT1,NR3C2,ASCL1,SMAD3,CD44,JUN,PPARG,ZEB1,TCF4,NCAM1,TCF7L2,JUNB,FOS,PKNOX2,RUNX1,RORA,FOXO3,ETS1,CUX2
EGR1,,,,,,,,,,,,18.873086057832143,,,,,,,,,,,,,,,,21.08127731600276,,,,,,21.53363186821818,15.704951339646566,,,,,,,,,,,39.44099258376201,34.725251592802415,20.56866934229505,,21.35843327617794,,,
PRDM16,35.393535385754575,,,,,,,23.93033113780477,,26.235353216495454,,,,,,,,,,,,,,,,,,27.898664352292876,,,,,,,18.43209502825743,,,,,26.397795291120875,,27.99315638778701,,,,,,,,41.84256107459907,,,
TCF12,20.066514945669503,,,,,,,,,,,,,,,,,,,21.80498766483895,,,,,,,38.46899984607775,,,,,,,32.47741706569105,,,,,,25.37982798101877,,30.339701753910745,,,,18.537525641639174,19.830570973280153,,,,,,
LMX1B,,,,,,,,,,,29.625813531191973,,34.477186461657176,,,,,,,23.63599065901223,,,,,,,,30.485003304880024,,,,,,,26.15290774821039,,,,,,,,,,,23.55246969692455,21.330940488936665,,,23.722703794916807,,,
CUX1,24.61913223315313,,,,,,,,,,,28.96951059199547,,,,,,,,18.47920694358769,,,,,,,,25.966997199832274,,,,,,,,,,,,,,,37.13347032575233,,28.164027047686666,21.007885378101772,,,,23.504119187077155,,,
RARB,31.05423910851712,27.767887343265663,,,,,,,22.69674664549473,,,,41.11982044215148,,21.398564075662186,,,,,,,,,,,,,,,,,,,,,,,,,,,25.359450444384233,,,21.802282499961464,,,,,,,29.518521913249963,
KMT2A,15.564547105822136,,,,,,,,,,,,,,,,,,,,,,,,15.464593615800208,,,,,,,,,51.823139664108034,18.48238275732415,,,20.015094962132622,,,24.688122035183145,34.01522892362658,,,,21.061967531547115,,,,,,,
EHF,,,,,,,,,,38.64207166578477,,,,,22.989743970022378,,,,,27.39841313111539,,,,,,,,,,,,,,39.91391177985748,,26.696551727868815,,,,,,,,,29.93978853741148,23.767126486659386,20.960301025348254,,,,,,
TEAD1,11.532125833999237,,,,,,,,52.64851316130215,,16.61307325646628,,,,,,,,,,,,20.059725160987703,,,,,,,,,,,23.414649019773172,,,,,,,,,,,17.698800815396766,14.596658260745956,15.14747034838932,,,,,,
NFIA,13.811053814565721,,,,,,,,,70.69050752842033,,17.73543123070112,,,,,,,,,,,,,,,,14.770242132841986,,,,,,25.961278308533515,,,,,,,,,,,,14.946664931204403,12.37335452271363,,,22.144901716947217,,,
PBX1,,16.39744741382009,,,16.207801070200553,,,,15.50250288477713,,68.21938751039069,,,,,,,,,,,,,,,,,,,,,,,13.895311814919104,,,,,,,,,,,,10.967357263029784,10.909987743585514,,,,,,17.108162346259146
MEIS2,40.50119399982449,,,,,,,52.35531920295553,,,,,53.456572438201256,,,,,,,,,,,,,,,,,,56.97441753904874,,,,53.20200033373437,,,,,,,47.0669443305042,36.961421455004164,,52.619748128305844,,,,,,53.13831633772556,,
ZBTB18,,,,,,,,,,,,,0.7351235804675252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIX1,24.54054627734531,,,,,,,,,39.82124212392079,,33.758046025756094,26.169646050417132,,,,,,,,,,,,,,27.080831848715924,,,,,,,,,,,20.452045765078402,,,,28.00656670060446,32.92587330220329,,,,,,,,,,
HSF2,21.54486702926241,,,,,,,,43.83248679802951,,,,,,,,,,,,,,,,,,,20.951697936971406,,,,,,,22.007549163943306,,,,,37.40547075635692,,,,,,22.114467314069138,15.292653459966719,,,23.661615077431435,,,
ZBTB7A,,,,,,,,,,,,,,,,0.7138001843643337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX9,,,,,,,,,,,,,,,,,0.7685694010570095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,35.46795895421293,,,,,,,,,,,,,,,,,,,,,,,,,,36.042343431717505,,,,,36.07802140729136,,,,,33.53865404276759,,,,28.714061147664935,,,,31.08036218380601,23.589797278343134,,,31.454523426341925,,,
ICAM1,6.012340079473966,,,,,,,,,,,,,,,,4.38326804373076,,,,2.24689478678069,,,,,,,,,,,,,,,,,,,,,,4.596561295667123,,,,,,2.017498155128316,,,,
TBX15,51.58457245003484,,,,,,,,,27.950852392641234,,39.300588464383296,,,,,26.781890366816263,,,,,,,,,,21.707850333823373,,,,,,,,19.612088644271434,,27.557078877134128,,,,,,,,,,,,,,18.25918936473438,,
NFKB1,,,,,,,,,,,,,,,,,,,,,,,,,13.278804630452449,,,,,16.126281537686985,,,,19.234991757317626,,,,,,,,,,,,15.1855247826754,13.553457476719679,17.735394651888477,,,11.886842592755844,,
NFIB,,,,,,,,,,,17.215838429791233,,22.08201035533751,,,,,,,,,65.47729338178594,,,,,,,,,,,,,20.87344495599122,,,16.945410120289324,,22.14135263382238,,,,,21.299726688845652,,,,,,16.30360038524508,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37146480630700074,,,,,,,,
SIX4,22.038534830838252,,,,,,,,,27.16523340789101,,29.653142463501013,,,,,,,,,,,,,,,20.71880350936645,,,,,,,,,,,23.748853240488543,,,,28.532843382847407,34.84500395596138,,32.5797434998313,,,,,,,,
ESR1,26.260572942718255,,,,,,,,29.033497255193332,30.253244370931903,,,,,,,,,,,,,24.655448691696105,,,,,,,,,,,25.915705613621324,,,,,,29.719985470948227,,,,,,,22.793103065122263,,,,21.438815760387794,,
EPCAM,,,,,,,,,,,,,,,,,3.9563823924702364,,,,,,,,3.1407208770724444,,,,,,,,,,4.167083469819441,,,,,,3.956382392470236,,,,,,,,2.995477323986778,,,,
NFATC2,15.17947661784429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22352550892676,,,49.588078315271844,26.941761545154247,,26.475865555021244,,24.972961267567715,,,,21.08617358213925,12.486148647107695,,,,,,
RORB,26.285113488403624,,,,,,,,,,,25.847861448027935,,32.683233501728914,,,,,,,,,,28.846801191059164,,,,,,,,,,26.609908557723173,,,,,,,,,,,,23.654492371403624,19.78106326456183,,,,30.572201907812282,,
NFIX,,,,,,,,27.096462328626863,,,,,,,40.39940903479618,,,33.5549413254244,,,22.948359877639128,,,,,,,33.11642248002625,,20.96293308957596,,,,,24.42836866735021,,,,,,,,,,,,,,,35.79298855947667,,,
PROX1,,,,,,,,,,,,19.218115265287956,,,,,,,,,,,,,,,26.011754786042655,,,,,,,,21.38132380947573,,43.730904158089196,,,36.55248096064492,,,,,20.62983798432139,,,22.878311260300425,,,23.998142525325115,,
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8141219971149063,,,,,,,,,,,,,,,,,,,,,,
ZBTB20,,,,,,,,35.21748990129444,,,,,,,,,,,,,,,,,,,,,,,,,,26.22310709977651,,,,,,28.256565124940398,,28.14141191494187,29.297495165241898,,23.761416214459405,23.480194462492463,19.024460519990306,,,,,,
SP100,32.396000634528036,,,,26.419888068457777,,,,21.76578897169518,32.943197750316784,,,,,,,33.37207129253142,,,,,,,,,,,27.849514444784685,,,,,,,,,,,,,,,,,,,,,,27.426655031906098,,,40.27796742851678
JUND,,0.8551927813102242,,,,,,,,,,,,,,,,0.6767322397009472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT1,,,,,,,,31.525459081901246,,34.01135256433109,,,,,,,,,,,,,,,,,,,,,,,,26.508674962218667,,,,,,20.743087931430892,,31.542120041199897,,,20.289677447439487,22.374218202903837,16.36340689533577,,,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,1.1892587168361926,,,,,,,,0.22028023328861568,,,,,,,,,,,,,,,,,,,,,,1.05974824545967,,,
ASCL1,15.469225598600492,,,,,,,,,,,,21.887536457199612,,,,,,,,,,,,,,43.3983507818563,,,,,,,,33.9017381604029,,,,,,17.774336020702755,,36.63514560111305,,,18.451751543610136,16.936511313331895,,,,,,
SMAD3,,,,,32.06071896245183,,,,,,,,,,,,,,,25.4620466856502,,,,,,,,35.828733305127756,,,,,,,28.80012096370076,,,,,24.694247459663778,,,,,,,,,,33.92693789687672,25.483863582073592,,30.462623881714823
CD44,,,,,,,,,,,,,,,,,26.180393248977087,,,,,,10.594725806996179,,11.274996458260803,,,,,,,,,,,,,10.078857582328853,,15.632955866051413,11.823170812096121,,,,,,,,17.495040689831683,,,,
JUN,38.87894741795668,,,,,,,27.105867086437115,,,,27.397204501989076,,,,,,,,,,,,,,,,,,,,,,,,,,21.55506585708101,,,,19.19985698560305,,,29.057927641626787,,,,,,31.949211593772457,30.333562741092422,
PPARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.58170711228601,,,,,,25.575338858570674,,,,,,17.97753256343119,,24.533728651192618,22.731637918251586,,,32.423895904933275,23.269823002172863,,,26.857365436167527,,,
ZEB1,,,,,,,,,,4.241328866555888,,,,,,,,,,,,,,,,,,3.204247408324636,3.124514003104955,,,,,,,,,,,,2.6488439810580497,,,,,,,,,2.7774738936546948,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7597876176004323,,,,,,,,,,
NCAM1,,,,,7.647021448807586,,,,8.16159725447518,,,,,,,,,,,,,,,,,,,,,,8.228281176137713,,,,,,,,,,6.401538198585891,,6.170079999728155,,,,,,,,,5.190240266515994,
TCF7L2,,,,,,,,,10.4617444467673,6.920452930551241,,,,,,,,,,6.2524709923403305,,,,,,,,,7.32059426980021,7.105777615840746,,,,,,,,,,,6.687820350406137,,,,,,,,,,,,
JUNB,36.18979289225028,,,,,,,,16.949869923789635,,,,,,,,,,,,,,,,,,,14.086831340435022,,18.385289924243903,,,,,,,,,,,,16.64497983763956,16.996601215961565,,,51.295927331939836,,,,15.496217050385088,,,
FOS,,29.954216015009177,,,,30.103913150679368,,,,,,,31.41564841418589,,19.462864920028654,34.42658790803582,,,,,,,,,,,,,,,,,35.6332806038501,,,,,,,,,36.512405029831044,,,,,,,,,27.280426133514123,,
PKNOX2,36.07652790552958,,,,,,,,,,,,27.203864808508815,,24.941484939988623,,,,,,,,,,,,,,,,32.16028446932766,,,,29.210280656585773,,,,,,,38.422729653006506,31.991500047506758,,28.861205854656156,,,,,,,,
RUNX1,,,,,,,,,,,,47.37612485584956,,,50.49042816799317,47.68134153309598,,,,,,,,,,,,70.6165258575133,,,,,,,47.55893684916298,,,,,,,48.482685286906666,68.02434047009264,,52.37155742573951,,,,,54.19831728386428,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7346618029281231,,,
FOXO3,32.73589876337223,,,,,,,,30.79278231775377,,,,,,,,,,,,,,28.562685952660715,,,,,31.14842826956609,,,,,,,32.4680468908086,,,,,36.11703668595302,,,,,27.99577122230211,,,,,32.75192631338712,140.0747538363902,,
ETS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.621985555667127,,,,,,30.418710164620162,,,,,,,24.671257289416925,,22.442520105136573,,24.28095447698117,21.15951443010456,23.056825210154887,,,37.7349999192702,,,
CUX2,21.77844509488453,,,,,,,,,,,,44.26338842074751,,,23.901678098482382,,,,,,,,,,,,33.26633107616161,,,,,,27.88612444321249,,,,,,,,32.76041031101969,,,,,25.694042844072467,,,32.626740617679715,,,
