,PKNOX2,FOS,NR3C2,HSF2,NFIX,CREB1,PPARG,NFKB1,ZBTB20,LMX1B,NCAM1,EHF,JUNB,REST,CUX2,NFATC2,ASCL1,EGR1,SIX4,TCF12,EPCAM,TCF7L2,ESR1,RUNX1,RORA,TEAD1,SIX1,PROX1,CUX1,NFIA,RARB,SP100,FOXO3,MEIS2,ZBTB18,TBX15,TCF4,PRDM16,JUND,SMAD3,SOX9,JUN,KMT2A,CD44,ICAM1,NFIB,ZEB1,ETS1,RORB,ZBTB7A,STAT1,PBX1,GRHL2
PKNOX2,,,,4.935679209934993,,,,,,,,,,11.38257059439824,,,,-19.521006598916557,,,,6.562483680646841,,,,,,,,,,,,,-8.41034160138263,,-13.23448081850846,,,,,,,,,,-25.403243231146032,,,,-2.326865291298829,,
FOS,,,,-1.7432539424888542,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.27708979614833,0.24383094650993153,10.57328776513698,,-22.873524080269565,,,5.968499792064524,,,,,,,,,4.5430972719783265,,,30.074408140235814,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,1.0594920644000538,,,,,,,,,,,-1.18848813976448,,,,,,,,,,,,,0.08322063156819676,,,,
HSF2,,-6.685833389440324,,,,,,,,,,,-18.324103296124726,,,,,-15.3846343523352,,,,,,,-12.891369355037858,38.514851895325414,,,,,,,,,,,,,,,,27.040682450870985,,,,,,,-6.2090314671132685,,-1.6364247549817008,,
NFIX,,,,37.33260283686399,,,,-16.12362735092052,,,,-2.56193076978047,,,,,,,,,,,,,33.12036843868115,,,3.593795388168533,,,,,,,,,,,,,,,,,,,,,-23.542900280035624,,11.057340250347282,,17.077628185374053
CREB1,,,,,,,,,,,,,,,,,,,,,,0.3738001922560043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,,-17.21137522322132,,,,,,,,,,,-27.43096463171381,,,,,,,,,,,,16.00423513089028,,,,,,,,,,,,18.106127969432304,,19.54554538260741,,,9.016491467274875,,,,,-13.34829049895552,,12.781098317962973,,,,
NFKB1,0.6410758484761057,-3.912096672294902,,,,,,,,,,,5.4071186306913805,,,,,,,,,,5.003342786220546,,,,,9.953029003077035,,,,,2.132761806588826,,,,,,2.432152428799926,,,,,,,,,,,,,,
ZBTB20,,13.577333632569681,,,,,,,,,,34.608418944970694,15.921733640303167,,,,,,,,,-3.4887760153618115,,,,,,,,,,,,,,,20.993541033868798,,15.270995571969816,,,25.15675291288874,,,,,24.30723279117766,,,,,,
LMX1B,,-9.272580959657834,,,,,,,,,,,7.969236661054862,,,,,,,,,,,,4.3506007109574245,,,,,,,,,,-21.053513418920772,18.94851172011227,,,,,,,,,,,,,26.69087090336099,,-4.98589964901715,-3.169260805859502,
NCAM1,,,,,,,-3.6521932478908115,,,,,,,-6.69670770623304,,,,,,,,,,,,7.3841056949704935,,,7.396960893238093,,,,,,,,0.3419988025115701,,,,,,,,,,,-3.1617273794880325,,,,,
EHF,,5.59282433823093,11.919947222205208,-2.6756007016157617,,,,,,,,,10.28864064925901,,,,,,,,,-6.233795817944566,,,,,,,,-28.406914305519297,,,,,,-1.2361563317899638,,,27.110309479335946,,,,,,,,,,,,,,
JUNB,,,,,,,,,,,,,51.22630477280438,,,,,36.27433461789497,,,,,,,8.06573366029336,-11.407833747758655,,12.738369399735282,,,,,,,,,-13.818808599843432,,,,,,,,,,3.6761436724352587,,-1.6529159700676805,,,,
REST,,,,,,,,,,,,,,0.81226813199646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX2,,-7.586502905070699,,,,,,,,,,,,,,,,-5.046751189879291,,,,,,,5.1454939550479795,,,,,,,,,,32.72299036548432,,,,-5.261650463271204,,,,,,,,6.522050319811832,,-25.476392439137737,1.6730575476300726,,,
NFATC2,,1.741876483685579,,,,,,,,,,,3.810073811886077,,,,46.035295820967626,7.02814651989357,,,,,,,,,,,,,,,,,,,,,-7.0153166801477616,-14.943130713675354,,9.70089858854882,,,,,-7.376434698966304,,,,,,
ASCL1,,8.20439660473931,,,,,-8.917756861288053,,,,,,8.659329728014576,,,38.30231873049592,,-1.4784461462649252,,,,,,,,,,,,,,,,,1.0450141289551862,,-26.085457751698513,,,,,,,,,,,,,,25.85255283660431,,
EGR1,-16.727092368629734,34.61142825251562,,,,,,,,,,,39.67001371089093,,,,,,,,,,,,16.599406319366416,,,,,,,,,10.76184177875732,,,,,11.128372625176596,,,,,,,,,,-11.206413424112046,,4.340122824757297,,
SIX4,,,,,,,,,,,,,,,,10.495150035250607,,13.983378487483986,,,,25.215110819892804,,,,,,,,17.930928940889995,,,,-17.174819713518488,,,26.539124983874718,,,16.741689962801473,,,,,,,18.45265022477735,,,,,,
TCF12,,-10.16925867450992,,,,,,,,,,,-3.9720188517928987,,,31.90214090515137,,-11.69685914198201,,,,,,,,,,,,,,,,,,-3.1573146619314016,,,24.741193651645865,,,8.75454781137507,,,,,-10.004813017443768,,,,,,
EPCAM,,,,,,,0.3356335002967551,,,,,,,,,,,,,,,,2.4750163051718332,2.119944555583041,,,,,,,,,,,,,,,,,0.8478911018815275,,,,,,,,,,3.8211029234399647,,
TCF7L2,,,,,-0.15627920057443823,,4.04243623209563,,,,,,,,,,,,,,,,,,,9.571705747270514,,-6.215863511134408,,3.0571535213952066,,,,,,-0.1443508273343863,,,,,,,,,,,,,,,,,
ESR1,,-9.12830652417168,,,,-19.233179711610166,,,,,,,,,,,,-8.27288449498313,,,,,,,,19.020686834199918,,,,3.9069914728977952,,,-0.2619234840223921,,,,,,6.157689412930318,,,20.531628167303804,,,,,,,,,,,
RUNX1,,,,-35.91113741444097,,,,,,,,,,,,,,,,,,10.955267907746412,,,21.7886241246744,,,,,,,,,-19.43323647603238,,,-47.496709422076506,,,,,,,,,,11.59375477379411,,51.05230606907871,32.62231945027911,5.763034118098078,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,0.7351228327586505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,12.650824263506014,,,,19.22402316687879,,,,,,,-8.762377594326034,,,,,1.3978437706027953,,,,13.879457091521827,,,,52.53675907192248,,,,,,,,,,,,,21.959843385038855,,,,,,,,,,,,,15.22850688359328,
SIX1,,,,,,,,,,,,,,,,4.03222679982793,,19.90004391234752,,,,,,,,,,,,30.845193166361266,,,,-29.913702753100697,13.635408658483124,,29.120750424383726,,,8.290460910553616,,,,,,,13.14756348750123,,,,,,
PROX1,2.6442892715238915,,,,,,,,,,,,,,,20.880809649455845,40.33919065366398,,,,,-11.437684910187437,,,,,,,,,,,9.459189748925832,3.2508348323549825,,,,,,,,33.29736853834688,,,,,,,,,10.103717630216037,,
CUX1,,,,,,,,,,,,,4.709749714129529,,,,,13.445079362385044,,,,20.1779667464824,,,11.459120407161839,,,,,,,,,-8.969055602320003,,-2.332296448448518,32.706464690371796,,,,,,,,,,,,15.197699561731554,,,,
NFIA,,8.316776278654482,,,,,,,,,,,-1.4459247958712016,,,,,6.7194840894318055,,,,,,,16.869079520837158,,,,,70.47110806950295,,,,-1.9821132993953334,,,,,19.394013602575086,,,,,,,,,,5.392439629460255,,,,
RARB,,,,0.7198997885438582,,,,,,,,,,,,,,-15.525968524644513,,,,15.46295733877048,,,,2.1375527628574096,,,,,,,,,36.72536736911644,,,5.224000856794653,,,,,,,,,2.9138568536857257,-0.6404965196659242,,,,,
SP100,,,,,,,,,,,,,,,-11.650035171260363,,,22.48984170644123,,,,,,,16.033699246172688,-10.621478226951298,,,-12.688363304692711,-23.14471658172425,,,,,,,,,,,20.544068059767135,,,,,,,,4.813918679351244,,,,
FOXO3,,,,,,19.280985882948634,,,,,,,,,,,,-6.981323400561106,,,,-5.842994262560668,,,8.21006624660232,8.80733171154771,,,,,,,140.18763295523607,,,,,,,,,12.668410445312736,,,,,,,-0.20479904941565708,,6.364255686854284,,
MEIS2,,,,,,,,,,,,-26.47966808657015,,-39.51301421652453,,,,11.314519845894553,,,,-38.010495285534006,,,,,,,,,,,12.742177881234564,,-31.906954642509383,,4.998761698290295,,,,,,,,,,14.563660842785191,,,,26.46898598279883,,
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7359751360843185,,,,,,,,,,,,,,,,,,
TBX15,,,,,,,,,,,,,,,,2.1799856988307207,19.739362671624697,49.99638978478329,,,,,,,,,,,,11.859533423916366,,,-2.949787428345464,37.60131750601871,,,,,,,2.187833993249943,,,,,,,,,,-0.19100545198543784,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7603099039454506,,,,,,,,,,,,,,,,
PRDM16,,,,,,,,,,,,11.07784030533669,,,,,,-31.244618529606925,,,,,,,39.88553537952742,,,,,20.021986133263166,,,,,,,,,,,,23.38986519178662,,,,,13.389514205839426,,-23.232052818681556,,-3.2496151767629318,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8525378314716274,,,,,,,,,,,,,,,0.6781323177617297
SMAD3,,,,,,,,,,,,,,,2.403592236588054,,,,,,,,,,24.90010138928905,,,,17.701798597507125,,,,13.84420548971738,,,-11.709474056218806,,,,,,9.866949655722065,,,,,,,30.075057741818647,,7.653439101027269,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7689964938992698,,,,,,,,,,,,
JUN,,,,,,,,,,,,17.486037735771568,,,,,,35.08799392945921,,,,19.83375396618083,,,,,,,,,,,24.655339825314304,-19.944989799190765,,,,,,0.07602266270429137,,,,,,,9.965888212060044,25.439375999337233,,,,,
KMT2A,,,,,,,21.583812669258883,,,,,,-8.9587985803915,,,,,-4.746078975946697,,,,,0.4628427445099683,,,,,,,,,,,,,,,,51.66782182810144,12.034146357833347,,,,,,,32.93738898305754,,,,10.922649552729196,,
CD44,,,,,,1.4215634871119496,2.144112881198577,,,,,,,,,,,,,,,,-0.4964359115139796,-5.405011759060138,,,,,,,,,,,,,,,,-3.95724587210067,24.185892287268114,-12.606419667636706,,,,,,,,,,,
ICAM1,,,,,,,,0.8070112513360634,,,,,,,,,,5.726110517478864,,,,,,1.5065422226666105,,,,,,,,,,,,,-3.7445011257197516,,,,1.6146874322662448,,,,,,,,,,,,
NFIB,,,,,,,,,,,,,,,,,,,,,,4.282285380192265,,,,,,,,,,,10.137372433845483,,6.532827286336537,,,,,-2.620010325238532,,18.81675371050535,,,,65.3675212191463,,,,,12.126555554071476,9.830134775530782,
ZEB1,,,,,-0.11303353495508756,,-2.0189651662935755,,,,,,,,,,,,,,,,,,2.055561070486325,,,,,3.0772813084942117,,,,,,,,,,,,,,,,,,,-1.1586490540894143,,,,
ETS1,,18.385075182329324,,,,,18.09039551137756,,,,,,0.6885331689564187,,,,,,,,,11.950874638276778,,,23.697967779877725,,,,,,,,,,,,10.121493492608183,,22.31599593304724,,,,,,,,,,-9.796125497005589,,,,
