,PKNOX2,FOS,NR3C2,HSF2,NFIX,CREB1,PPARG,NFKB1,ZBTB20,LMX1B,NCAM1,EHF,JUNB,REST,CUX2,NFATC2,ASCL1,EGR1,SIX4,TCF12,EPCAM,TCF7L2,ESR1,RUNX1,RORA,TEAD1,SIX1,PROX1,CUX1,NFIA,RARB,SP100,FOXO3,MEIS2,ZBTB18,TBX15,TCF4,PRDM16,JUND,SMAD3,SOX9,JUN,KMT2A,CD44,ICAM1,NFIB,ZEB1,ETS1,RORB,ZBTB7A,STAT1,PBX1,GRHL2
PKNOX2,,,,5.050062279493371,,,,,,,,,,11.269134180970113,,,,-19.696456013623667,,,,6.844122577323532,,,,,,,,,,,,,-8.342465638713039,,-13.289054557218481,,,,,,,,,,-25.02698133077895,,,,-2.269247538771869,,
FOS,,,,-1.9639111500513171,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.393118571524848,0.28249924178435804,10.372165471808504,,-22.548933324732772,,,6.60896077478746,,,,,,,,,4.478017235835608,,,30.4261481991291,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,1.0614014390303257,,,,,,,,,,,-1.1959919761636915,,,,,,,,,,,,,0.0903862165510565,,,,
HSF2,,-6.723066010947935,,,,,,,,,,,-18.30917276127064,,,,,-15.482648476325872,,,,,,,-12.79510097490408,38.77142853052237,,,,,,,,,,,,,,,,26.47844283809288,,,,,,,-6.556559352033072,,-2.434308197725744,,
NFIX,,,,37.53848291899866,,,,-15.966040923986046,,,,-2.520543850899649,,,,,,,,,,,,,33.07449110824969,,,3.357324729313871,,,,,,,,,,,,,,,,,,,,,-23.60453052928679,,11.196379166695401,,17.078743049091102
CREB1,,,,,,,,,,,,,,,,,,,,,,0.37373406405515824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,,-17.29956376866943,,,,,,,,,,,-26.910871259643855,,,,,,,,,,,,15.756160333691156,,,,,,,,,,,,18.148992227761017,,19.5293287073461,,,9.087883747645035,,,,,-13.80094729967876,,12.833683620840475,,,,
NFKB1,0.5745374659849758,-3.9077106490009843,,,,,,,,,,,5.440435445628228,,,,,,,,,,4.9022689596765066,,,,,9.898991820098503,,,,,1.907216165414627,,,,,,2.4581116767895317,,,,,,,,,,,,,,
ZBTB20,,13.750256230283375,,,,,,,,,,34.43919371585793,15.798743803821843,,,,,,,,,-3.372986284732735,,,,,,,,,,,,,,,20.797204870830935,,15.452117922566458,,,25.064174876591082,,,,,24.579718678508083,,,,,,
LMX1B,,-9.272944487433996,,,,,,,,,,,8.098121621881617,,,,,,,,,,,,4.22210855835773,,,,,,,,,,-21.267940601832724,18.637911489811987,,,,,,,,,,,,,26.870906733010123,,-5.148285932159002,-2.7896347401890424,
NCAM1,,,,,,,-3.645463256631646,,,,,,,-6.681403841805333,,,,,,,,,,,,7.285237204679756,,,7.429118375283091,,,,,,,,0.3275247949902529,,,,,,,,,,,-3.1336251196969753,,,,,
EHF,,5.390450581542166,12.194608995729437,-2.603909949032195,,,,,,,,,9.902628149531354,,,,,,,,,-6.624064716419386,,,,,,,,-28.282705684074795,,,,,,-1.59419940028238,,,27.013335211061527,,,,,,,,,,,,,,
JUNB,,,,,,,,,,,,,51.08680041337499,,,,,36.11386868945656,,,,,,,8.477906290453115,-11.442531014039725,,12.826569180249557,,,,,,,,,-14.017103028037306,,,,,,,,,,3.6441718046121423,,-1.6872644093232954,,,,
REST,,,,,,,,,,,,,,0.8131962407495644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX2,,-7.715760058897162,,,,,,,,,,,,,,,,-5.298492906357868,,,,,,,5.7965555337825325,,,,,,,,,,32.84059978414946,,,,-5.332191190674611,,,,,,,,6.337049444628123,,-26.37096249864175,1.843597109981859,,,
NFATC2,,1.7771159998822017,,,,,,,,,,,3.8357279223300553,,,,45.627263988007925,7.076986803355134,,,,,,,,,,,,,,,,,,,,,-7.090333478790432,-15.000440706496994,,9.931032346803361,,,,,-7.878804267330725,,,,,,
ASCL1,,8.107596182250425,,,,,-8.745033856914818,,,,,,8.475275949015856,,,37.91839807132538,,-1.5752055867384107,,,,,,,,,,,,,,,,,1.2865126852010018,,-26.064817778500018,,,,,,,,,,,,,,25.72247907925498,,
EGR1,-16.850509838025616,34.47862541071959,,,,,,,,,,,39.49780147364747,,,,,,,,,,,,16.83123695631882,,,,,,,,,10.542877722254758,,,,,11.230452498595412,,,,,,,,,,-10.869020911776763,,4.351356196065982,,
SIX4,,,,,,,,,,,,,,,,10.601344369168665,,14.041770054485882,,,,25.27156083021353,,,,,,,,17.920771381878037,,,,-16.951422814943804,,,26.577973997208467,,,16.781971708160924,,,,,,,18.728772544307873,,,,,,
