,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
ASCL1,,,,,,-0.011687345440531183,,,,,0.06347731594787565,,,,,,0.06730012610926428,,,,,,0.3000499735091544,,,,,,,,-0.06795842455954204,,,,,,,,,,,,,0.20075493212311502,,,-0.20369666174914458,,,0.009039490000414485,,,
CD44,,,0.01951866562397031,,,,,,-0.008374385029769726,,,,,,,-0.19653409284753054,,,,,,,,,,,,,,,0.030509269919927196,,,,,,,-0.08414803553220823,,,-0.060455471846239006,0.3793144324765203,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37146480630700074,,,,,
CUX1,,,,,,0.10789714761762637,,,,,,,,,,,0.03727641617386768,,,,-0.07112732312402648,,,,,,,,,,,,,,,0.09098454422336555,0.12050461780408073,,,,,,,,-0.018320168610508003,,0.25855631165110426,0.15385953170625188,,,,,
CUX2,,,,,,-0.041314294721988276,,,,,-0.05865666577195139,,,,,,,-0.041388632177675744,,,,,,,,,,,,,,,,,,0.042227628379660154,-0.2020594497585948,,,,,,,,,,,,,0.25718829923414255,,0.014930720767682149,0.050316239011807096
EGR1,,,,,,,,,,,0.271291028068769,,,,,,0.3081327545606407,0.08798781399440592,,,0.08379229416188266,,,,,,,,,-0.12972940356593043,,,,,,0.12868764197663785,-0.08619636398404129,,,,,,,0.033355693309016665,,,,,,,,,
EHF,,,,,,,,,,,0.04248159983379385,,,-0.019415977949748364,,,0.07703396413559538,0.21097363004221348,,,,,,-0.22252822310085574,,,,0.0926690748772595,,,,,,,,,,,,,,,,,-0.010301593941101861,,,-0.05201695245558646,,,,,
EPCAM,,,,,,,,,0.1549385058985605,,,,,,,,,,,,,,,,,,,,,,0.01836897574459606,,,,,,,0.130642566489015,,,,0.050681801079954236,,0.2397195586584534,,,,,,,,,
ESR1,,,-0.15228021687001203,,,-0.0625328175258621,,,,,-0.0718619274645288,-0.006525108278957248,,,,0.15957506307020253,,0.0511005579727023,,,,,,0.030309323235119423,,,,,,,,,,,,,,,,,,,,,,,,,0.14458932923875112,,,,
ETS1,,,,,,,,,,,0.14424382876537467,,,,,,0.00909337077729433,0.17382820627253265,,,,,,,,,,,,,0.1376164089935772,,,,,0.18204762196675406,-0.07430338393351266,,,,,,,,,,0.08039032613000907,0.09691359618024742,,,,,
FOS,,,,,,,,,,,,0.08036879410447939,,-0.012028467139403531,,,,,,,,,,,,,,,,,,0.04733111455723504,,-0.12766969988065413,,,,,,,,,-0.0015223474287465733,,,,,,,-0.17943514425805196,,0.236817788342579,0.03749390256287588
FOXO3,,,0.0763304761081422,,,-0.027394833856901113,,,,,,0.5471670071733995,,,,0.04831591120380391,,,,,,,,,,,,,,,,,,,,0.032662100645302394,-0.002418201454222335,,,,,,,0.022955297578669653,,,,-0.023528610700113695,0.03462651403949024,,,,
GRHL2,,,,,,,,,,,-0.025216738792297244,,,,,,-0.09833415551298624,,,,,,,,,,,,,,,0.13563173997270378,,,,-0.09140332084627639,0.07324034155794312,,,,0.16930772257273868,,0.00444514897347037,,,,,,,,,,0.06938949967057262
HSF2,,,,,,-0.12162185773963857,,,,,-0.052097885164877566,,,,,0.21077587798448616,-0.14365804444078983,,,,,,,,,,,,,,,,,,,-0.09984992132094084,-0.047372399179026914,,,,,,,-0.021502874567480457,,,,,0.30452126770865573,,,,
ICAM1,,,,,,0.35704235026178865,,,,,,,,,,,,,,,,,,,,,0.05343015838587806,,,,,,,,,,,0.094155945218593,,,,0.1005192646791267,,,,,-0.2355939386681692,,,,,,
JUN,,,,,,0.27533096960023745,0.1362904605084465,,,0.19934088560894275,,0.19179887487075092,,,,,,,,,-0.1528936902694063,,,,,,,,,,,,,,,,,,,,-0.0006646579710811729,,,,,,,0.15323309782433286,,,,,0.07821237811507109
JUNB,,,,,,0.2827327569707052,,,,,,,,,,,0.40074943228077975,,,,,,,,,,,,,,,,0.09929431287655444,,,0.06128866333964833,-0.012610836841012107,,,,,,,,,,-0.10822654469086873,,-0.08828859227386582,,,,0.027383737710565847
JUND,,,,,,,,,,,,,0.3383661198504736,,,,,,,,,,,,,,,,,,,0.42759639065511207,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,-0.03740692900570308,,,0.0034648257745609756,,,,,,,,-0.06968964648469633,0.4043896063378132,,,,,,,,,,,,,0.1660545879929039,,,,,,,,,,0.09284704999987037,,,0.08378352270799816,,,,,,,,,0.2583982540941017
LMX1B,,,,,,,,,,,-0.07435446427805087,,,,,,0.06285274376106698,,,,,,,,,,,,-0.026875497201117482,,,,,,,0.03270801299770454,0.20832202784187093,,,,,,,-0.038970402353226186,0.14563148227873607,,,,,-0.1657567249653214,,,
MEIS2,,,,,,0.045927613454357585,-0.10401358644735825,,,,,0.05042611687900078,,,,,,,,,,,,,,,,,,,,,,,-0.15720042495389347,,,,,,,,,0.10486539831352998,,,0.02001876556346094,-0.14947965606155822,,-0.12468619051843838,,,0.05627256547292958
NCAM1,,,,0.23180852801712964,,,,,,-0.09658553244821144,,,,,,,,,,,,,,,,,,,,,-0.11608336521548479,,,,-0.20881764710504958,,,,,,,,,,,,0.010159807581911762,,0.2278134007879531,,,,
NFATC2,0.35983363177307953,,,,,0.0561387658112702,,,,,0.013876035884977433,,,,,0.07457522270360006,0.029723237462312424,-0.05347047320796028,,,,,,,,,,,,,,,,,,,,,,,-0.11530547358611853,,,,,,,,,,,,-0.06341206596987181
NFIA,,,,,,0.05249702451764138,,,,,0.0643195064635721,,,,,,-0.01241275921605145,0.15209764774266765,,,-0.017120214594669947,,,0.5522695900657839,,,,,,,,,,,,0.13127766773320804,0.0433235421429885,,,,,,,,,,,,,,,,
NFIB,,,,,,,,,,,,0.07894896515634564,,,,0.14685668063334534,,,,,,,,,0.5115413545452024,,,,0.07733675218780645,,,,,,,,,,,,-0.020360163984747826,,,0.09494456190150896,,,,0.033259883194848516,,0.05160388130333615,,,
NFIX,,,,,,,-0.019094386864870083,,,,,,0.1358602066453901,0.29155615555834224,,,,,,,,,,,,,-0.12366400403910272,,,,,,0.026863794948219888,,,0.2599210524915217,-0.18158158058680895,,,,,,,0.08483051111025408,,,,,,,,,
NFKB1,,,,,,,,,0.0777799191816842,,-0.06233588596138534,0.03090765238848331,,,,,0.0820963062404017,0.03715586227979989,,,,,,,,,,,,0.010093174020642137,,,0.15546775499552834,,,,,,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26493706136491746,0.020918568322773445,,,,,,,,-0.2973146792090481,,,,,,,,
PBX1,,,,0.09771173599649785,0.09056241503975015,,,,,,0.03078612193661867,,,,,,0.016949019241603636,0.06211472645398741,,,,,,,,,,,0.5329639649249273,,,-0.08690376452510407,,,,,,,,,,,,,,,,,0.11082620194004944,,,,
PKNOX2,,,,,,-0.15277866693221842,,,,,,,,0.0371728596408033,,,,,,,,,,,,,,,,,,,,,0.0878508549656502,,,,,,,,,-0.016185734275932784,,,-0.10121531243208665,0.051676268389306335,,-0.06699517779424913,,,-0.1950680160979828
PPARG,,,,,,,,,,,-0.13515707079410155,,,,,0.06860187825512676,-0.21138026823280842,0.1543019889835333,,,,,,,,,,,,,,,,,,0.12569728030562188,0.10216093942970134,,,,,,,,,,0.14200177679394765,,,,,,-0.10577473413666483
PRDM16,,,,,,-0.24274065991662153,0.08717975808381129,,,,,,,,,0.18367329539344945,,,,,,,,0.15556417233018482,,,,,,,,,,,,0.31292295714008594,-0.182967715691783,,,,,,,-0.02605181792107314,,,,,,,,,0.10424117472497119
PROX1,0.3163324626188747,,,,,,,,,,,0.07277968198807544,,,,0.26085277804090534,,,,,0.02681684545267471,,0.1658244308868545,,,,,,,0.020925782663225645,,,,,,,,,,,,,,0.07908840831629654,,,,-0.09066212894630055,,,,,
RARB,,,,,,-0.1195918526637555,,,,-0.012412325296120574,,,,0.006152405494100899,,,,,,,,,,,,,,,,,,0.0412436107637395,,,,,,,,,,,,,,,,0.12100934728995116,0.017073567632178932,0.28755018424104345,,,0.022322913022504498
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8141219971149063,,,,,,,,,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7346618029281231,,,,,,,,,,,,,,,,,
RORB,,,,,,-0.15569292648137745,,,,,-0.09573025373289062,0.06412975298127133,,,,,-0.07699223712449177,0.004156816641904149,,,0.11332165278004813,,,,,,,,,,,,,,,,,,-0.1905793580800308,0.07457647351763219,,,,,,,,,,,,,
RUNX1,,,,,,,,,,,,,,-0.137157449449744,,,,,,,-0.07427078845674318,,,,,,,,,,,,,,,0.08322776804473819,0.1979606824303649,,,,,,,0.022327521192174404,,,-0.18808067680237606,0.042989093869579276,,,,0.12980973725020267,0.04594066945834396
SIX1,,,,,,0.15561170747274955,,,,,,,,,,,,,,,-0.23342300619173195,,0.0288671169121828,0.24231598931582166,,,,,,,,,,,,,,,,,0.06424532243405057,,,,,,0.22516851528009674,,,0.10585080448431927,,,0.10433302918975496
SIX4,,,,,,0.10986956558380467,,,,,,,,,,,,,,,-0.13379961265527185,,0.08026000413369139,0.1390423134933908,,,,,,,,,,,,,,,,,0.12883653488988078,,,,,,0.20499101411966852,0.19690462056660052,,,,,0.14590371414086223
SMAD3,,,,0.13792820972440722,0.017429223439811736,,,,,,,0.10747729681226459,,,,0.07357947656549463,,,,,,,,,,,,,,,,,,,,0.19259398179543818,0.2318738605154474,,,,,,,0.06148092152262957,-0.09280265747416916,,,,,,,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7685694010570095,,,,,,,,,,,
