,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
ASCL1,,,,,,-0.012089139408526628,,,,,0.06344990458320487,,,,,,0.06745068495851547,,,,,,0.29807457989037733,,,,,,,,-0.06985579968819278,,,,,,,,,,,,,0.20034272208845305,,,-0.20416827990213793,,,0.009800414740068875,,,
CD44,,,0.02204225068348309,,,,,,-0.008074666260229901,,,,,,,-0.1943348927639203,,,,,,,,,,,,,,,0.032933336031048754,,,,,,,-0.08469648872186519,,,-0.06149189941275712,0.3814499143342796,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373716796039414,,,,,
CUX1,,,,,,0.10631563505392261,,,,,,,,,,,0.03752144178412897,,,,-0.07254748409889133,,,,,,,,,,,,,,,0.08802448969547194,0.12019148480310216,,,,,,,,-0.015049530788072585,,0.25687734451662464,0.15676056821221762,,,,,
CUX2,,,,,,-0.040248896754870866,,,,,-0.056704272256116406,,,,,,,-0.041721424790336026,,,,,,,,,,,,,,,,,,0.04062786235957444,-0.1981816508332141,,,,,,,,,,,,,0.25835327492636506,,0.018407864508701355,0.04757052021318425
EGR1,,,,,,,,,,,0.27098134249825057,,,,,,0.3093376937640266,0.08841082971319808,,,0.08435712447674065,,,,,,,,,-0.12752472536162335,,,,,,0.1306751776649071,-0.08411709471340867,,,,,,,0.03531432462106682,,,,,,,,,
EHF,,,,,,,,,,,0.04291294226424425,,,-0.022701708181509184,,,0.0802560876910674,0.21213099988982126,,,,,,-0.22419444591920284,,,,0.09295370331004693,,,,,,,,,,,,,,,,,-0.009594474331705238,,,-0.050657620461152186,,,,,
EPCAM,,,,,,,,,0.15572090171765984,,,,,,,,,,,,,,,,,,,,,,0.019106566669744363,,,,,,,0.1281289080321209,,,,0.05466084138472632,,0.23932647967345716,,,,,,,,,
ESR1,,,-0.15323305521527797,,,-0.06147153893885848,,,,,-0.07085231479928017,-0.004673894697046932,,,,0.16199252506337825,,0.05057997310446122,,,,,,0.030060983041849676,,,,,,,,,,,,,,,,,,,,,,,,,0.14415568919922261,,,,
ETS1,,,,,,,,,,,0.14317952855482818,,,,,,0.006932519711077667,0.16994161505346417,,,,,,,,,,,,,0.14072910238681147,,,,,0.18388677556391803,-0.07338007195919,,,,,,,,,,0.08204393267419507,0.09375044293350054,,,,,
FOS,,,,,,,,,,,,0.08226552052641489,,-0.013316950352452062,,,,,,,,,,,,,,,,,,0.04635633557844121,,-0.12915771691522138,,,,,,,,,-0.0005902267307643649,,,,,,,-0.1799632932812878,,0.23799549718675805,0.03592481734022768
FOXO3,,,0.07624660454669285,,,-0.02591678196484104,,,,,,0.550163593763463,,,,0.047633793650392386,,,,,,,,,,,,,,,,,,,,0.033912632975517776,-0.001285600537647702,,,,,,,0.023803715842114215,,,,-0.024325935220412154,0.032266409746779634,,,,
