gene,perturb,mean
ASCL1,activate,-0.6107401666666665
ASCL1,knockdown,-0.22564
CREB1,activate,-0.1985199999999999
CREB1,knockdown,-0.014316
CUX1,activate,-0.0414504
CUX1,knockdown,-0.57657725
CUX2,activate,-0.5150324166666665
CUX2,knockdown,-0.1184443333333333
EGR1,activate,-0.8037620357142857
EGR1,knockdown,-0.394017
EHF,activate,-0.124491
EHF,knockdown,-0.5444681666666665
ESR1,activate,-0.126298
ESR1,knockdown,-0.3181516
ETS1,activate,-0.066283
ETS1,knockdown,-0.10319
FOS,activate,-0.5093496
FOS,knockdown,-0.369771
FOXO3,activate,-0.255872
FOXO3,knockdown,-0.6534681666666667
GRHL2,activate,-0.032943
GRHL2,knockdown,-0.3284048
HSF2,activate,-0.5468527499999999
HSF2,knockdown,-0.275612
JUN,activate,-0.1673245714285714
JUN,knockdown,-0.1512948333333333
JUNB,activate,-0.4290647142857143
JUNB,knockdown,-0.334395
JUND,activate,-0.1651338571428571
JUND,knockdown,-0.6074265999999999
KMT2A,activate,-0.057314
KMT2A,knockdown,-0.045078
LMX1B,activate,-0.039638
LMX1B,knockdown,-0.066449
MEIS2,activate,-0.7784663333333334
MEIS2,knockdown,-0.385183
NFATC2,activate,-0.6245255833333333
NFATC2,knockdown,-0.18524
NFIA,activate,-0.4815588571428571
NFIA,knockdown,-0.8600481666666667
NFIB,activate,-0.051156
NFIB,knockdown,-0.078439
NFIX,activate,-0.123402
NFIX,knockdown,-0.6519096
NFKB1,activate,-0.047966
NFKB1,knockdown,-0.0589494
NR3C2,activate,-0.086412
NR3C2,knockdown,-0.076006
PBX1,activate,-0.1162568571428571
PBX1,knockdown,-0.1477316666666666
PKNOX2,activate,-0.5010686
PKNOX2,knockdown,-0.05091
PPARG,activate,-0.054492
PPARG,knockdown,-0.5924845833333333
PRDM16,activate,-0.163845
PRDM16,knockdown,-0.6233759999999999
PROX1,activate,-0.7047349166666667
PROX1,knockdown,-0.188056
RARB,activate,-0.0635568
RARB,knockdown,-0.183881
REST,activate,-0.150648
REST,knockdown,-0.5045404166666666
RORA,activate,-0.8376218333333334
RORA,knockdown,-0.3710008571428571
RORB,activate,-0.7961814166666666
RORB,knockdown,-0.432475
RUNX1,activate,-0.079518
RUNX1,knockdown,-0.079322
SIX1,activate,-0.5014398
SIX1,knockdown,-0.074372
SIX4,activate,-0.4432591999999999
SIX4,knockdown,-0.068036
SMAD3,activate,-0.152344
SMAD3,knockdown,-0.6162456
SOX9,activate,-0.136979
SOX9,knockdown,-0.54702175
SP100,activate,-0.10499
SP100,knockdown,-0.354987
STAT1,activate,-0.0460579999999999
STAT1,knockdown,-0.6961178333333334
TBX15,activate,-0.7577833333333333
TBX15,knockdown,-0.247681
TCF12,activate,-0.059767
TCF12,knockdown,-0.01954
TCF4,activate,-0.6596344000000001
TCF4,knockdown,-0.256833
TCF7L2,activate,-0.368383
TCF7L2,knockdown,-0.8564963333333333
TEAD1,activate,-0.073462
TEAD1,knockdown,-0.175866
ZBTB18,activate,-0.070359
ZBTB18,knockdown,-0.4130548571428571
ZBTB20,activate,-0.094294
ZBTB20,knockdown,-0.079199
ZBTB7A,activate,-0.128843
ZBTB7A,knockdown,-0.126484
ZEB1,activate,-0.534815
ZEB1,knockdown,-0.3355728333333334
