,cluster,attr,gene,perturb,score
0,NE_1,460574082427359,ASCL1,activate,-0.019208
1,NE_1,460574082427359,ASCL1,knockdown,-0.247075
2,NE_1,460574082427359,CREB1,activate,0.050326
3,NE_1,460574082427359,CREB1,knockdown,-0.001809
4,NE_1,460574082427359,CUX1,activate,-0.014564
5,NE_1,460574082427359,CUX1,knockdown,-0.032867
6,NE_1,460574082427359,CUX2,activate,-0.027168
7,NE_1,460574082427359,CUX2,knockdown,-0.086238
8,NE_1,460574082427359,EGR1,activate,-0.17923
9,NE_1,460574082427359,EGR1,knockdown,-0.033621
10,NE_1,460574082427359,EHF,activate,-0.077373
11,NE_1,460574082427359,EHF,knockdown,-0.004252
12,NE_1,460574082427359,ESR1,activate,-0.027289
13,NE_1,460574082427359,ESR1,knockdown,0.018152
14,NE_1,460574082427359,ETS1,activate,-0.02955
15,NE_1,460574082427359,ETS1,knockdown,0.007568
16,NE_1,460574082427359,FOS,activate,0.056356
17,NE_1,460574082427359,FOS,knockdown,0.02566
18,NE_1,460574082427359,FOXO3,activate,0.009498
19,NE_1,460574082427359,FOXO3,knockdown,-0.047974
20,NE_1,460574082427359,GRHL2,activate,0.067724
21,NE_1,460574082427359,GRHL2,knockdown,-0.005428
22,NE_1,460574082427359,HSF2,activate,0.022524
23,NE_1,460574082427359,HSF2,knockdown,-0.07478
24,NE_1,460574082427359,JUN,activate,-0.109456
25,NE_1,460574082427359,JUN,knockdown,-0.005186
26,NE_1,460574082427359,JUNB,activate,-0.099475
27,NE_1,460574082427359,JUNB,knockdown,-0.018514
28,NE_1,460574082427359,JUND,activate,-0.018213
29,NE_1,460574082427359,JUND,knockdown,0.013147
30,NE_1,460574082427359,KMT2A,activate,0.001327
31,NE_1,460574082427359,KMT2A,knockdown,-0.02756
32,NE_1,460574082427359,LMX1B,activate,-0.079001
33,NE_1,460574082427359,LMX1B,knockdown,-0.058346
34,NE_1,460574082427359,MEIS2,activate,-0.01966
35,NE_1,460574082427359,MEIS2,knockdown,-0.306507
36,NE_1,460574082427359,NFATC2,activate,-0.028374
37,NE_1,460574082427359,NFATC2,knockdown,-0.069021
38,NE_1,460574082427359,NFIA,activate,-0.291642
39,NE_1,460574082427359,NFIA,knockdown,-0.00398
40,NE_1,460574082427359,NFIB,activate,-0.026565
41,NE_1,460574082427359,NFIB,knockdown,-0.01378
42,NE_1,460574082427359,NFIX,activate,-0.089887
43,NE_1,460574082427359,NFIX,knockdown,-0.037028
44,NE_1,460574082427359,NFKB1,activate,0.013629
45,NE_1,460574082427359,NFKB1,knockdown,-0.002563
46,NE_1,460574082427359,NR3C2,activate,0.014293
47,NE_1,460574082427359,NR3C2,knockdown,-0.000995
48,NE_1,460574082427359,PBX1,activate,-0.077343
49,NE_1,460574082427359,PBX1,knockdown,-0.028615
50,NE_1,460574082427359,PKNOX2,activate,0.011488
51,NE_1,460574082427359,PKNOX2,knockdown,0.014775
52,NE_1,460574082427359,PPARG,activate,0.010131
53,NE_1,460574082427359,PPARG,knockdown,0.033832
54,NE_1,460574082427359,PRDM16,activate,-0.099928
55,NE_1,460574082427359,PRDM16,knockdown,-0.022404
56,NE_1,460574082427359,PROX1,activate,-0.010011
57,NE_1,460574082427359,PROX1,knockdown,-0.149922
58,NE_1,460574082427359,RARB,activate,-0.07683
59,NE_1,460574082427359,RARB,knockdown,-0.042938
60,NE_1,460574082427359,REST,activate,-0.106622
61,NE_1,460574082427359,REST,knockdown,-0.038867
62,NE_1,460574082427359,RORA,activate,-0.063804
63,NE_1,460574082427359,RORA,knockdown,-0.330027
64,NE_1,460574082427359,RORB,activate,0.021801
65,NE_1,460574082427359,RORB,knockdown,-0.243185
66,NE_1,460574082427359,RUNX1,activate,-0.004613
67,NE_1,460574082427359,RUNX1,knockdown,-0.051713
68,NE_1,460574082427359,SIX1,activate,-0.030847
69,NE_1,460574082427359,SIX1,knockdown,-0.006754
70,NE_1,460574082427359,SIX4,activate,-0.036757
71,NE_1,460574082427359,SIX4,knockdown,-0.085002
72,NE_1,460574082427359,SMAD3,activate,0.094048
73,NE_1,460574082427359,SMAD3,knockdown,-0.009257
74,NE_1,460574082427359,SOX9,activate,0.039832
75,NE_1,460574082427359,SOX9,knockdown,0.034616
76,NE_1,460574082427359,SP100,activate,-0.056206
77,NE_1,460574082427359,SP100,knockdown,0.041702
78,NE_1,460574082427359,STAT1,activate,-0.034646
79,NE_1,460574082427359,STAT1,knockdown,0.001689
80,NE_1,460574082427359,TBX15,activate,-0.049481
81,NE_1,460574082427359,TBX15,knockdown,-0.145067
82,NE_1,460574082427359,TCF12,activate,0.056175
83,NE_1,460574082427359,TCF12,knockdown,0.048155
84,NE_1,460574082427359,TCF4,activate,-0.054879
85,NE_1,460574082427359,TCF4,knockdown,-0.317905
86,NE_1,460574082427359,TCF7L2,activate,-0.28142
87,NE_1,460574082427359,TCF7L2,knockdown,-0.076137
88,NE_1,460574082427359,TEAD1,activate,-0.028706
89,NE_1,460574082427359,TEAD1,knockdown,-0.028254
90,NE_1,460574082427359,ZBTB18,activate,-0.054999
91,NE_1,460574082427359,ZBTB18,knockdown,-0.148836
92,NE_1,460574082427359,ZBTB20,activate,-0.002352
93,NE_1,460574082427359,ZBTB20,knockdown,0.00196
94,NE_1,460574082427359,ZBTB7A,activate,-0.006905
95,NE_1,460574082427359,ZBTB7A,knockdown,-0.043119
96,NE_1,460574082427359,ZEB1,activate,-0.00205
97,NE_1,460574082427359,ZEB1,knockdown,-0.255518
98,NE_1,460574082687455,ASCL1,activate,-0.012154
99,NE_1,460574082687455,ASCL1,knockdown,-0.151249
100,NE_1,460574082687455,CREB1,activate,0.033343
101,NE_1,460574082687455,CREB1,knockdown,0.023472
102,NE_1,460574082687455,CUX1,activate,0.011993
103,NE_1,460574082687455,CUX1,knockdown,-0.02778
104,NE_1,460574082687455,CUX2,activate,0.075882
105,NE_1,460574082687455,CUX2,knockdown,-0.125494
106,NE_1,460574082687455,EGR1,activate,-0.158451
107,NE_1,460574082687455,EGR1,knockdown,0.01045
108,NE_1,460574082687455,EHF,activate,-0.092634
109,NE_1,460574082687455,EHF,knockdown,0.016012
110,NE_1,460574082687455,ESR1,activate,0.083213
111,NE_1,460574082687455,ESR1,knockdown,0.002669
112,NE_1,460574082687455,ETS1,activate,0.104498
113,NE_1,460574082687455,ETS1,knockdown,0.010546
114,NE_1,460574082687455,FOS,activate,0.045465
115,NE_1,460574082687455,FOS,knockdown,0.065303
116,NE_1,460574082687455,FOXO3,activate,0.023665
117,NE_1,460574082687455,FOXO3,knockdown,0.047265
118,NE_1,460574082687455,GRHL2,activate,0.093245
119,NE_1,460574082687455,GRHL2,knockdown,0.090737
120,NE_1,460574082687455,HSF2,activate,-0.009035
121,NE_1,460574082687455,HSF2,knockdown,-0.092698
122,NE_1,460574082687455,JUN,activate,0.011832
123,NE_1,460574082687455,JUN,knockdown,0.006624
124,NE_1,460574082687455,JUNB,activate,-0.073149
125,NE_1,460574082687455,JUNB,knockdown,0.003473
126,NE_1,460574082687455,JUND,activate,-0.059387
127,NE_1,460574082687455,JUND,knockdown,0.030835
128,NE_1,460574082687455,KMT2A,activate,-0.013183
129,NE_1,460574082687455,KMT2A,knockdown,0.0981
130,NE_1,460574082687455,LMX1B,activate,-0.003119
131,NE_1,460574082687455,LMX1B,knockdown,0.045079
132,NE_1,460574082687455,MEIS2,activate,0.036398
133,NE_1,460574082687455,MEIS2,knockdown,-0.262467
134,NE_1,460574082687455,NFATC2,activate,0.007363
135,NE_1,460574082687455,NFATC2,knockdown,-0.101444
136,NE_1,460574082687455,NFIA,activate,-0.254333
137,NE_1,460574082687455,NFIA,knockdown,0.025755
138,NE_1,460574082687455,NFIB,activate,-0.009453
139,NE_1,460574082687455,NFIB,knockdown,0.03659
140,NE_1,460574082687455,NFIX,activate,-0.047265
141,NE_1,460574082687455,NFIX,knockdown,0.017524
142,NE_1,460574082687455,NFKB1,activate,0.053567
143,NE_1,460574082687455,NFKB1,knockdown,0.017684
144,NE_1,460574082687455,NR3C2,activate,-0.005434
145,NE_1,460574082687455,NR3C2,knockdown,-0.019035
146,NE_1,460574082687455,PBX1,activate,-0.031221
147,NE_1,460574082687455,PBX1,knockdown,-0.013537
148,NE_1,460574082687455,PKNOX2,activate,0.001672
149,NE_1,460574082687455,PKNOX2,knockdown,0.123211
150,NE_1,460574082687455,PPARG,activate,0.013665
151,NE_1,460574082687455,PPARG,knockdown,0.046751
152,NE_1,460574082687455,PRDM16,activate,-0.043407
153,NE_1,460574082687455,PRDM16,knockdown,-0.042442
154,NE_1,460574082687455,PROX1,activate,-0.000354
155,NE_1,460574082687455,PROX1,knockdown,-0.139738
156,NE_1,460574082687455,RARB,activate,-0.071638
157,NE_1,460574082687455,RARB,knockdown,0.064757
158,NE_1,460574082687455,REST,activate,0.022507
159,NE_1,460574082687455,REST,knockdown,0.125173
160,NE_1,460574082687455,RORA,activate,0.014951
161,NE_1,460574082687455,RORA,knockdown,-0.2861
162,NE_1,460574082687455,RORB,activate,0.129771
163,NE_1,460574082687455,RORB,knockdown,-0.187132
164,NE_1,460574082687455,RUNX1,activate,-0.027555
165,NE_1,460574082687455,RUNX1,knockdown,0.068294
166,NE_1,460574082687455,SIX1,activate,-0.015434
167,NE_1,460574082687455,SIX1,knockdown,-0.001093
168,NE_1,460574082687455,SIX4,activate,0.019806
169,NE_1,460574082687455,SIX4,knockdown,-0.060834
170,NE_1,460574082687455,SMAD3,activate,0.130767
171,NE_1,460574082687455,SMAD3,knockdown,0.015659
172,NE_1,460574082687455,SOX9,activate,-0.063696
173,NE_1,460574082687455,SOX9,knockdown,0.066107
174,NE_1,460574082687455,SP100,activate,-0.091605
175,NE_1,460574082687455,SP100,knockdown,0.005659
176,NE_1,460574082687455,STAT1,activate,-0.051124
177,NE_1,460574082687455,STAT1,knockdown,0.022829
178,NE_1,460574082687455,TBX15,activate,0.017009
179,NE_1,460574082687455,TBX15,knockdown,-0.127584
180,NE_1,460574082687455,TCF12,activate,0.087553
181,NE_1,460574082687455,TCF12,knockdown,0.041156
182,NE_1,460574082687455,TCF4,activate,0.024437
183,NE_1,460574082687455,TCF4,knockdown,-0.308447
184,NE_1,460574082687455,TCF7L2,activate,-0.287869
185,NE_1,460574082687455,TCF7L2,knockdown,0.005788
186,NE_1,460574082687455,TEAD1,activate,0.012218
187,NE_1,460574082687455,TEAD1,knockdown,0.009196
188,NE_1,460574082687455,ZBTB18,activate,0.026559
189,NE_1,460574082687455,ZBTB18,knockdown,-0.16022
190,NE_1,460574082687455,ZBTB20,activate,0.047458
191,NE_1,460574082687455,ZBTB20,knockdown,-0.024694
192,NE_1,460574082687455,ZBTB7A,activate,0.020321
193,NE_1,460574082687455,ZBTB7A,knockdown,-0.001865
194,NE_1,460574082687455,ZEB1,activate,0.011157
195,NE_1,460574082687455,ZEB1,knockdown,-0.281952
196,NE_1,460848960332229,ASCL1,activate,-0.020513
197,NE_1,460848960332229,ASCL1,knockdown,-0.20565
198,NE_1,460848960332229,CREB1,activate,0.067513
199,NE_1,460848960332229,CREB1,knockdown,0.053113
200,NE_1,460848960332229,CUX1,activate,-0.027782
201,NE_1,460848960332229,CUX1,knockdown,0.033013
202,NE_1,460848960332229,CUX2,activate,0.043971
203,NE_1,460848960332229,CUX2,knockdown,0.003194
204,NE_1,460848960332229,EGR1,activate,-0.192241
205,NE_1,460848960332229,EGR1,knockdown,0.049974
206,NE_1,460848960332229,EHF,activate,-0.018723
207,NE_1,460848960332229,EHF,knockdown,-0.024312
208,NE_1,460848960332229,ESR1,activate,-0.023128
209,NE_1,460848960332229,ESR1,knockdown,-0.033756
210,NE_1,460848960332229,ETS1,activate,0.060492
211,NE_1,460848960332229,ETS1,knockdown,0.055591
212,NE_1,460848960332229,FOS,activate,-0.027258
213,NE_1,460848960332229,FOS,knockdown,-0.022137
214,NE_1,460848960332229,FOXO3,activate,-0.039786
215,NE_1,460848960332229,FOXO3,knockdown,-0.014648
216,NE_1,460848960332229,GRHL2,activate,0.095212
217,NE_1,460848960332229,GRHL2,knockdown,0.042815
218,NE_1,460848960332229,HSF2,activate,0.080344
219,NE_1,460848960332229,HSF2,knockdown,0.066769
220,NE_1,460848960332229,JUN,activate,-0.041025
221,NE_1,460848960332229,JUN,knockdown,0.000826
222,NE_1,460848960332229,JUNB,activate,-0.149316
223,NE_1,460848960332229,JUNB,knockdown,-0.038189
224,NE_1,460848960332229,JUND,activate,-0.091963
225,NE_1,460848960332229,JUND,knockdown,0.135081
226,NE_1,460848960332229,KMT2A,activate,-0.039263
227,NE_1,460848960332229,KMT2A,knockdown,0.026405
228,NE_1,460848960332229,LMX1B,activate,-0.023762
229,NE_1,460848960332229,LMX1B,knockdown,-0.033729
230,NE_1,460848960332229,MEIS2,activate,0.038355
231,NE_1,460848960332229,MEIS2,knockdown,-0.371624
232,NE_1,460848960332229,NFATC2,activate,0.009857
233,NE_1,460848960332229,NFATC2,knockdown,-0.132438
234,NE_1,460848960332229,NFIA,activate,-0.163248
235,NE_1,460848960332229,NFIA,knockdown,-0.060244
236,NE_1,460848960332229,NFIB,activate,-0.043063
237,NE_1,460848960332229,NFIB,knockdown,-0.008976
238,NE_1,460848960332229,NFIX,activate,-0.104849
239,NE_1,460848960332229,NFIX,knockdown,-0.017429
240,NE_1,460848960332229,NFKB1,activate,0.011261
241,NE_1,460848960332229,NFKB1,knockdown,0.013657
242,NE_1,460848960332229,NR3C2,activate,-0.01195
243,NE_1,460848960332229,NR3C2,knockdown,-0.041549
244,NE_1,460848960332229,PBX1,activate,-0.048267
245,NE_1,460848960332229,PBX1,knockdown,-0.028938
246,NE_1,460848960332229,PKNOX2,activate,0.059088
247,NE_1,460848960332229,PKNOX2,knockdown,0.136898
248,NE_1,460848960332229,PPARG,activate,0.019329
249,NE_1,460848960332229,PPARG,knockdown,0.014758
250,NE_1,460848960332229,PRDM16,activate,-0.152014
251,NE_1,460848960332229,PRDM16,knockdown,-0.035794
252,NE_1,460848960332229,PROX1,activate,-0.005589
253,NE_1,460848960332229,PROX1,knockdown,-0.184421
254,NE_1,460848960332229,RARB,activate,0.054847
255,NE_1,460848960332229,RARB,knockdown,-0.037226
256,NE_1,460848960332229,REST,activate,-0.090614
257,NE_1,460848960332229,REST,knockdown,-0.007599
258,NE_1,460848960332229,RORA,activate,-0.05738
259,NE_1,460848960332229,RORA,knockdown,-0.238525
260,NE_1,460848960332229,RORB,activate,-0.000991
261,NE_1,460848960332229,RORB,knockdown,-0.292326
262,NE_1,460848960332229,RUNX1,activate,-0.0125
263,NE_1,460848960332229,RUNX1,knockdown,0.013822
264,NE_1,460848960332229,SIX1,activate,-0.008591
265,NE_1,460848960332229,SIX1,knockdown,-0.003029
266,NE_1,460848960332229,SIX4,activate,-0.016438
267,NE_1,460848960332229,SIX4,knockdown,-0.103968
268,NE_1,460848960332229,SMAD3,activate,0.017456
269,NE_1,460848960332229,SMAD3,knockdown,0.028057
270,NE_1,460848960332229,SOX9,activate,-0.085548
271,NE_1,460848960332229,SOX9,knockdown,-0.023982
272,NE_1,460848960332229,SP100,activate,-0.031609
273,NE_1,460848960332229,SP100,knockdown,0.067265
274,NE_1,460848960332229,STAT1,activate,-0.108924
275,NE_1,460848960332229,STAT1,knockdown,0.047936
276,NE_1,460848960332229,TBX15,activate,-0.006305
277,NE_1,460848960332229,TBX15,knockdown,-0.140064
278,NE_1,460848960332229,TCF12,activate,0.115174
279,NE_1,460848960332229,TCF12,knockdown,0.128197
280,NE_1,460848960332229,TCF4,activate,-0.029186
281,NE_1,460848960332229,TCF4,knockdown,-0.299292
282,NE_1,460848960332229,TCF7L2,activate,-0.320438
283,NE_1,460848960332229,TCF7L2,knockdown,0.002974
284,NE_1,460848960332229,TEAD1,activate,0.044715
285,NE_1,460848960332229,TEAD1,knockdown,-0.033151
286,NE_1,460848960332229,ZBTB18,activate,-0.009004
287,NE_1,460848960332229,ZBTB18,knockdown,0.023872
288,NE_1,460848960332229,ZBTB20,activate,0.008921
289,NE_1,460848960332229,ZBTB20,knockdown,0.000909
290,NE_1,460848960332229,ZBTB7A,activate,0.025221
291,NE_1,460848960332229,ZBTB7A,knockdown,-0.01385
292,NE_1,460848960332229,ZEB1,activate,-0.024753
293,NE_1,460848960332229,ZEB1,knockdown,-0.143864
294,NE_1,461398716146117,ASCL1,activate,-0.029295
295,NE_1,461398716146117,ASCL1,knockdown,-0.166223
296,NE_1,461398716146117,CREB1,activate,0.002542
297,NE_1,461398716146117,CREB1,knockdown,0.008129
298,NE_1,461398716146117,CUX1,activate,-0.084368
299,NE_1,461398716146117,CUX1,knockdown,-0.008395
300,NE_1,461398716146117,CUX2,activate,-0.026014
301,NE_1,461398716146117,CUX2,knockdown,-0.098942
302,NE_1,461398716146117,EGR1,activate,-0.191114
303,NE_1,461398716146117,EGR1,knockdown,0.014662
304,NE_1,461398716146117,EHF,activate,-0.030182
305,NE_1,461398716146117,EHF,knockdown,-0.057674
306,NE_1,461398716146117,ESR1,activate,-0.005351
307,NE_1,461398716146117,ESR1,knockdown,-0.063113
308,NE_1,461398716146117,ETS1,activate,-0.019481
309,NE_1,461398716146117,ETS1,knockdown,0.033227
310,NE_1,461398716146117,FOS,activate,-0.012061
311,NE_1,461398716146117,FOS,knockdown,-0.001242
312,NE_1,461398716146117,FOXO3,activate,0.030182
313,NE_1,461398716146117,FOXO3,knockdown,0.076239
314,NE_1,461398716146117,GRHL2,activate,0.089719
315,NE_1,461398716146117,GRHL2,knockdown,-0.022644
316,NE_1,461398716146117,HSF2,activate,-0.041386
317,NE_1,461398716146117,HSF2,knockdown,0.002394
318,NE_1,461398716146117,JUN,activate,-0.080821
319,NE_1,461398716146117,JUN,knockdown,-0.037572
320,NE_1,461398716146117,JUNB,activate,-0.185704
321,NE_1,461398716146117,JUNB,knockdown,-0.089039
322,NE_1,461398716146117,JUND,activate,-0.10716
