cluster,gene,mean,count,std,ci95_hi,ci95_lo,sig,mean_sig
AT2 cells_Club cells_2,ASCL1,-0.28244199999999997,10,0.25472450232097155,-0.12456211777532508,-0.44032188222467483,Master destabilizer,no
AT2 cells_Club cells_2,CREB1,-0.0943255,10,0.12312858620541554,-0.018009611612841606,-0.17064138838715842,Master destabilizer,no
AT2 cells_Club cells_2,CUX1,-0.2747845,10,0.2508872305134764,-0.11928298348224092,-0.43028601651775905,Master destabilizer,no
AT2 cells_Club cells_2,CUX2,-0.21587839999999997,10,0.21506559311635345,-0.08257936436578941,-0.34917743563421055,Master destabilizer,no
AT2 cells_Club cells_2,EGR1,-0.38141910000000007,10,0.41638894153648914,-0.12333856023864864,-0.6394996397613515,Master destabilizer,yes
AT2 cells_Club cells_2,EHF,-0.2664669,10,0.2471158302292222,-0.11330292159606509,-0.4196308784039349,Master destabilizer,no
AT2 cells_Club cells_2,ESR1,-0.1815205,10,0.14945549960532659,-0.08888702163211926,-0.27415397836788075,Master destabilizer,no
AT2 cells_Club cells_2,ETS1,-0.0474596,10,0.06577465811423458,-0.006692044535868059,-0.08822715546413193,Master destabilizer,no
AT2 cells_Club cells_2,FOS,-0.20666290000000004,10,0.33079626920086497,-0.0016332481764556872,-0.41169255182354436,Master destabilizer,no
AT2 cells_Club cells_2,FOXO3,-0.3449612,10,0.3104007401486737,-0.15257282805071137,-0.5373495719492887,Master destabilizer,yes
AT2 cells_Club cells_2,GRHL2,-0.1806739,10,0.16223305945490887,-0.08012080798761476,-0.2812269920123852,Master destabilizer,no
AT2 cells_Club cells_2,HSF2,-0.267623,10,0.241438869172118,-0.1179776385132563,-0.41726836148674373,Master destabilizer,no
AT2 cells_Club cells_2,JUN,-0.009709500000000003,10,0.06831220337579191,0.03263084231182055,-0.052049842311820554,Not significant,no
AT2 cells_Club cells_2,JUNB,0.1431002,10,0.1601230265915694,0.24234548009433718,0.04385491990566284,Not significant,no
AT2 cells_Club cells_2,JUND,-0.2221863,10,0.40869026189824437,0.031122548685319718,-0.4754951486853197,Not significant,no
AT2 cells_Club cells_2,KMT2A,-0.032469399999999995,10,0.04347636133757695,-0.0055224720641673455,-0.059416327935832645,Master destabilizer,no
