,FOXO3,FOS,NFIB,STAT1,NFATC2,TCF12,SOX9,LMX1B,PROX1,SP100,ZEB1,KMT2A,JUND,PKNOX2,SIX1,ZBTB18,REST,TCF7L2,CREB1,NCAM1,ETS1,RORA,TCF4,EHF,ASCL1,NFIX,TBX15,JUNB,NFIA,ZBTB7A,TEAD1,JUN,SIX4,PPARG,RUNX1,ZBTB20,RARB,PBX1,CUX2,GRHL2,CUX1,RORB,CD44,NR3C2,MEIS2,EPCAM,NFKB1,ESR1,SMAD3,PRDM16,ICAM1,EGR1,HSF2
FOXO3,80.65454203652887,,,16.053295458123067,,,,,,,,,,,,,,12.178043876292168,13.624552407103161,,,19.990033206258136,,,,,,,,,13.358255811266611,-8.541121919345539,,,,,,,,,,-3.4881735925720223,,,,,,,,,,-10.368413950052698,
FOS,-27.027294410257674,,,,,,,,,7.295513521116777,10.96750327813777,,,,,-23.594033094119194,,,,,,,,,,,,,,-14.015625297334658,,,,,,,9.69204260375815,,,,,,,,,,,,,10.011909000505817,,,-16.318876227832888
NFIB,15.788995774050083,,40.656244710287666,21.312450237430532,,,,,,,,,,,,21.175788951233958,,-8.120546972550697,,,,,,,,,,,,,,-20.360021371400506,,,,,,11.493845756319411,,,,,,,,,,,-22.682900586306058,,,,
STAT1,,-7.154230529537096,,,,,,,,,-2.3712581410321865,,30.73497037060736,,,,,3.723561669345691,,,,,,14.060610765351548,,,,-5.612999395155086,32.84060104322209,,,-14.215176499593884,,,,,,,,,,,,,,,,,,,,,
NFATC2,,-3.91104813227197,,,,,,,,,18.959235590073238,,-14.028596783601115,,,,,,,,,,,,21.383406435835134,,,5.100816364505055,,,,-13.268995620527388,,,,,,,,,,,,,,,,,-21.48731456616866,,,25.278324361284188,
TCF12,,-22.925949751053388,,,10.39612865762158,,,,,,10.49014286388863,,16.60123609253484,,,,,,,,,,,,,,27.21484679415844,-15.305286554845305,,,,-13.985896679660446,,,,,,,,,,,,,,,,,,,,27.844122973617548,
SOX9,,,,,,,0.7370604138691879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1B,,5.883807253151282,,-22.642030477099286,,,,,,,,,,,,2.192338105413308,,,,,,10.158961618559147,,,,,25.334635042278872,16.68838808973629,,,,,,,,,,-2.662260488457052,,,,37.7595300849184,,,,,,,,,,,
PROX1,13.067951409053073,,,16.478124257987055,16.567664776456894,,,,,,,,,21.701713138356414,,,,-13.740786355607108,,,,,,,29.091036739923915,,,,,,,-15.751887496186919,,,,,,,,,,,,,18.345056483451767,,,,,,,,
SP100,,,,,,,21.36705314112607,,,,,,,,,,,,,,,-7.280114347367991,,,,,,,32.70865755960091,,0.1691161007638331,,,,,,,,-9.090898608125261,,25.75604107193048,-12.296030265911291,,,,,,,,,,-5.356919764737124,
ZEB1,,,,,,,,,,,,,,,,,,,,,,-2.6296997248804224,,,,-1.2869613598663956,,,-3.71490099039194,,,,,-0.7859475269107863,,,,,,,,4.679601562972131,,,,,,,,,,,
KMT2A,,,,-15.843928803944927,,,,,,,32.58533583671602,,-19.08141043202336,,,,,,,,,,,,,,,-1.1781657870287627,,,,,,-15.554032168549371,,,,,,,,,,,,,,-9.241370590855265,-11.147757167955415,,,19.60791887441541,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9330901055005651,,,,,,,,,,0.7013626522593978,,,
PKNOX2,,,,14.043107337926505,,,,,,,2.278420201391697,,,,,17.830474275802967,-21.01809686873271,-10.460760106833867,,,,,24.462908651871995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43653719744554,9.350484080655821
SIX1,,,,,15.8873902991543,,,,,,-13.950379733958037,,,,,28.041479711028654,,,,,,,34.819505681117846,,,,,,26.305220779637736,,,,,,,,,,,,,,,,11.361497885082274,,,,-18.482994169992626,,,9.065810071228254,
ZBTB18,,,,,,,,,,,,,,,,0.7345362820280877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REST,,,,,,,,,,,,,,,,,0.7111206557299512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF7L2,,,,,,,,,-4.12757363541066,,,,,,,,,,,,,,,,,7.43470533241104,-1.888225277544348,,7.950782574146533,,-1.9684358278037788,,,5.490015938543601,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,-0.22717111343173352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAM1,,,,,,,,,,,,,,,,,-7.339782191129769,,,,4.743667491493974,,8.449276507107989,,,,,,,,6.096105766013589,,,-4.504407484471084,,,,,,,-3.9521680781731163,,,,,,,,,,,,
ETS1,,-19.44191949539333,,,,,,,,,,,15.670031291615771,,,,,-4.636552829862,,,,27.05597819951328,24.0894368624085,,,,,-4.259461405482269,,,,,,-4.1390053262927236,,,,,,,,23.751272073480397,,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,0.7806655860104149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,0.7667675864427154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,-9.931342297483605,,,,,,,,,,,18.637422745463752,,,,,19.152227697859907,,,,,,,,,-3.588551831999681,-5.127984751302829,33.73967266002979,,,,,,,,,,,,,,,-0.8739689492413059,,,,,,,,,-2.1350074005514457
ASCL1,,-12.279930345519672,,17.719691037060546,29.3928253732125,,,,,,,,,,,14.811781475647175,,,,,,,30.671265815914296,,,,,-2.174397022435824,,,,,,-9.837881253071831,,,,,,,,,,,,,,,,,,19.624847541327494,
NFIX,,,,12.728888813882703,,,,,-17.97707669407404,,,,,,,,,,,,,-16.769080668698763,,15.651850148733528,,,,,,,,,,,,,,,,10.31450358282155,,-25.345684223166806,,,,,-6.729585644042041,,,,,,-22.2264832854443
TBX15,22.717039098083443,,,18.71593786496165,23.79079134451829,,-1.822293890432269,,,,,,,,,,,,,,,,,,31.335457251725884,,,,9.719993836429136,,,,,,,,,,,,,,,,16.42722248661283,,,,,,,15.456463949222007,
JUNB,,,,,,,,,-3.2221847702387345,,4.767117749670171,,,,,,,,,,,-10.073019816462352,-5.586999141559339,,,,,59.6241890262957,,,-7.846754930748648,,,,,,,,,,,-5.37358782110954,,,,,,,,,,19.29817008316707,
NFIA,,-3.1579403504590875,,,,,,,,,,,24.62369377226389,,,,,,,,,6.55620665382816,,,,,,-7.234804496442457,44.50988981241875,,,,,,,,,,,,,-0.8116219460272155,,,-13.963953565698073,,,,,,,-2.313561294412673,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7303636384328371,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,-18.777920605632627,,,,,,,,,,,20.394844595906342,,,,,-4.852864393552846,30.174008020353817,,,,,,,,,-8.502831120613314,,,28.681225738634403,,,,,,,9.812921904484572,,,,,,,,,,,,,,17.344990322865666,
JUN,-27.055064619942065,,,,,,,,,,12.123039361167267,,,,,,,20.5038445612489,,,-29.94210828310198,,,-2.285726043533478,,,,,,,,,,,,,,,,,,,,,-13.762612273237023,,,,12.93360628069027,,,2.3373578632338456,
SIX4,,,,,13.672409550131315,,,,,,-5.6163345418411845,,,,,,,-17.128009909521133,,,,,42.16000858337582,,,,,,30.056608967623962,,,,,,,,,,,,,,,,6.103452467042469,,,,-5.181688861023847,,,13.399548154285856,
PPARG,,1.2409182797567224,,,,,,,,,-17.960706563231817,,10.890240055355173,,,,,,,,,-14.091328120499762,-10.85493257730133,,,,,-10.229057445480606,,,,1.7335686154397543,,,,,,,,,,-35.12458087771474,,,,,,,,,,,
RUNX1,,,,41.53157704808976,,,,,,,-21.476650253178658,,,,,,,46.23487431717176,,,,10.591559225183243,8.995015701322432,,,,,,,3.1521163760212954,,,,,,,,,,,,-12.506453136127424,,,-39.44102887346926,,,,,,,,-1.2110450472652112
ZBTB20,,-12.374465288270036,,,,,,,,,5.840293662171336,,38.92706464288315,,,,,-4.787857755401599,,,,,45.943371299161804,10.210224152282185,,,,7.203596078061243,,,,-24.262131388491202,,,,,,,,,,,,,,,,,,,,,
RARB,,,,,,,,,,,-5.231430642178808,,,,,4.449573874808868,,33.170837735249236,,,3.4370199458712394,,,,,,,,,,11.367756509435095,,,,,,,,,,,,,,,,,,,36.96257827235282,,4.361523678383161,-4.40604414572945
PBX1,,2.181850570696383,,,,,,,,,,,4.203255043213649,,,,,,,,,,,,,,,-1.1213536088895635,,,14.740653277862382,,,,,,,52.233825428349434,3.5598203740784373,,-0.6400546435362531,,,,,,,,,6.630514916072084,,,
CUX2,,-1.8873286962392248,,,,,,,,,13.959740792712518,,4.4157293226791365,,,17.00967859997933,,,,,,18.192890104064134,,,,,,,,-6.944511338008448,,,,,,,,,,,,31.242184135812625,,,,,,,,,,24.74743900239181,
GRHL2,,-14.36540016604495,,,,,,,,21.407961006717738,-4.279863409301247,,,,,,,,,,,39.5865050963653,,,,,,-1.2212200176712047,,,,,,,,,,,,,,26.326346420611443,,,,,,,-1.8189281196377627,19.96165800672436,,,
CUX1,,,,,,,,,,,,,,,,,,30.416679616806572,,,,3.074306291354034,11.518357885165507,,,,-4.189940800285881,8.649416100565066,,,,,,,,,,,,,,-9.47604333901105,,,-25.842923294110168,,,,,,,2.330663437828481,
RORB,-0.3502804135965534,-15.428396804687445,,,,,,,,,,,3.356282810565987,,22.055725662909015,,,,,,,,,,,,,-4.894743513200703,,,,,20.52902177470891,,,,,,,,,,,,28.8721898688135,,,,,,,27.320328297208828,
CD44,,,,,,,7.407609285403676,,,,,,,,,,,,10.811277560926367,,,,,,,,,,,,,-10.552302042522005,,3.2498242195116904,16.207366780018493,,,,,,,,,,,,,8.234611330974728,13.789227471011808,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,0.6070243413477281,,,,,0.9083767686028282,,,,,,,,,,,,,,,1.5899262883324021,,,,,,,,,,,
MEIS2,-13.070539407656966,,,-8.445755399377253,,,,,,,28.344102856217134,,,,,11.218126597949565,-49.27242158070011,-26.617615357110527,,,,,31.27285029226583,-28.665378361714485,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.58638814176358,
EPCAM,,,,5.590296082441465,,,-1.2772836694604854,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.234741375213425,-2.1306954670139433,,,,,,,,,,,,,4.214126633437177,,,,,
NFKB1,16.976772242384794,-12.824367777958404,,,,,,,17.803398881140176,,,,12.868640794259122,11.152147761614534,,,,,,,,,,,,,,2.8354400021265334,,,,,,,,,,,,,,,,,,,,7.913643147618695,,,,,
ESR1,18.417770503285066,-1.4610600033101955,,,,,,,,,,,14.052068200985673,,,,,,3.998331417189052,,,,,,,,,,32.31811183949073,,5.821364619827488,3.9290090938000013,,,,,,,,,,,,,,,,,,,,-15.61568307757832,
SMAD3,19.34618737442831,,,9.485389572962678,,,,,,,,,,,,,,,,,,-7.681599052135518,,,,,-17.931752714095786,,,,,6.27128385067426,,,,,,,-25.36123088456474,,16.60293953690262,-15.42878115530614,,,,,,,,,,,
PRDM16,,,,23.09611310059504,,,,,,,-12.101167536228491,,,,,,,,,,,-14.771408813954562,,9.4459471701242,,,,,29.02765339988022,,,15.211905943050878,,,,,,,,,,-23.42249251145346,,,,,,,,,,-13.671857068757772,
ICAM1,,,,,,,4.987503913378226,,,,,,,,,,,,,,,,-1.3652791063672745,,,,,,,,,,,,6.5353076349131145,,,,,,,,,,,,1.2373801106474969,,,,,-0.5232261154341055,
EGR1,,4.670446008668944,,2.572271430741756,,,,,,,,,6.156047837850721,6.925380626981278,,,,,,,,16.862909636748213,,,,,,21.04911817860686,,,,,,,,,,,,,,32.400272130141396,,,30.972668784623306,,,,,,,,
HSF2,,-14.449279571894028,,1.2048990739218857,,,,,,,,,,,,,,,,,,20.350057345575365,,,,,,-4.913475956489045,,,14.276113369448117,-13.653141572662424,,,,,,,,,,30.726441502147843,,,,,,,,,,25.315165387090342,
