,FOXO3,FOS,NFIB,STAT1,NFATC2,TCF12,SOX9,LMX1B,PROX1,SP100,ZEB1,KMT2A,JUND,PKNOX2,SIX1,ZBTB18,REST,TCF7L2,CREB1,NCAM1,ETS1,RORA,TCF4,EHF,ASCL1,NFIX,TBX15,JUNB,NFIA,ZBTB7A,TEAD1,JUN,SIX4,PPARG,RUNX1,ZBTB20,RARB,PBX1,CUX2,GRHL2,CUX1,RORB,CD44,NR3C2,MEIS2,EPCAM,NFKB1,ESR1,SMAD3,PRDM16,ICAM1,EGR1,HSF2
FOXO3,80.6545420365288,,,31.6982562341834,,,,,,,,,,,,,,26.494785431066095,23.237691772327977,,,22.101031887585986,,,,,,,,,21.248678771272456,28.470598204679153,,,,,,,,,,23.04106084164653,,,,,,,,,,25.360289308913874,
FOS,27.25157113906836,,,,,,,,,12.734612946816812,18.731559744067212,,,,,24.283826403606383,,,,,,,,,,,,,,17.40935277694075,,,,,,,12.434252179261401,,,,,,,,,,,,,14.9595195855933,,,19.687148077367784
NFIB,16.659826455628355,,40.65624471028771,22.65337557626325,,,,,,,,,,,,22.197026319040408,,14.355184779855527,,,,,,,,,,,,,,20.80571818836784,,,,,,14.270729016892815,,,,,,,,,,,23.651810411652935,,,,
STAT1,,13.604795788412886,,,,,,,,,10.255407180105564,,31.374417979878334,,,,,16.023264349878318,,,,,,17.085858807733434,,,,11.01987487447787,33.60991711912348,,,18.004040347818158,,,,,,,,,,,,,,,,,,,,,
NFATC2,,11.180404300085987,,,,,,,,,19.61441917126212,,20.707745857481225,,,,,,,,,,,,22.082200547006217,,,11.86425808831697,,,,15.298693932809353,,,,,,,,,,,,,,,,,22.9278732141921,,,25.55835308285701,
TCF12,,22.986606089849637,,,12.273189035815214,,,,,,13.657738305107646,,21.147654937025187,,,,,,,,,,,,,,27.214846794158426,19.630423620414906,,,,17.069101541711937,,,,,,,,,,,,,,,,,,,,27.844122973617573,
SOX9,,,,,,,0.7370604138691879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1B,,12.139086674240296,,24.346950476512664,,,,,,,,,,,,7.642654142479508,,,,,,12.991854076017013,,,,,25.38098379920999,20.081762013093297,,,,,,,,,,14.934278062341573,,,,37.8225604815698,,,,,,,,,,,
PROX1,15.896249468269161,,,20.83603197329989,18.201646747643,,,,,,,,,21.758556247889732,,,,16.018918775728185,,,,,,,29.09103673992394,,,,,,,16.64466900211509,,,,,,,,,,,,,19.321311245580375,,,,,,,,
SP100,,,,,,,21.978634726024325,,,,,,,,,,,,,,,13.244803819045785,,,,,,,33.83010369191518,,13.09477032732537,,,,,,,,15.771869697254534,,26.712578066090764,14.066621893685554,,,,,,,,,,9.098452090113131,
ZEB1,,,,,,,,,,,,,,,,,,,,,,3.084056008167616,,,,2.881819282602417,,,4.0819718594410555,,,,,1.6635912690707613,,,,,,,,4.67960156297213,,,,,,,,,,,
KMT2A,,,,20.109502156058184,,,,,,,32.7814328088928,,22.62260594983863,,,,,,,,,,,,,,,12.11619434512368,,,,,,16.33378864457192,,,,,,,,,,,,,,15.465361943421831,19.60950225161288,,,21.105084911003743,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9330901055005651,,,,,,,,,,0.7013626522593979,,,
PKNOX2,,,,24.178036619509534,,,,,,,11.96914398436195,,,,,19.739227346986436,22.531866419503274,20.04775959425376,,,,,24.70451300768865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.899291648367683,14.133352217522337
SIX1,,,,,17.078198889363208,,,,,,16.974220892621485,,,,,28.05699884590583,,,,,,,34.82969975854503,,,,,,29.46412440586776,,,,,,,,,,,,,,,,14.728691298399788,,,,18.978398177356166,,,11.342425319577531,
ZBTB18,,,,,,,,,,,,,,,,0.7345362820280877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REST,,,,,,,,,,,,,,,,,0.7111206557299512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF7L2,,,,,,,,,4.240510881474875,,,,,,,,,,,,,,,,,7.436655462421413,2.362582680664593,,8.514791346037192,,3.4283995507091083,,,5.565739171714391,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,0.22717111343173352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAM1,,,,,,,,,,,,,,,,,7.339782191129767,,,,4.74973893934967,,8.449276507107985,,,,,,,,6.357565965337685,,,4.553862911708423,,,,,,,4.710491359164501,,,,,,,,,,,,
ETS1,,19.775630810735695,,,,,,,,,,,21.060196121729465,,,,,11.319230532574686,,,,27.05597819951331,25.29335058232852,,,,,15.308072478302847,,,,,,14.235355873041039,,,,,,,,24.349872576329282,,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,0.7806655860104149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,0.7667675864427154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,18.008526930029745,,,,,,,,,,,25.33313098165233,,,,,21.79196557104888,,,,,,,,,16.98248433913526,18.635597482390807,36.09090556830227,,,,,,,,,,,,,,,16.20130241234598,,,,,,,,,14.918073713531873
ASCL1,,16.103120645058922,,26.121601499190614,30.05419969960886,,,,,,,,,,,16.84158301630653,,,,,,,30.6712658159143,,,,,14.351053737584389,,,,,,14.19969406995205,,,,,,,,,,,,,,,,,,20.354052736447294,
NFIX,,,,14.949550896906718,,,,,18.41570317721112,,,,,,,,,,,,,17.412145005897557,,18.11875929093843,,,,,,,,,,,,,,,,13.096688303818874,,25.405624566116174,,,,,11.018551084191396,,,,,,22.22730390620733
TBX15,23.400830108774723,,,20.836699639203946,24.478643145950354,,11.962561002653624,,,,,,,,,,,,,,,,,,31.56476250533742,,,,16.23554767841755,,,,,,,,,,,,,,,,18.450889433115726,,,,,,,16.193555693947104,
JUNB,,,,,,,,,11.896853092375158,,14.356300612021997,,,,,,,,,,,11.411251926183823,9.972926790885056,,,,,59.62418902629566,,,11.626182498142036,,,,,,,,,,,11.576027808632409,,,,,,,,,,19.473722667009913,
NFIA,,12.330212415849449,,,,,,,,,,,25.327058031025103,,,,,,,,,13.884439990252066,,,,,,12.609008064984002,44.509889812418734,,,,,,,,,,,,,12.608094938524582,,,17.296369577602547,,,,,,,9.131944647960735,
