,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
ASCL1,,,,,,0.15331910156249995,,,,,-0.09593694531250008,,,,,,-0.016987476562500048,,,,,,0.22963141406250004,,,,,,,,-0.07685844531249997,,,,,,,,,,,,,0.1384351640625,,,0.23961924218749997,,,0.11571703906250008,,,
CD44,,,0.1689261875000001,,,,,,0.12866581250000003,,,,,,,-0.16487981250000006,,,,,,,,,,,,,,,0.05077850000000006,,,,,,,0.2532401250000001,,,0.21545671874999994,0.11574381249999999,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22717099999999996,,,,,
CUX1,,,,,,0.018208226562499985,,,,,,,,,,,0.0675735703125,,,,-0.2018978046874999,,,,,,,,,,,,,,,0.024018007812499964,-0.07403161718750001,,,,,,,,-0.03273394531249996,,0.08998721093750006,0.23763030468750002,,,,,
CUX2,,,,,,0.19333935156249987,,,,,-0.014744742187500048,,,,,,,0.03449788281249999,,,,,,,,,,,,,,,,,,0.14213197656249998,0.2440795078125001,,,,,,,,,,,,,0.13288814843749996,,-0.05425403906250004,0.10906050781249998
EGR1,,,,,,,,,,,0.03648791406249996,,,,,,0.16444624218749992,0.04809411718750001,,,0.2419739453125,,,,,,,,,0.05410449218750002,,,,,,0.13174146093749994,0.2531270859375,,,,,,,0.02009580468749994,,,,,,,,,
EHF,,,,,,,,,,,-0.07758860937500006,,,-0.016679734374999977,,,-0.040062390625000055,0.145604859375,,,,,,0.2635911562499999,,,,-0.006827874999999983,,,,,,,,,,,,,,,,,-0.028035562500000055,,,0.14962673437499996,,,,,
EPCAM,,,,,,,,,0.263382875,,,,,,,,,,,,,,,,,,,,,,-0.26467149999999995,,,,,,,-0.133168375,,,,-0.07983024999999988,,0.3493935,,,,,,,,,
ESR1,,,0.03123700000000007,,,-0.12199754687499997,,,,,-0.011414546875000098,0.14388878125,,,,0.03069537499999997,,0.10978182812500009,,,,,,0.25248525,,,,,,,,,,,,,,,,,,,,,,,,,0.0454794375,,,,
ETS1,,,,,,,,,,,-0.1518899843749999,,,,,,-0.03327703124999992,0.12242215625000002,,,,,,,,,,,,,-0.03233596875,,,,,0.2113748125,0.18555685937500005,,,,,,,,,,0.18819879687499996,-0.03622306250000007,,,,,
FOS,,,,,,,,,,,,-0.2111507734375,,-0.12749117968750007,,,,,,,,,,,,,,,,,,0.0782180703125,,0.07571911718750002,,,,,,,,,0.05699616406250002,,,,,,,-0.18432836718750012,,-0.10949710156250009,0.08568358593749997
FOXO3,,,0.05322089062500002,,,-0.04050160937499997,,,,,,0.31505680468749997,,,,-0.03336378906250004,,,,,,,,,,,,,,,,,,,,0.07808607031249992,-0.013625679687499892,,,,,,,0.06270817968750009,,,,0.04757046875000004,0.05218071874999991,,,,
GRHL2,,,,,,,,,,,-0.11222967187499999,,,,,,-0.009540812500000051,,,,,,,,,,,,,,,0.15595040625,,,,0.309269578125,0.20567454687499998,,,,-0.014210390625000013,,0.16724967187500006,,,,,,,,,,-0.03343640624999994
HSF2,,,,,,0.19777478124999992,,,,,-0.112885046875,,,,,-0.10666510937499996,-0.038386578125000015,,,,,,,,,,,,,,,,,,,0.15898481250000007,0.24005037499999998,,,,,,,0.009413249999999984,,,,,0.11153218750000005,,,,
ICAM1,,,,,,-0.032701499999999994,,,,,,,,,,,,,,,,,,,,,0.07733625,,,,,,,,,,,0.40845687500000005,,,,0.31171899999999997,,,,,-0.08532999999999996,,,,,,
JUN,,,,,,0.01826063281250001,-0.01785730468750002,,,-0.23392271093749994,,-0.21136772656250002,,,,,,,,,-0.10752032031250003,,,,,,,,,,,,,,,,,,,,0.10104375781249986,,,,,,,0.16018627343750003,,,,,0.09471127343750002
JUNB,,,,,,0.15076693750000003,,,,,,,,,,,0.4658140156250001,,,,,,,,,,,,,,,,-0.02517323437500002,,,-0.0786954843749999,-0.041981140625000024,,,,,,,,,,-0.04364837500000002,,-0.061302796874999954,,,,0.03724310937500008
JUND,,,,,,,,,,,,,0.4665450000000001,,,,,,,,,,,,,,,,,,,0.35068200000000005,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,0.1531868984375,,,-0.07219824218750004,,,,,,,,-0.009204414062500055,-0.14907355468749994,,,,,,,,,,,,,-0.12151589843749999,,,,,,,,,,-0.08709185156249999,,,-0.12378063281250007,,,,,,,,,0.25457291406249993
LMX1B,,,,,,,,,,,0.045967234375000166,,,,,,0.13037801562499995,,,,,,,,,,,,-0.020798843749999962,,,,,,,0.07936684374999992,0.2949963125,,,,,,,-0.17689092187500016,0.19792685937499999,,,,,0.01712764062499994,,,
MEIS2,,,,,,0.1702592929687501,-0.11197412890624997,,,,,-0.051056777343750026,,,,,,,,,,,,,,,,,,,,,,,-0.19247036328125,,,,,,,,,-0.032991214843750005,,,0.1221595585937501,-0.10397513671874992,,0.043820777343749895,,,0.11071915234375002
NCAM1,,,,-0.12350534374999994,,,,,,0.14823953125000006,,,,,,,,,,,,,,,,,,,,,-0.14076271874999996,,,,-0.22936834375000004,,,,,,,,,,,,0.26403984375000006,,0.19050315624999997,,,,
NFATC2,0.16705785156249997,,,,,0.1974868515625,,,,,-0.030555085937500004,,,,,-0.10366400781250007,0.03985011718749987,-0.10959838281249995,,,,,,,,,,,,,,,,,,,,,,,-0.1678695859375,,,,,,,,,,,,0.14811900781249998
NFIA,,,,,,-0.01807470312499998,,,,,-0.02467139062500001,,,,,,-0.056521984375000056,0.19237259375000004,,,-0.10909340624999997,,,0.34773351562500004,,,,,,,,,,,,0.051220359375000024,-0.006340812500000015,,,,,,,,,,,,,,,,
NFIB,,,,,,,,,,,,0.12335149999999995,,,,-0.15906265624999982,,,,,,,,,0.31762692187499997,,,,0.08979570312500013,,,,,,,,,,,,-0.17721021874999998,,,0.16650346874999988,,,,-0.06344176562499998,,0.165435875,,,
