phenotype,mean,median,std,count
Arc_5,0.1583947600476959,0.14671258490566036,0.031119723113062766,269
Arc_6,0.16628718552363422,0.1589818773584906,0.034205473944502594,574
Generalist_NE,0.16696089035851677,0.15047694339622641,0.03875289112076923,5037
Arc_3,0.23007017432573215,0.2139915849056604,0.061895078445551276,163
Arc_1,0.1907581280183791,0.15794864150943394,0.0799676078336117,386
Arc_2,0.14794157582110412,0.13987481132075472,0.0232200592880525,81
Arc_4,0.13011362796676307,0.12626716981132077,0.021552316815086535,822
Generalist_nonNE,0.13290922587635284,0.12489564150943396,0.02822531073165812,1576
