phenotype,mean,median,std,count
Arc_5,3.95910780669145,3.0,2.369386678208448,269
Arc_6,4.445993031358885,4.0,2.7297807492304815,574
Generalist_NE,3.90946992257296,3.0,2.8559094665264615,5037
Arc_3,7.680981595092025,7.0,3.327226853807267,163
Arc_1,6.518134715025907,4.5,5.433511470613201,386
Arc_2,4.197530864197531,4.0,1.668979876199978,81
Arc_4,3.2931873479318736,3.0,1.80685588697137,822
Generalist_nonNE,3.1459390862944163,3.0,2.07699936342124,1576
