,ASCL1,BACH1,BACH2,CREB1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR6A1,PBX1,PKNOX2,PROX1,RBPJ,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,SOX9,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZEB1
ASCL1,,,,,,0.1447391846504993,,,,,,,,-0.02557856101121414,,,-0.38172872524865586,,0.11899673973020664,,,,,,,,,,,,,,,,,,0.2123809933409816,,0.36170882289637085,,,,,,,,,,,,,,,
BACH1,,,,,,,0.18940808575830181,,,,,,,,,,,,0.11805865490116507,,,,,,,,,,,,,,,,,,,0.05585792843160908,,,,,,,,,0.38222895506706295,,,0.32538946745326874,,,,
BACH2,-0.5011339413681839,,,,,,,,,,,,,,,,,,,,,,,,,0.15832521375920694,,,,,,,,,,,,,,,,,,,,,,,,0.21070693880306884,,,,
CREB1,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX2,,,,,,,-0.11265068898452718,,,,,,,,,,,,0.07245300075101935,,,0.31975192301651967,,,,0.20990797768213776,,,,,,,,,,0.07227413651151815,,-0.1819131660237639,,,,,,,,,,,,,0.19956368241570543,,,
EGR1,,,,,,,-0.0016779125837889097,,,,,,,,,,,,0.09918314259290928,,,0.33503242450703435,,,,0.07796935260250182,,,,,,,,,,0.07534539295015641,,-0.1356144762978011,,,,,,,,,,,,,0.15449965040993863,,,
EHF,,,,,,,,,,,,,,,,,,,,,,,,,,0.17132253201459224,,,,,,,,,,,,0.5219759529950271,,,,,,,,,,,,,,,,
EPCAM,,,,,,,,,,,-0.19308753249759425,,,0.06924504994741831,,,-0.16309475146466962,,,,,,,,,,,,,0.2737225370574974,,,,,,,,,,,,,,0.0859401287482574,,,0.36646909309535003,,,,,,,
ESR1,,,,,,,,,0.714142138429614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,0.20723936684950273,,,,,,,,-0.23434828097552246,,,,,,,,,,,,,,,,-0.17862090271390735,,,,,,,,,,,,,,,,,,,,0.4953673798421354,,,,,,,
FOS,0.03185989827783986,,,,,0.14173534306977348,,,,,,,,,,,0.3170732647312304,,,,,,,,,,,,,,,,,,0.03127938006325093,-0.1245215817439922,,-0.0691379782895577,,,,,,,,,,,,-0.07887390471917799,-0.08406095353836285,,,
FOXO3,,,,,,,,,,,-0.23248124392647335,,,,,,,,,,,-0.11923968772272925,,,,,,,,,,,,,,0.3894625220740146,,,,,,,0.3794773414237537,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,0.3325613808005272,0.3476552641908119,,,,,,,,,,,,0.08135048971417658,,,,,,,,,0.33217953198056255,,,,,,,
HES1,-0.13564780598098136,,,,,,,,,,,,,,,,,,0.2338817050511175,,,,,,,0.1569943264270514,,,,,,,,,,0.07476623653715242,,0.3660543684116082,,,,,,,,,,,,,,,,
HSF2,,,,,,0.15395221478850407,,,,,,,,,,,,,,,,,,,,,,,0.007158428792952809,,,,,,,,,,,,,,,,,,0.2769355014478054,,,0.1072883864978259,0.3110088764795452,,,0.09737449112897079
ICAM1,,,,,,-0.009256619978768699,,,,,,,,,,,,,,,,-0.21297511762689464,,,0.13864190318179714,,,,,,,,,,,-0.09600322655287569,,0.34291468856387564,,,,,,0.08355033250020871,,,,,,,,,,
JUN,,,,,,-0.12856214247066677,0.09964855928811922,,,,0.328400398556126,,,,,,,0.2494108354160821,,,,,,,,,,,,,,,,,,,,-0.004358293288487913,,,,,,,,,-0.3613144152840397,,,,,,,
JUNB,,,,,,0.3956496844112319,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1464849183319321,,,,,,,,,,,,,,,,,-0.31596972647540894,,,,
JUND,,,,,,,,,,,,,,,,,,,0.7274148537369313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,0.15914951475264572,0.0643122990579853,,,,,,,,,,0.07344732033012413,,-0.20804987080954784,,0.18831176628556712,,,0.14018480571535763,,,,,,,,,,,,,,,,,,,,-0.1983055684436188,,,,,,,,,,
LMX1B,0.15226131019171418,,,,,0.20229021940257563,,,,,,,,,,,,,-0.04806790823779716,,,0.4616733723445912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEIS2,0.17404789002968435,,,,,0.23269923078267984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3337609676106239,,,-0.31019928345112735,,,,,,,,,,,,,,,,
NCAM1,,,,,,0.07152919214484083,,,,,,,,,,,,,,,,0.17480425460602428,,,0.1701484746186428,,-0.2247223162276628,,0.1687112901955855,,,,,,,,,-0.0886940934601177,,,,,,,,,,,,,0.2905368993428672,,,
NFATC2,0.26834879202335415,,,,,,,,,,,,,,,,-0.06143362757508608,,,,,0.5096167077296033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIA,,,,,,,0.12535922648602515,,,,,,,,,,,,,,,-0.07568366982930846,,,,0.2096497684979568,0.08571179455265499,,,,,,,,,,,0.16638149332201835,,,,,,0.22342286884364737,,,0.15506280026887675,,,,,,,
NFIB,0.1757130618159174,,,,,,,,,,,,,,0.13152854065076924,,,,,,,,,,,,,,,,,0.12087294291328493,,,,,,,,,,,,0.1637325864943427,,,0.19451735609109333,0.13668702010455192,,,,0.20183243014450214,,-0.05366767249937221
NFIX,,,,,,,,,,,,,,,-0.2095633660971118,,,,,,,,,-0.372192652610823,,,,,,,,,,,,-0.1620931235663911,,0.17552211444778776,,,,,,0.13893117012582706,,,,,,,,,,
NFKB1,0.43518126542368607,,,,,,0.21543231084789738,,,,,,,,,,,,,,,,,,,0.3452666196146832,,,,,,,,,,,,0.10953226704778574,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7654716230395637,,,,,,,,,,,,,,,,,,,,,,,,,
NR6A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7839054483677305,,,,,,,,,,,,,,,,,,,,,,,,
PBX1,0.170970991784965,,,,,,0.23751197977454902,,,,,,,,,,,,,,,,,,,0.10073425821294857,,,,,,,,,,,,0.11495744414095854,,,,,,,,,,,,,,,,
