SIX4|SIX1,NFYC,TEAD1,NFIX,TCF7L1,REST,LMX1B,RUNX1|0.064958,0.241135,0.097751,0.332569,0.094916,0.227209,0.109056,0.317016,0.313522,0.477191,0.326154,0.490561,0.357520,0.415673,0.320221,0.439943,0.041396,0.130130,0.066480,0.226778,0.053652,0.013379,0.078348,0.189446,0.190237,0.390377,0.224657,0.399845,0.171082,0.001748,0.220975,0.222383,0.363315,0.447326,0.421222,0.512164,0.385567,0.431571,0.368551,0.454926,0.486215,0.521871,0.500697,0.584987,0.478539,0.472614,0.435392,0.492432,0.336535,0.445078,0.315818,0.451925,0.362400,0.240667,0.326594,0.399858,0.432768,0.494134,0.383250,0.496847,0.418926,0.018371,0.377307,0.333546,0.388510,0.470456,0.548270,0.585790,0.407063,0.450640,0.448947,0.497705,0.527098,0.554100,0.584609,0.629954,0.652645,0.628408,0.594265,0.624205,0.325885,0.418437,0.353146,0.468683,0.148985,0.037336,0.344202,0.431796,0.438425,0.501662,0.420624,0.516156,0.137786,0.006908,0.421127,0.381010,0.516306,0.588046,0.718719,0.736577,0.492239,0.532280,0.552715,0.587716,0.635788,0.653351,0.748424,0.787393,0.620201,0.604674,0.621629,0.655984,0.489380,0.498846,0.511347,0.538078,0.479051,0.440775,0.470460,0.492125,0.620439,0.569926,0.575638,0.664857,0.580672,0.100422,0.536321,0.578005,0.150814,0.502272,0.416461,0.691361,0.228965,0.493850,0.266443,0.522810,0.513094,0.519379,0.696704,0.691136,0.501465,0.505316,0.495055,0.528151,0.122899,0.474762,0.174971,0.504577,0.212144,0.457199,0.206433,0.480401,0.484348,0.504569,0.453792,0.517969,0.487738,0.374832,0.455495,0.481479,0.721141,0.612778,0.893222,0.894841,0.499167,0.534071,0.566849,0.602248,0.994589,0.761946,0.976604,0.936152,0.510468,0.530002,0.634539,0.641977,0.500487,0.519236,0.531705,0.619012,0.490260,0.499458,0.469569,0.523817,0.780936,0.575207,0.625045,0.684529,0.499811,0.332944,0.495386,0.544474,0.554532,0.601335,0.880072,0.883570,0.509806,0.549885,0.610896,0.645046,0.597939,0.673749,0.901855,0.884633,0.789650,0.768638,0.761811,0.759312,0.495592,0.519965,0.586456,0.605407,0.490875,0.494884,0.502591,0.520210,0.547342,0.544059,0.599232,0.621301,0.637817,0.323006,0.614216,0.607760,0.876675,0.879492,0.984116,0.981680,0.553016,0.676319,0.758748,0.819552,0.998628,0.947374,0.994540,0.988842,0.954053,0.798732,0.908155,0.888443,0.605052,0.614495,0.763507,0.775902,0.515990,0.528873,0.552673,0.580171,0.990453,0.791895,0.959009,0.914829,0.953536,0.218607,0.872960,0.799184
JUNB|EGR1,TEAD1,PROX1|0.479104,0.635770,0.251765,0.017127,0.898767,0.793364,0.838399,0.435834
NR6A1|NR6A1|0.104001,0.887907
SIX1|TCF4,RORA,REST,RUNX1,EHF|0.052903,0.052643,0.090667,0.105955,0.035399,0.048719,0.002871,0.015385,0.365134,0.334081,0.586312,0.404375,0.168020,0.281127,0.135544,0.119576,0.354143,0.426234,0.610509,0.438131,0.210653,0.219429,0.276928,0.103916,0.971747,0.979563,0.972747,0.956086,0.579339,0.820898,0.695515,0.180903
TCF4|TCF4|0.103658,0.874184
HSF2|TFDP1,TCF4,ZEB1,EGR1,NFYC,TEAD1|0.037554,0.049837,0.009425,0.104301,0.116211,0.189715,0.116536,0.173328,0.064285,0.393753,0.230471,0.310645,0.112408,0.353213,0.276288,0.461440,0.188918,0.231397,0.103360,0.155957,0.425105,0.539129,0.419195,0.266378,0.263663,0.473258,0.467642,0.348807,0.302247,0.541721,0.536226,0.811923,0.343131,0.424313,0.168520,0.168373,0.501407,0.601824,0.478308,0.286812,0.248722,0.517607,0.498661,0.320387,0.298559,0.500598,0.555535,0.707341,0.654615,0.981566,0.576057,0.576177,0.811581,0.978347,0.890371,0.924737,0.505334,0.798676,0.693472,0.678356,0.570252,0.916997,0.869806,0.980177
PROX1|NFATC2,RBPJ|0.055800,0.204738,0.229527,0.952938
THRB|SIX1|0.295105,0.863849
RBPJ|RBPJ|0.094343,0.897644
ASCL1|JUN,SIX1,RORB,JUND,HES1,EGR1|0.015407,0.099255,0.029902,0.463904,0.400496,0.577821,0.069710,0.368952,0.085500,0.349638,0.544785,0.646705,0.697455,0.837673,0.461923,0.808402,0.805233,0.885083,0.955652,0.951076,0.957678,0.966517,0.240768,0.878018,0.891333,0.949439,0.889643,0.943571,0.967468,0.993041,0.874952,0.981810,0.030275,0.086723,0.001827,0.077109,0.060384,0.180284,0.008844,0.037414,0.050249,0.155555,0.133794,0.178583,0.290126,0.398434,0.202058,0.344622,0.092339,0.180089,0.329174,0.273125,0.478201,0.387102,0.100399,0.094291,0.191525,0.394785,0.388941,0.506982,0.529611,0.905685,0.389671,0.895288
REST|ASCL1,HES1,SOX9|0.290859,0.586760,0.735147,0.987112,0.036973,0.036120,0.027238,0.222814
SMAD3|ASCL1,REST,RUNX1,PBX1,EHF|0.090582,0.321246,0.327261,0.731998,0.357436,0.434358,0.523192,0.889894,0.180363,0.412041,0.404534,0.779635,0.918306,0.977744,0.780907,0.996971,0.015055,0.066043,0.053224,0.111159,0.038466,0.100355,0.074815,0.343447,0.092434,0.214014,0.257907,0.496811,0.252967,0.390616,0.399946,0.927190
