,SIX4,JUNB,NR6A1,SIX1,TCF4,HSF2,PROX1,THRB,RBPJ,ASCL1,REST,SMAD3,RUNX1,SOX9,NFYC,BACH2,JUN,RORB,TCF7L2,MEIS2,FOXO3,LMX1B,NFIA,KMT2A,TFDP1,ZEB1,NFKB1,STAT2,RORA,EPCAM,ESR1,ETS1,NFATC2,EHF,TBX15,NCAM1,TEAD1,ICAM1,PBX1,STAT1,GRHL2,PKNOX2,TCF7L1,CREB1,NFIB,SOX11,JUND,CUX2,HES1,ZBTB20,BACH1,NFIX,EGR1,FOS
GRHL2,,,,,2.657436255844499,,,,,,,,0.7986469669303478,,,,,,,,,,2.6604910464042177,,,,,,,,,,,,,,,,,,,,,,2.781242113526495,,,,,,,,,
PKNOX2,,,,,,,,,4.790023754450342,,5.572653993202192,,,,,,,,3.3523927434514214,,,,,,,,,,,,,,,,,,,,,3.3605378932186785,,,2.8234200159097114,,,,,,,,,,,
TCF7L1,,,,,,,,,,4.594457578891427,6.583660020076631,,4.152099695570984,,,,,,,,,,8.383098045193574,,,,,,,,,,,6.098951421998026,,,,,,,,,,,6.026600285465998,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8442301527613707,,,,,,,,,,
NFIB,,,,,24.89822157965994,17.900519208357338,,26.00549003138167,,24.0507300726661,,,,,,,,,,,,,,,,12.875429657977365,,,,,,,,,,,,,,21.217491081744463,,17.237506251223284,19.096915469865657,,,,,,,,,,,
SOX11,,,,,,,,,,,,2.125162270009273,,,,,1.6935048479058725,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5950492627179305,,,,,,,1.9376835235065963,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7274148537369313,,,,,,,
CUX2,,,,,,,,,,,,,11.83867094050738,,,,,,,20.531467293489982,,,,,13.59988422081001,,,,8.143131768647356,,,,,10.316077180670803,,,,,,,,,,,13.55874352332384,,8.347266413350564,,,,,,,
HES1,,,,,,,,,,3.3977775459886663,,,5.85686989458573,,,,,,,,,,,,,,,,3.0407674410913246,,,,,,,,,,,,,,,,2.6572881929920635,,3.9429350358988033,,,,,,,
ZBTB20,,,,,,,,,,,,,,,,,11.997100168045183,,,,,,10.68651751921965,,,,,,,,,10.801713324577173,,,14.74964987728004,,,,,,,,,17.03803927131955,,,16.290732856769818,,,,,,,6.531572325322173
BACH1,,,,,6.115663281073007,,,,,,,,1.6806186502497904,,,,,,,,,,,,,,,,,,,,,3.030529372132829,,,5.206231479252301,,,,,,,,,,2.0132676196033104,,,,,,,
NFIX,,,,,,3.3530138575537882,,,,,,,3.207336776853346,,,,,,,,,,,,,,,,2.655222175876844,,,,5.955082441773168,,,,,,,3.1310012326856143,,,,,,,,,,,,,,
EGR1,,,,,,,,,,,,,9.921718252093179,,,,,,,21.442075168450206,,,,,10.712878183398212,,,,6.622279627668909,,,,,6.544500277885617,,,,,,,,,,,8.585303634830352,,9.82793538792957,,,,,,,
FOS,,,,,,,,,,13.393980719797778,14.9311617299456,,17.89784330535774,,,,40.585377885597474,,,,,,,,11.92667615156316,,,,16.37017719394408,,,,,,,,14.626071905126196,,,,,,,,,,,,,,,,19.45725202522088,
