,SIX4,JUNB,NR6A1,SIX1,TCF4,HSF2,PROX1,THRB,RBPJ,ASCL1,REST,SMAD3,RUNX1,SOX9,NFYC,BACH2,JUN,RORB,TCF7L2,MEIS2,FOXO3,LMX1B,NFIA,KMT2A,TFDP1,ZEB1,NFKB1,STAT2,RORA,EPCAM,ESR1,ETS1,NFATC2,EHF,TBX15,NCAM1,TEAD1,ICAM1,PBX1,STAT1,GRHL2,PKNOX2,TCF7L1,CREB1,NFIB,SOX11,JUND,CUX2,HES1,ZBTB20,BACH1,NFIX,EGR1,FOS
SIX4,,,,27.06735967085012,,,,,,,-12.5765245992274,,3.4025843084771963,,23.115084452504878,,,,,,,10.358889211915209,,,,,,,,,,,,,,,21.446300523764783,,,,,,12.589526174055342,,,,,,,,,-17.855676772678898,,
JUNB,,,,,,,-0.5859396733277282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.263878905901636,,,,,,,,,,,,,,,,1.582598737644928,
NR6A1,,,0.7839054483677305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIX1,,,,,5.998033066635512,,,,,,-3.8070087284114775,,-0.20461198004437142,,,,,,,,,,,,,,,,5.506482481717023,,,,,-0.6214095401799936,,,,,,,,,,,,,,,,,,,,
TCF4,,,,,0.7705261989728548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSF2,,,,,8.861936046329772,,,,,,,,,,0.22906972137449044,,,,,,,,,,9.952284047345445,3.115983716127066,,,,,,,,,,,3.433228367930429,,,,,,,,,,,,,,,,4.92647087323213,
PROX1,,,,,,,,,0.8723488790696334,,,,,,,,,,,,,,,,,,,,,,,,0.9219270913431223,,,,,,,,,,,,,,,,,,,,,
THRB,,,,0.5687441425422886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCL1,,,,11.574682332683873,,,,,,,,,,,,,-12.215319207956986,6.7961917869114075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8078956713666137,,-0.8185139523588529,,,,4.631653908815979,
REST,,,,,,,,,,-2.2767320990996494,,,,0.7425897824033991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0215981643246537,,,,,
SMAD3,,,,,,,,,,-5.29201936543554,4.003855988556509,,3.8523040578633463,,,,,,,,,,,,,,,,,,,,,3.4261250869496234,,,,,3.2368654608197804,,,,,,,,,,,,,,,
RUNX1,,,,,,,,,,,,,,,,,,,24.148342341061614,,,,,,,,,,,,,,,,,,-3.798645614023452,,3.4129623633096555,14.237543969044154,,,,,-3.289168224395588,,4.185074042578672,,,,,,,-2.7891199016467523
SOX9,,,,,,,,,,,,,,0.7342138778379369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,0.7654716230395637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
