,AHR,ARID5B,ASCL1,BACH1,BACH2,BBX,CREB1,CUX1,CUX2,EGR1,EHF,EPAS1,ESR1,ETS1,FOS,FOSB,FOXO3,GLIS3,GRHL2,HIF1A,HSF2,JUN,JUNB,JUND,KMT2A,LCOR,LMX1B,MECOM,MEIS2,NFATC2,NFE2L2,NFIA,NFIB,NFIX,NFKB1,NPAS2,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX5,SOX6,SOX9,SP100,STAT1,STAT2,STAT4,TBX15,TCF12,TCF4,TCF7L1,TCF7L2,TEAD1,THRB,ZBTB18,ZBTB20,ZBTB7A,ZEB1
AHR,,,,,,,,,,,,,,,0.00842151595237517,,,,,,,,0.003492510469300325,0.04176330404765355,,,,,,-0.11490510030999329,,,,,,,,,,,,,,0.397894087144731,-0.0032508766626923036,-0.11383316357900253,,,,,,,,,,,,,,,,,0.03236031109524873,,,,,
ARID5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3658745620393863,,,,,,,,,,,,,,
ASCL1,,,,,,,,,,-0.005238949228673961,,,,,-0.003393101016468947,,,,,,,,-0.008916939688489056,,,,,,,0.1583370256397854,,,,,,,,,,-0.11399750178468182,,,,,,,,,,,,,,,-0.05434214982557911,,,,,0.039271224383363945,,,,,0.07119331999682071,,,
BACH1,,,,,,,,,,,-0.02674281279551194,,,0.05037667746859925,,,,,,,,5.285302658813995e-05,,,,,0.1806905238466492,,,,,,,,,,,,,,,,,0.19377427554047238,,,,,,,,,,,,,,,,0.002368461351285267,,0.08103227030378451,,,,,,0.006992898187331842
BACH2,,,,,,,,,,0.043161323573225274,,,,,0.04576351247919769,,,,,,,,0.0017829949351986785,0.03137147676377733,,,,,,,,,,,,,,,,0.05037080868046695,,,,,,,0.07672923843865898,,,,,,,,,,,,,,,0.20380853899038825,,,,,,0.002787268461604042
BBX,,,,,,,,,,,,,,,-0.03372200401448516,,,,,,,,0.005535559467861384,0.01805667219306556,,,,,-0.0046560198871559155,0.03790523235342691,,,,,,,,,,0.08314047384207651,,,,,,,,,,,,,,,0.04053187682816001,,,,,0.023957518976681746,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435332143517993,,,,,,
CUX1,,,,,,,,,,0.007873529513413968,,,,,,,,,,,,,-0.0033728326966688815,,,,,,-0.10155604105493321,,,,,,,,,,,,,,,,0.020008687738068853,-0.02712035642481503,,,,,,,,,,,,-0.08758145735735112,,-0.018785929831398318,,0.18740934640731888,,,,,,
CUX2,,,,,,,,,,-0.03841610846973431,,,,,0.03940900726725394,,,,,,,,,0.02137851873474228,,,,,,,,,,,,,,,,,,,,,0.06911913467739439,0.015145019328936027,,,,,,,,,,,,,,,,,,,0.13338220340331997,,0.07514444426437722,-0.03900365800596001
EGR1,,,,,,,,,,,,,,,0.23566995583704714,,,,,,,,0.1848250778941387,0.03488327005488112,,,,,-0.013816947556523407,,,,,,,,,,-0.003622288295339393,,,,,,-0.018154251599640903,0.05960488604600778,,,,,,,,,-0.03352477924215025,,,,,,,,,,,,,
EHF,,,,,,,,,,,,,,,0.02006007636725604,,,,,,-0.0196827092538312,,0.004241530024138074,0.00695193198196864,,,,,,,,0.07200453599658685,,,,,0.036578491122833734,,,,,,,,,,,,,,,,,,,,,-0.031976275868563775,,,,0.2238896672850873,,,,,,
EPAS1,,,,,,,,,,-0.026877625060755417,,,,,0.08207220971571438,,0.09402753560780003,,,,,-0.0024376919756981807,,0.0724605288629094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09029649027953851,,,0.0243846017041687,,,,,,,0.11529345928884674,,,
ESR1,,,,,,,0.032698065954785194,,,-0.08118803655737994,,,,,0.017714767708177148,,0.09443381233032305,,,,,0.02830145045127186,,0.05576240779569841,,,,,,,,0.24456034824100747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04085657155269737,,,,,
ETS1,,,,,,,,,,,,,,,0.016669875482700713,,,,,,,,0.048418716175455345,-0.01773164719404763,,,,,,,,,,,,,,,,0.05396562446399483,,,,,0.03152623956896888,0.11429974679413521,,,,,,,,,,,,,,-0.017832389775316204,,0.1647321607474138,,,,,,
FOS,,,,,,,,,,,,,,,,,0.037558045292940156,,,,0.10347551609077743,,,,,,,,,,,,,,,,,,,,0.055570661060672766,,0.026499038244813977,,,,,,,,,,,0.021331412428041763,,,,,,,,,,,0.11438593926962184,,0.07334417349542283,-0.00040489359109163736
FOSB,,,,,,,,,,0.13196725349439534,,,,,,,,,,,-0.014192581143668254,,,,,,,,-0.0018399159090647932,,,,,,0.0312356665122297,,,,,,,,0.13565594926073557,,,,,,,,,,,,0.0359549295338511,,,0.08789800654117169,,,,,,,,,,
FOXO3,,,,,,,-0.02734375,,,0.0,,,,,,,0.70703125,,,,,-0.00390625,,,,,,,,,,,,,,,,,,,,,,,0.00390625,-0.01953125,,,,,,,,,-0.01171875,,,,,,,0.02734375,0.00390625,,,,,
GLIS3,,,,,,,,,,,,,,,0.007315567682830648,,,,,,,,0.02343432802315215,0.05536755768880791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05152023793102384,,0.06239152702567957,,0.2684786918516305,0.0019518040057930341,,,,,0.02635415186669865
GRHL2,,,,,,,,,,,,,,,0.05632399102988567,,,,,,,,-0.058642381105710795,,,,,,,,,,,,,,,,,,0.26616012905319564,,,,-0.0018355836404014836,-0.06033667275321214,,,,0.10035298137201554,,,,0.09957721754478105,,,,,,,,,,,,,,-0.023882159854959117
HIF1A,,,,,,,0.05287505973920714,-0.10887387220252595,0.022025676033739672,,,,0.00737220855594567,,0.057937030388220956,,,,,,,0.018163823484180996,,,,,,,,,,-0.12403752951225624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054927558907348684,,,,,,
HSF2,,,,,,,,,,-0.06459750107840365,,,,,0.01670252734407457,,,,,,,0.02386621806323891,0.020948937332175788,,,,,,,,,,,,,,,,,,,,,,0.012004917866988929,0.054581119682795165,,,,,,,,,0.0399139230663719,,,,,,,,-0.010307209935134953,,,,,
JUN,,,,,,,,,,0.2216951211645502,0.029575250533918518,,,-0.007143603734345749,,,0.04144225141826585,,,,,,,,,,,,-0.0027301158255625957,,,,,,,,,,,,,,,,,,,,,-0.018580935811057075,,,,,,,,,,,,0.06344645327075688,,,,,,-0.020847516672620192
JUNB,,,,,,,,,,0.0234375,,,,,,,,,,,,,0.9765625,,,,,,,,,,,,,,,,,,,-0.015625,,,-0.015625,0.0,,,,,,,,,,,,,,0.0,,,-0.0078125,,,,,-0.0078125
JUND,,,,,,,,,,,,,,,,,,,0.027519505227695307,,,,,,,,,,,,,,,,,,,,,,0.19003942609377217,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,,,,,-0.027540035894899784,,,-0.1360264840172346,,,,,,,,,,0.02105936163519323,0.0018626848914088945,,,,,,,,,,,,,,,,-0.014008941204655012,,,,,,,,,,-0.11395687547014438,,,,,0.04227875220496019,,,,,,,,,,,,,0.004666604031346389
LCOR,,,,,,,0.05648799013976924,,,0.007717833649539596,,,,,0.04374500224625888,,,,,,,,0.019318362340342676,,,,,,,,,,,,,,,0.04494661904004682,,,,,,,0.010841224576115138,0.15233430173036788,,,,,,,,,,,,,,,,,,,,,,0.009672692533160498
LMX1B,,,,,,,,,,,,,,,0.03768909122888009,,,,,,,,0.0737377952953262,,,,,,,,,,,,,,,0.004119803533374489,,,,,,,0.0398890567836887,0.07945369765071342,,,,,,,,,0.05519771940180487,,,0.11000086539987214,,,,,,,0.11010904409879829,,,
MECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8466679571141292,,,,,,,,,,,,,,,,,,,,,
MEIS2,,,,,,,,,,0.06355272139794393,-0.07053104685275768,,,,,,0.002233258300272989,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04849418594759797,,,,,,,,,,,0.016404110102962277,,,,,0.06515902301634613,,-0.19251780924694856,,,0.12872184084975696,,,0.050658350881374825
