,LCOR,SOX5,MEIS2,NFKB1,EPAS1,ESR1,FOXO3,NFIB,HSF2,TBX15,PROX1,STAT2,STAT4,TCF4,CREB1,GRHL2,SIX4,BACH2,GLIS3,ETS1,EGR1,NFIX,LMX1B,CUX1,JUNB,TEAD1,NFATC2,JUND,AHR,TCF7L2,EHF,NR3C2,BBX,FOSB,TCF12,RARB,ARID5B,ZBTB20,NFIA,RORA,NPAS2,ASCL1,STAT1,CUX2,PKNOX2,TCF7L1,SIX1,FOS,PPARG,PRDM16,ZBTB18,JUN,SOX9,REST,THRB,SP100,PBX1,RORB,ZEB1,ZBTB7A,BACH1,KMT2A,SMAD3,RUNX1,HIF1A,NFE2L2,SOX6,MECOM
LCOR,,,,,,,,,,,,,,,7.230462737890456,,,,,,0.9878827071410741,,,,2.4727503795638586,,,,,,,,,,,,,,,1.3876767457427324,,,,,,,,5.599360287521132,,,,,,,,,5.753167237126002,19.498790621487093,1.2381046442445411,,,,,,,,,
SOX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4460286882068711,,,,,,,,,-0.03105132191060732,,,,,,,,,,,,0.12902971191437823,,,,,,-2.4052200679296183,,,,,,,,,,
MEIS2,,,,,,,0.5717141248698892,,,,,,,16.680709892184602,,,,,,,16.269496677873654,,,,,,,,,-49.284559167218816,-18.055947994305956,,,,,,,,,,,,4.199452186358334,,,,,,,,32.95279125753779,,,12.414511602585083,,,,,12.968537825631929,,,,,,,,,
NFKB1,,,,,,6.034345838846704,6.894008381214059,,,,0.34592295503760817,,,,,,,,,,,,,,5.797527281025891,,,1.692069505690502,,,,,,,,,,,,,,,,,-2.1802302837380165,,,4.202700539417133,,,,,,,,,,,,,,,,,,,,
EPAS1,,,,,,,12.035524557798402,,,3.121229018133588,,,,,,,,,,,-3.440336007776693,,,,,,,9.274947694452408,,,,,,,,,,,,,,,11.557950755780935,,,,,10.505242843611434,,,14.75756278897238,-0.3120245728893729,,,,,,,,,,,,,,,,
ESR1,,,,,,,12.08752797828135,,,,,,,,4.185352442212507,,,,,,-10.39206867934463,,,,,5.229641158745259,,7.137588197849398,,,,,,,,,,,31.303724574848953,,,,,,,,,2.2674902666466736,,,,3.622585657762798,,,,,,,,,,,,,,,,
FOXO3,,,,,,,181.0,,,,,,,,-7.0,,,,,,0.0,,,,,1.0,,,,7.0,,,,,,,,,,1.0,,,-3.0,,,,,,,,,-1.0,,,,,,-5.0,,,,,,,,,,
NFIB,,,,,,,7.037475713503437,75.59948758638181,,,,,,,,,,,,,,,,,,,,,,6.379804999951261,,,,,,,,,,,,,0.06468360470885481,,,,,,,,2.2534113412093375,1.7148530719717163,,,,,2.1466119916690607,,,,,,0.8561365757748618,,,,,
HSF2,,,,,,,,,,,,,,,,,,,,,-8.268480138035663,,,,2.6814639785185026,-1.3193228716972738,,,,,,,,,,,,,,1.5366294869745882,,,5.1089821524956065,,,,,2.137923500041544,,,,3.054875912094575,,,,,,6.986383319397785,,,,,,,,,,
TBX15,,,17.610575939925567,,,,-0.8212104742795181,,,,,,,,,,,,,,5.44828363058192,,,,,,12.771553519129506,,,,,,,,,,,,1.7836436457141867,,,5.746270117112028,3.4403875363709044,,,,,,,,,,15.303477329567103,,,,,,,,,,,,,,,
PROX1,,,20.41774190129318,,,,-5.000623166664958,,,,,,,,,,,,,,,,,,,,14.991384459597848,,,-3.5835704763855456,,,,,,,,,,,,15.602402398334839,1.721234806540342,,9.262698684792273,,,,,,,-1.0786139745562318,,,,,,,,,,,,,,,,
STAT2,,,2.2977275261101324,,,,,,,,,,,5.3105742740664725,,,,,,,2.7262613317587734,,,,,,6.811043290755401,,,,,,,,,,,,,,,,,,,,,,,,5.578208004215305,,,38.494998807488074,,,-1.2892973474598415,,5.604895751289372,,,,,,,,,
STAT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28364896448423127,,,,,,,,,,,,,,,,,,,,0.20278568362095042,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435332143517993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,-7.5062247815309835,,,,,,,,,,,,,,,-0.23495470597139323,,,,,,,,7.209470851825368,,34.06849651880905,,,,,,12.74588384573198,,-7.72309411241116,-3.0569164614347657,,,,12.845181615617985,,,,,
SIX4,,,15.212226776467764,,,,,,,,,,,-0.0015873021582971658,,,,,,,-1.218097662094055,,,,,,11.645619689426438,,,18.686513310136377,,,,,,,,,-5.1002254602334265,,,,,,,,,,,,,,,,,,,,4.071417925768282,,,,4.017616075484886,,,,,
BACH2,,,,,,,,,,,,,,,,,,,,,5.524649417372836,,,,0.22822335170543534,,,4.0155490257634945,,26.087492990769707,,,,,,,,,,,,,,,,,,5.857729597337301,6.44746351109977,,,,,,,,,,0.35677036308531934,,,,,9.821342520148358,,,,
GLIS3,,,,,,,,,,-6.594590455171057,,,,7.986115459286983,,,,,,,,,,,2.999593986963472,0.24983091274150693,,7.087047384167416,,34.36527255700872,,,,,,,,,,,,,,,,,,0.9363926634023281,,,,,,,,,,,3.373331438937425,,,,,,,,,
ETS1,,,,,,,,,,,,,,-2.2825458912404675,,,,,,,,,,,6.197595670458279,,,-2.269650840838096,,21.085716575668968,,,,,,,,,,4.0353586648280215,,,,,,,,2.1337440617856984,6.907599931391331,,,,,,,,,14.630367589649302,,,,,,,,,,
EGR1,,,-1.7685692872349992,,,,,,,,,,,,,,,,,,,,,,23.657609970449755,,,4.465058567024781,,,,,,,,,,,,-2.3237442047540497,,,-4.291171742995228,,-0.4636529018034564,,,30.165754347142048,,,,,,,,,,7.629425413889013,,,,,,,,,,
NFIX,,,,10.152743290824533,,,,,5.982397035717585,,-10.299090395279835,,,,,21.42327193523878,,,,,,,,,,,,,,,10.814940128244832,,,,,,,,,-0.8362014828963913,,,8.799983097487434,,,,,,,,,,,,,,,-14.18067688498625,,,,,,,,,,
LMX1B,,,,,,,,,,14.080110771183637,,,,,,,,,,,,,,,9.438437797801752,,,,,,,,,,,,,,,5.105799268312154,,,7.065308083431027,,,,,4.824203677296647,,,14.093957644646183,,,,,,0.5273348522719266,10.170073299291317,,,,,,,,,,
CUX1,,,-12.99917325503145,,,,,,,-11.21042654174095,,,,-2.4045990184189923,,,,,,,1.0078117777169813,,,,-0.4317225851736208,,,,,23.988396340136816,,,,,,,,,,2.5611120304728106,,,,,,,,,,,,,,,,,,-3.471405622376311,,,,,,,,,,
JUNB,,,,,,,,,,,-2.0,,,0.0,,,,,,,3.0,,,,125.0,-1.0,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,0.0,-1.0,,,,,,,,,
TEAD1,,,,,,,,,,,,,,,-0.5453966210857087,,,,,,-1.843275445203618,,,,-0.3754716196433996,106.79562828048981,,0.3614939745228114,,1.4798275483746197,,,,,,,,,,,,,,,,,,0.6666750601037974,,,,,,,,,0.11126231511873785,,,,,,,,,,,
NFATC2,,,,,,,,,,,,,,,,,,,,,5.194606307655766,,,,2.992638889498905,,,-5.136358205556798,,,,,,,,,,,,,,20.63383338447052,,,,,,4.103986300802676,,,,-5.809891364484457,,,,,,,2.946663903795577,,,,-11.132709408104734,,,,,
JUND,,,,,,,,,,,,,,,,0.05503901045539061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3800788521875444,,,,,,,,,,,,,,,,,,
AHR,,,,,,,,,,,,,,,,,,,,,,,,,0.44704134007044805,4.142119820191836,-14.707852839679141,5.345702918099654,,,,,,,,,,,,-0.41611221282461686,,,,,,,,1.0779540419040183,,,,,,50.93044315452555,,,,-14.570644938112322,,,,,,,,,,
TCF7L2,,,,,,,,,,-2.8402067526239145,-3.668287524011965,,,,,,,,,,,7.820993221618656,,,,-0.4692597251526035,,,,,,,,,,,,,6.031647202191066,,,,,,,,,,4.1852402114324025,,,,,,,,,,,,,,,,,,,
EHF,,,,,,,,,-2.519386784490402,-4.0929633111761605,,,,,,,,,,,,,,,0.5429158430896805,,,0.8898472936919788,,28.65787741249116,,4.682046863722722,,,,,,,9.21658060756312,,,,,,,,,2.5676897750087675,,,,,,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,0.19308388732661574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2129032053845349,,,,,,,,,,,,,,,,,,0.5189371778864562,,,,,,,,,,
BBX,,,-0.5959705455559613,,,,,,,,,,,3.066562429015266,,,,,,,,,,,0.7085516118862578,,4.851869741238651,2.3112540407123867,,,,,,,,,,,,,,,5.18808023400448,,,,,-4.316416513854092,10.641980651785792,,,,,,,,,,,,,,,,,,,
FOSB,,,-0.11775461818014765,1.9990826567827011,,,,,-0.9083251931947676,5.6254724186349865,,,,,,,,,,,8.4459042236413,,,,,,,,,,,,,,,8.681980752687078,,,,,,,2.30111549016647,,,,,,,,,,,,,,,,,,,,,,,,,
TCF12,,,,,,,,,,5.316871285789541,,,,,,,,,,,2.597576139555903,,,,-3.687834220570979,,-0.779592662980729,7.016536814165957,,,,,,,,,,,,,,,,,,,,0.646115152764902,,,,5.749856650173069,,,,,,,10.096927853991973,,,,,,,,,
RARB,,,,,,,,,-1.3389567392827297,,,,,,,,,,,4.63964766905383,-7.464528995986517,,,,,7.083399511225455,,,,35.6482845971859,,,,,,,,,,,,,,,,,,,,23.83291151997071,-11.851598776726332,,,,,,,,-0.5454260924013203,,,,,,,,,
ARID5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3658745620393863,,,,,,,,,,,,
ZBTB20,,,,,,,,,,,,,,6.244092570397612,,,,,,,,,,,1.0862898937538867,,,9.35475723484118,,12.267216580635115,1.5514828243752805,,,,,,,,,,,,,,,,,3.287899559963999,,,,6.431415602390131,,,,,,,7.905369934920531,,,,,,,,,
NFIA,,,-6.368289200688167,,,,,,,,,,,,,,,,,,1.5022581010578255,,,,-2.1118253404993745,,,-0.9378932743661638,,,,,,,,,,,115.21353476223351,-2.6504838986576953,,,,,,,,-2.6682571466318903,,,,,,,,,,2.741213999279011,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAS2,,,,,,,,,,,-14.235183888810468,,,-8.942436611110447,,,,,,,,,,,,4.635296450511574,,,,,,,,,,,,,,0.8411715957959081,,,,,,,,,,,,,,,,35.870687182454915,,-10.855890351219537,2.0422637190631616,0.4587405717889432,,,,,,,,
ASCL1,,,,,,,,,,,,,,5.02671672107059,,,,,,,-0.6705855012702722,,,,-1.1413682801265952,,20.26713928189253,,,,,,,,,,,,,,,,-6.955795177674133,,,,,-0.4343169301080406,-14.591680228439271,,9.11274495959306,,,,,,,,,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,11.006267283335085,,,-3.426112031188238,,16.55992272017814,2.2460386364924867,,,,,,,,-3.659821824499408,,,,,,,,,3.8871059122218905,,,,-5.165622801176164,,,,,,,8.442396965111486,,,,,,,,,
