,LCOR,SOX5,MEIS2,NFKB1,EPAS1,ESR1,FOXO3,NFIB,HSF2,TBX15,PROX1,STAT2,STAT4,TCF4,CREB1,GRHL2,SIX4,BACH2,GLIS3,ETS1,EGR1,NFIX,LMX1B,CUX1,JUNB,TEAD1,NFATC2,JUND,AHR,TCF7L2,EHF,NR3C2,BBX,FOSB,TCF12,RARB,ARID5B,ZBTB20,NFIA,RORA,NPAS2,ASCL1,STAT1,CUX2,PKNOX2,TCF7L1,SIX1,FOS,PPARG,PRDM16,ZBTB18,JUN,SOX9,REST,THRB,SP100,PBX1,RORB,ZEB1,ZBTB7A,BACH1,KMT2A,SMAD3,RUNX1,HIF1A,NFE2L2,SOX6,MECOM
TCF7L2,,,,,,,,,,5.148703484650058,7.338128793853235,,,,,,,,,,,8.45148542402097,,,,3.076242172889447,,,,,,,,,,,,,7.118603723930197,,,,,,,,,,7.137368957134548,,,,,,,,,,,,,,,,,,,
EHF,,,,,,,,,24.98913381434142,24.176678926727345,,,,,,,,,,,,,,,22.695694756957494,,,23.016375586386197,,35.68221387944547,,18.172568857309344,,,,,,,25.712747648944482,,,,,,,,,21.33249319321554,,,,,,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,0.19308388732661574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2129032053845349,,,,,,,,,,,,,,,,,,0.5189371778864561,,,,,,,,,,
BBX,,,27.16235953859275,,,,,,,,,,,34.34657523747854,,,,,,,,,,,34.8850688336632,,33.31291143461691,32.563242434704556,,,,,,,,,,,,,,,36.14325200241425,,,,,36.83193174774413,35.61843009162967,,,,,,,,,,,,,,,,,,,
FOSB,,,7.079013043829537,8.435563757569401,,,,,8.433341104711586,8.782199410851842,,,,,,,,,,,11.67641650372046,,,,,,,,,,,,,,,11.080129886597275,,,,,,,10.258522591940643,,,,,,,,,,,,,,,,,,,,,,,,,
TCF12,,,,,,,,,,27.477884160552136,,,,,,,,,,,28.726676366448128,,,,28.442390288401388,,27.48007404574344,29.31538942697127,,,,,,,,,,,,,,,,,,,,26.237299256615472,,,,27.654275598808173,,,,,,,29.37602802846802,,,,,,,,,
RARB,,,,,,,,,31.6207459483065,,,,,,,,,,,29.733466966930663,26.180526541061226,,,,,26.107198546400312,,,,50.95825747031666,,,,,,,,,,,,,,,,,,,,44.129847222966546,32.90339455162096,,,,,,,,27.288873664268746,,,,,,,,,
ARID5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3658745620393863,,,,,,,,,,,,
ZBTB20,,,,,,,,,,,,,,23.952716077628125,,,,,,,,,,,25.107200667115745,,,26.644511223076023,,29.238408753196538,24.546712596409026,,,,,,,,,,,,,,,,,24.47329062752978,,,,25.344777266932798,,,,,,,25.50437071078855,,,,,,,,,
NFIA,,,9.617646372244915,,,,,,,,,,,,,,,,,,8.358939878707943,,,,9.847001855267616,,,7.633083414092061,,,,,,,,,,,115.21353476223355,7.2248713592358165,,,,,,,,9.80922365827151,,,,,,,,,,8.484078327634723,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAS2,,,,,,,,,,,32.22224124746473,,,25.741588671725598,,,,,,,,,,,,21.56968129560309,,,,,,,,,,,,,,20.478868540716345,,,,,,,,,,,,,,,,43.93331768563799,,30.274524711766784,22.529779606523764,21.534199520117017,,,,,,,,
ASCL1,,,,,,,,,,,,,,22.98781583137989,,,,,,,22.669121022538626,,,,23.331140598266504,,28.441668282498537,,,,,,,,,,,,,,,,23.21969209559294,,,,,25.681606816533613,28.320414547931463,,26.236560027252306,,,,,,,,,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,27.365443838455416,,,23.97876537159536,,35.761737040418055,19.952303929392734,,,,,,,,27.37113527981658,,,,,,,,,25.073909952265264,,,,26.20597136335518,,,,,,,26.180576545560125,,,,,,,,,
CUX2,,,,,,,,,,,,,,,,,,,,,29.421316544409574,,,,,,,30.874017183727922,,,,,,,,,,,,32.96667450102809,,,,,,,,33.949596948811184,,,40.151001046580596,,,,,,,31.34912383830309,34.66361946837581,34.259882326135795,,,,,,,,
PKNOX2,,,,,,,,,26.790058753758537,,,,,16.99766248207477,,,,,,,16.44513539522565,,,,,,,,,22.03575696359067,,,,,,,,,,,,,18.89390262122366,,,,,,,,24.64742654882148,,,31.32926392176904,,,,,16.34597291265987,,,,,,,,,
TCF7L1,,,,,,,,,,,,,,,,,,,,,32.08407897430712,,,,30.877422586300742,,,32.55547609170792,,38.16088624201639,,,,,,,,,,,,,,,,,,28.56490470537471,,43.28621878063216,33.376395061741235,29.073076897106308,,,,,,,,,,,,,,,,
SIX1,,,28.31173500761109,,,,,,,,,,,23.671093228630905,,,,,,,22.639762419822162,,,,,,25.95966017144506,,,,,,,,,,,,29.428235232461525,,,,,,,,,,,,28.448454856655708,,,,,,,,26.513832215266774,,,,31.57686574865527,,,,,
FOS,,,,,,,25.899918104499903,,32.358768359421646,,,,,,,,,,,,,,,,,,,,,,,,,,,27.395507369497913,,,,,,,,,,,,,,29.042650806089483,32.69957014422513,,,,,28.11288191962924,,,26.25337363712336,28.027365710515134,,,,,,,,
PPARG,,,,,,,,,,,,,,18.317257022909473,,,,,,,,,,,23.26462332541189,,,20.183522205005634,,,,,,,,,,,,20.773579423010545,,,,,,,,23.040356427995224,,,,22.778967179751543,,,,,,24.172275090676354,19.499985776992624,,,,,,,,,
PRDM16,,,,,,,,,,,,,,,,,,,,,15.21760393093343,,,,,,,,,,18.306292429495443,,,,,,,,41.299607555802645,13.594113375397034,,,16.121574721728727,,,,,,,,,18.09881730228347,,,,,,37.186295521993436,12.822599943188973,,,,,,,,,
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
JUN,,,28.148048623463854,,,,18.382160186833445,,,,,,,,,,,,,21.020245166056018,35.49800035737413,,,,,,,,,26.97059121102589,19.614244809165555,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54243143398052,,,,22.538047204698664,,,,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
THRB,,,,32.235551272643995,,36.54931029357021,32.12751447711554,,,,,,,,,,,,,,,,,30.460973164804617,,,,,,,,,,,,31.84675493604011,,,35.72767126676716,,,,,34.64624723223886,,,,,,,32.71914472817477,,,,,,,,,,,,,,,,,
SP100,,,,,,,,,,,,,,,,,,,,,19.796801576416765,,,20.428274628169103,,14.926654712244737,,,,,,,,,,,,,28.89792719120252,17.018574353017122,,,,19.933286300707223,,,,,,,,,47.597521357494045,,,,,24.55828236860421,,,,,,,,,,
PBX1,,,,,,,,,,,,,,,,,,,,,,,,16.84819150901191,14.870046144747313,12.616124716506514,,17.906969722576918,,,,,,,,,,,,,,,,15.20757919033501,,,,17.200996979426773,,23.905838307187334,,,,,,,75.612095038809,,,,,,,,,,,
RORB,,,37.81134049743333,,,,28.226454178216365,,,,,,,,,,31.314534390599277,,,,30.10523181451981,,,,30.456901666857515,,,25.94946871667585,,,,,,,,,,,,,,,,,,,31.594643034396587,27.595525043712296,,,,,,,,,,,,,,,,,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,2.272530594854625,,,,,,,,,,,,,,,,,2.492576934569216,2.756602086027884,,,,,,,,,2.530872164657883,,,,,,,,,2.722728713325136,,,,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
BACH1,,,,,,,,,,,,,,18.391777815184902,,,,,,21.255713252257767,,,31.038105854025947,,,,,,,27.110301337548897,15.78551442594531,,,,,,,,,,,,,,,,,,,,,18.31484387986018,,35.07241413806284,,,,,17.7353253853398,,,,,,,,,
KMT2A,,,,,,41.481900184358906,,,,,,,,,,,,,,,35.71716118940863,,,,33.32351204071752,,,38.01508484807668,,,,,,,,,,,,,,,33.238984214760436,,,,,,34.799340744334486,,,,,,,,,,35.77545742792473,,,,35.37630647875254,,,,,
SMAD3,,,,,,,18.78858845067253,,,23.118197856537876,,,,,,,,,,,,,,23.728264326400723,,,,,,,,,,,,,,,,18.059397509604054,,,19.535204186515678,16.10493350580547,,,,,,,,17.386353866613177,,,,,,20.516143140065108,,,,,,,,,,
RUNX1,,,56.06643381158322,,,,,,33.05166639265558,,,,,31.559091084267454,,,,,,,,,,,,,,,,111.60347461244159,,,,,,,,,,27.066121929717763,,,32.926126768944144,,,,,,,,,,,,,,,43.69741068691879,28.61530601602814,34.762452871011135,,,,,,,,
HIF1A,,,,,,29.094049643798904,,,,,,,,,21.155322554703872,,,,,,,,,30.09341163887615,,,,,,31.325535264792666,,,,,,,,,30.9932920503243,,,,,26.299947619663982,,,,29.480662151524474,,,,29.71166576387053,,,,,,,,,,,,,,,,
NFE2L2,,,,,,39.9897124722851,27.850780246330597,,29.088352116214793,,,,,,,,,,,,25.15754031049841,,,,28.466536683798854,,,,,,,,,,,,,,,,,,29.33494071228886,,,,,27.09623950490904,,,,,,,,,,,25.215407218601232,,,,,,,,,
SOX6,,,,,,,2.0790190662838888,,,,,,,,,,,,,,1.7856085025232957,,,,,,2.418099859449428,,,,,,,,,,,,,,,1.8858639278065146,,,,,,,,,,,,2.243823191363849,,,,,,,,,,,,,,
MECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8466679571141292,,,,
