,LCOR,SOX5,MEIS2,NFKB1,EPAS1,ESR1,FOXO3,NFIB,HSF2,TBX15,PROX1,STAT2,STAT4,TCF4,CREB1,GRHL2,SIX4,BACH2,GLIS3,ETS1,EGR1,NFIX,LMX1B,CUX1,JUNB,TEAD1,NFATC2,JUND,AHR,TCF7L2,EHF,NR3C2,BBX,FOSB,TCF12,RARB,ARID5B,ZBTB20,NFIA,RORA,NPAS2,ASCL1,STAT1,CUX2,PKNOX2,TCF7L1,SIX1,FOS,PPARG,PRDM16,ZBTB18,JUN,SOX9,REST,THRB,SP100,PBX1,RORB,ZEB1,ZBTB7A,BACH1,KMT2A,SMAD3,RUNX1,HIF1A,NFE2L2,SOX6,MECOM
LCOR,,,,,,,,,,,,,,,28.532455674912434,,,,,,28.292656211536517,,,,30.250874438785274,,,,,,,,,,,,,,,31.04494226944929,,,,,,,,31.689251357151978,,,,,,,,,23.04661621363585,31.70603197980368,29.105546301851287,,,,,,,,,
SOX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4460286882068716,,,,,,,,,0.200666221327293,,,,,,,,,,,,0.2568394947464004,,,,,,2.4052200679296183,,,,,,,,,,
MEIS2,,,,,,,41.10379313978774,,,,,,,36.844949253825135,,,,,,,39.64208505257957,,,,,,,,,66.30055760418371,45.263432791115925,,,,,,,,,,,,43.67155387475215,,,,,,,,58.82290253928975,,,62.743769263859164,,,,,42.499717535871085,,,,,,,,,
NFKB1,,,,,,15.345620165511216,14.04359352975395,,,,14.419143280737982,,,,,,,,,,,,,,15.43561504905703,,,10.823591956230132,,,,,,,,,,,,,,,,,15.412835781011651,,,13.101720999410228,,,,,,,,,,,,,,,,,,,,
EPAS1,,,,,,,23.31525848987113,,,25.581116740288017,,,,,,,,,,,19.82458073910022,,,,,,,23.089534674929933,,,,,,,,,,,,,,,28.130919959701448,,,,,24.646063975035084,,,28.33734971403214,20.52108405800139,,,,,,,,,,,,,,,,
ESR1,,,,,,,21.783802541841883,,,,,,,,22.392286114781996,,,,,,23.686610217958293,,,,,20.379684147321395,,19.18042598978011,,,,,,,,,,,36.2020364079434,,,,,,,,,22.34285498082766,,,,21.737205614139484,,,,,,,,,,,,,,,,
FOXO3,,,,,,,181.0,,,,,,,,19.0,,,,,,23.0,,,,,18.0,,,,68.0,,,,,,,,,,18.0,,,21.0,,,,,,,,,20.0,,,,,,52.0,,,,,,,,,,
NFIB,,,,,,,18.36307804900994,75.59948758638176,,,,,,,,,,,,,,,,,,,,,,20.248333393314034,,,,,,,,,,,,,19.52802190493448,,,,,,,,25.703216934040615,14.489412514593182,,,,,16.107562645319092,,,,,,18.585462094870948,,,,,
HSF2,,,,,,,,,,,,,,,,,,,,,24.716540110976222,,,,27.744011255670806,24.65533599613519,,,,,,,,,,,,,,26.003589931984738,,,24.725777173508703,,,,,26.491949567913515,,,,26.053447200642065,,,,,,24.694103951493947,,,,,,,,,,
TBX15,,,25.37407795897476,,,,16.314713874461567,,,,,,,,,,,,,,15.069955398583412,,,,,,21.670004204097488,,,,,,,,,,,,18.206040009722045,,,16.29400514631866,17.913669483036337,,,,,,,,,,26.048585215286508,,,,,,,,,,,,,,,
PROX1,,,26.557812021118508,,,,19.072408327563732,,,,,,,,,,,,,,,,,,,,21.473153670085765,,,21.975286463030766,,,,,,,,,,,,21.10547981862673,16.77134498664207,,18.587633647339757,,,,,,,14.581194373582099,,,,,,,,,,,,,,,,
STAT2,,,15.273643171903826,,,,,,,,,,,14.129642972007613,,,,,,,14.82933824016918,,,,,,17.863041117965405,,,,,,,,,,,,,,,,,,,,,,,,15.114370646256106,,,41.993661054820215,,,12.737194983068363,,14.421041678058252,,,,,,,,,
STAT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28364896448423127,,,,,,,,,,,,,,,,,,,,0.20278568362095042,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435332143517993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,32.40026458940065,,,,,,,,,,,,,,,26.335482879974542,,,,,,,,29.33977725024254,,48.7787592103371,,,,,,33.75234382237097,,32.126046138988116,31.120832506500637,,,,36.779605192838915,,,,,
SIX4,,,23.012433433880958,,,,,,,,,,,16.47550926614119,,,,,,,17.23412874329024,,,,,,22.268331806599623,,,31.43526779611154,,,,,,,,,17.46852160864952,,,,,,,,,,,,,,,,,,,,16.599822870942962,,,,16.810788786939366,,,,,
BACH2,,,,,,,,,,,,,,,,,,,,,30.926445453663863,,,,32.127971957830304,,,32.88827240720143,,41.48650171861348,,,,,,,,,,,,,,,,,,30.893867988900478,28.09413729663144,,,,,,,,,,27.732975545100633,,,,,35.45184493503236,,,,
GLIS3,,,,,,,,,,25.398533477491075,,,,23.006935367749776,,,,,,,,,,,21.596277426715236,20.971581829076683,,22.721057413811465,,41.23980495061132,,,,,,,,,,,,,,,,,,23.11329830160651,,,,,,,,,,,23.824348520061445,,,,,,,,,
ETS1,,,,,,,,,,,,,,25.50070595923602,,,,,,,,,,,24.380075450646594,,,21.52933564423963,,35.60775554295373,,,,,,,,,,22.063432376289715,,,,,,,,23.922232626769578,25.79437424358164,,,,,,,,,29.85207651367675,,,,,,,,,,
EGR1,,,26.221528619184376,,,,,,,,,,,,,,,,,,,,,,37.02719855411028,,,28.02238711485836,,,,,,,,,,,,27.982176817273,,,27.186913075029352,,30.4369263054664,,,39.58636606234668,,,,,,,,,,26.334372722285224,,,,,,,,,,
NFIX,,,,20.35502682836081,,,,,20.40808530693867,,22.982093824041485,,,,,27.00922171016305,,,,,,,,,,,,,,,19.26266397527903,,,,,,,,,17.861076318138565,,,21.407855515677202,,,,,,,,,,,,,,,24.94270163351773,,,,,,,,,,
LMX1B,,,,,,,,,,28.22024984847209,,,,,,,,,,,,,,,25.08158533521326,,,,,,,,,,,,,,,23.253958733959475,,,25.050810276035516,,,,,25.966861785244816,,,31.236121675880863,,,,,,22.720728866478616,26.239329671312458,,,,,,,,,,
CUX1,,,22.021233299163864,,,,,,,18.843159304389502,,,,15.651150392035639,,,,,,,17.61678660548257,,,,17.010637208250213,,,,,27.969299081348616,,,,,,,,,,14.40341697465785,,,,,,,,,,,,,,,,,,17.730605336994614,,,,,,,,,,
JUNB,,,,,,,,,,,3.0,,,2.0,,,,,,,3.0,,,,125.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,
TEAD1,,,,,,,,,,,,,,,9.790509118922245,,,,,,12.783833735264734,,,,11.3754716196434,106.79562828048981,,12.478652649683747,,19.78933422023137,,,,,,,,,,,,,,,,,,15.783206857459168,,,,,,,,,10.263265408563795,,,,,,,,,,,
NFATC2,,,,,,,,,,,,,,,,,,,,,24.371349601396737,,,,21.29770993682944,,,22.929958736660154,,,,,,,,,,,,,,27.51892446598601,,,,,,25.47094655387801,,,,21.445908891193746,,,,,,,20.808664982748052,,,,30.896586500440932,,,,,
JUND,,,,,,,,,,,,,,,,0.05503901045539061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38007885218754434,,,,,,,,,,,,,,,,,,
AHR,,,,,,,,,,,,,,,,,,,,,,,,,14.010262965927579,14.20891294635735,20.972190313799224,14.24802520752026,,,,,,,,,,,,12.523724953599924,,,,,,,,12.821671249808103,,,,,,53.07031486594447,,,,18.387664352739296,,,,,,,,,,
