start-state,dist-to-start,attractor
1161558877011968,1, 35658970169344
35658970169345,0, 35658970169345
35658970169345,1, 176396458524673
35658970169345,1, 35658986946561
35658970169345,1, 35658970169347
35658970169345,1, 35658970169344
35641790300163,1, 35658970169347
2287458783854593,1, 35658970169345
35659238604803,1, 35658970169347
35658970169347,0, 35658970169347
35658970169347,1, 176396458524675
35658970169347,1, 35658986946563
35658970169347,1, 35658970169345
1161558877011971,1, 35658970169347
35521531215875,1, 35658970169347
35658965975041,1, 9042858220716033
35658965975041,1, 35658970169345
21427757195984897,1, 21427757196247041
35658965975043,1, 9042858220716035
35658965975043,1, 35658970169347
139008025002696637,1, 139008024985919421
139008025002696637,1, 139008025011085245
121415907677757373,1, 121415907660980157
121415907677757373,1, 121415907686145981
5265287654485186,1, 5265356373961922
121556645166112703,1, 121556645149335487
121556645166112703,1, 121556645174501311
121556782613454781,1, 121556645174501309
139012423057596349,1, 139008025011085245
139012423057596349,1, 139012423057596348
121556645174501309,0, 121556645174501309
121556645174501309,1, 112549445919760317
121556645174501309,1, 121415907686145981
121556645174501309,1, 121556645107392445
121556645174501309,1, 121556645174499261
121556645174501309,1, 121556645174501293
121556645174501309,1, 121556645174501311
2287458783854595,1, 35658970169347
474598080515,1, 35658970169347
121556645174566847,1, 121556645174501311
121556644100759486,1, 121556645174501310
121556645174501310,0, 121556645174501310
121556645174501310,1, 112549445919760318
121556645174501310,1, 121415907686145982
121556645174501310,1, 121556645107392446
121556645174501310,1, 121556645174499262
121556645174501310,1, 121556645174501311
121415907686145855,1, 121415907686145983
54626248118247426,1, 63633447372988418
121416045125099455,1, 121415907686145983
35658965975040,1, 35658970169344
5247764187917506,1, 5265356373961922
4702406420540610,1, 5265356373961922
121561043221012413,1, 121556645174501309
121561043221012413,1, 121561043221012412
4684882953969728,1, 4684882953971776
121415906612404159,1, 121415907686145983
139571043683983293,1, 121556645174501309
121556645174500286,1, 121556645174501310
121556645174500287,1, 121556645174501311
121415907686144959,1, 121415907686145983
5247764187917504,1, 5265356373961920
5265356373961922,0, 5265356373961922
5265356373961922,1, 5124618885606594
5265356373961922,1, 5265356373961938
5265356373961922,1, 5265356373961920
121556645174501182,1, 121556645174501310
121556610814762943,1, 121556645174501311
139571043683983295,1, 121556645174501311
138867356242206655,1, 138867287522729919
121415907686145853,1, 121415907686145981
21427757195984899,1, 21427757196247043
35641790300160,1, 35658970169344
35659238604801,1, 35658970169345
35641790300161,1, 35658970169345
1161558877011969,1, 35658970169345
35658970169344,0, 35658970169344
35658970169344,1, 176396458524672
35658970169344,1, 35658986946560
35658970169344,1, 35658970169345
35521531215873,1, 35658970169345
35633200365570,1, 35650380234754
35658978557953,1, 35658970169345
35658978557955,1, 35658970169347
121561043221012284,1, 121561043221012412
121556645174501183,1, 121556645174501311
121556645174498239,1, 121556645174499263
54678749802668035,1, 54696341988712451
121561043221011388,1, 121561043221012412
121415907686144957,1, 121415907686145981
121415907686144958,1, 121415907686145982
139008093730561982,1, 139008025011085246
139008025011085247,0, 139008025011085247
139008025011085247,1, 130000825756344255
139008025011085247,1, 138867287522729919
139008025011085247,1, 139008024943976383
139008025011085247,1, 139008025011083199
139008025011085247,1, 139008025011085245
139008025011085247,1, 139008025011085246
35659003723779,1, 35658970169347
54696341989236739,1, 54696341988712451
121557194930315199,1, 121556645174501311
139008093730561983,1, 139008025011085247
121561592976826300,1, 121561043221012412
139008024935587775,1, 139008024918810559
139008024935587775,1, 139008024943976383
121420305732657085,1, 121415907686145981
121420305732657085,1, 121420305732657084
121556645166112701,1, 121556645149335485
121556645166112701,1, 121556645174501309
139008025002696638,1, 139008024985919422
139008025002696638,1, 139008025011085246
121556645174501311,0, 121556645174501311
121556645174501311,1, 112549445919760319
121556645174501311,1, 121415907686145983
121556645174501311,1, 121556645107392447
121556645174501311,1, 121556645174499263
121556645174501311,1, 121556645174501295
121556645174501311,1, 121556645174501309
121556645174501311,1, 121556645174501310
120852957732724671,1, 121415907686145983
121556782613454783,1, 121556645174501311
139008025002696639,1, 139008024985919423
139008025002696639,1, 139008025011085247
121561043221012415,1, 121556645174501311
120993695221079999,1, 121556645174501311
121415907686145983,0, 121415907686145983
121415907686145983,1, 112408708431404991
121415907686145983,1, 121556645174501311
121415907686145983,1, 121415907619037119
121415907686145983,1, 121415907686143935
121415907686145983,1, 121415907686145967
121415907686145983,1, 121415907686145981
121415907686145983,1, 121415907686145982
35656822685699,1, 35658970169347
121556645174500285,1, 121556645174501309
121556645174501181,1, 121556645174501309
