,SCL,CEBPA,PU1,FLI1,FOG1,GATA2,GATA1,CJUN,GFI1,EKLF
SCL,0.3151751888116931,,0.0966811284676669,0.04850675518389663,,0.08454378561904782,0.16520000123001669,,,
CEBPA,0.1374327378775603,0.6864769924155096,,,,,,,,
PU1,,,0.5127009782154587,0.15963607262442175,,0.0681396555299568,0.13600887945163642,,,
FLI1,0.06769287504019272,,0.16045808442294374,0.3064739895693486,,0.06470266058838578,0.10071398390307118,0.11934299135312876,,
FOG1,0.11770395050943089,0.12610832481057993,0.20318534236222605,0.11895707588886784,,0.068729534147153,0.22146676725477793,0.08570225801810998,,
GATA2,0.0731654927348053,,0.06638769433076519,,,0.7068295435075054,0.09966296469914124,,,
GATA1,0.28256670708559817,,,,,0.04656120972139234,0.5560936189140206,,,
CJUN,0.11587802089768906,0.13279927813963527,,0.2578409760708811,,0.10393400623778998,0.10895284661366393,,,
GFI1,0.08777117986108186,0.19827376170104222,,,,0.324982188014629,0.22439261187466836,,,
EKLF,0.1331306110249454,,,,,0.05104863810450217,0.2247031387489105,,,0.2706915295250926
