,SCL,CEBPA,PU1,FLI1,FOG1,GATA2,GATA1,CJUN,GFI1,EKLF
SCL,0.3151751888116931,,-0.07967287498710504,-0.04263061980123947,,0.04712425383776507,0.16520000123001669,,,
CEBPA,-0.1374327378775603,0.6864769924155096,,,,,,,,
PU1,,,0.5127009782154587,0.15963607262442175,,-0.04939730097226522,-0.13600887945163642,,,
FLI1,-0.03938146085353929,,0.15865678429864813,0.3064739895693486,,-0.0014446401185932815,-0.09961446504939478,0.11934299135312876,,
FOG1,0.05642969964513163,-0.03282197151118761,-0.1749050096259293,-0.0755025626518166,,0.06334009512437415,0.2201544856275411,-0.039078652078826916,,
GATA2,0.006619874543455969,,-0.01109102451291474,,,0.7068295435075054,0.0590391232807395,,,
GATA1,0.28256670708559817,,,,,0.024925328191168196,0.5560936189140206,,,
CJUN,-0.08502849194355491,0.05897736566391023,,0.25656270582043483,,0.0884068275492921,-0.09688659190681495,,,
GFI1,0.08173865990140988,0.13253385020937056,,,,0.324982188014629,-0.1155202379769116,,,
EKLF,0.1331306110249454,,,,,0.00035509586997860623,0.2247031387489105,,,0.2706915295250926
