,CEBPA,CJUN,EKLF,FLI1,FOG1,GATA1,GATA2,GFI1,PU1,SCL
CEBPA,0.0,0.1338185420826041,0.0,0.0,0.04469011976150914,0.0,0.0,0.29187603142011925,0.0,0.0
CJUN,0.0,0.0,0.0,0.36381866912343014,0.07526141065051498,0.0,0.0,0.0,0.0,0.0
EKLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLI1,0.0,0.4129259954831858,0.0,0.0,0.16656166957934826,0.0,0.0,0.0,0.5046648050271788,0.2640168620343702
FOG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATA1,0.0,0.2540065982207138,0.5283390998733738,0.280484125843344,0.30457120626319206,0.0,0.3149864722788411,0.16441068541332368,0.3997422067703086,0.49143566445811054
GATA2,0.0,0.04812075014196993,0.017009524881409308,0.023623685819811266,0.04546509747601259,0.03935883131160281,0.0,0.402338735282843,0.09559298820251269,0.05673980314593188
GFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PU1,0.0,0.0,0.0,0.22112101976473192,0.15992084412829904,0.0,0.3107077976597645,0.0,0.0,0.18780767036158735
SCL,1.0,0.15112811407152646,0.45465137524521687,0.1109524994486827,0.20352965214112395,0.9606411686883972,0.37430573006139456,0.1413745478837142,0.0,0.0
