cluster,gene,perturb,mean,count,std,ci95_hi,ci95_lo,ci_sig,mean_sig
Arc_1,ASCL1,activate,-0.02567275,4,0.05574870496178962,0.02896098086255383,-0.08030648086255383,no,no
Arc_1,ASCL1,knockdown,-0.54262475,4,0.025847077686204027,-0.5172946138675201,-0.5679548861324799,yes,yes
Arc_1,BACH1,activate,-0.019052000000000003,4,0.04842900336231035,0.02840842329506414,-0.06651242329506414,no,no
Arc_1,BACH1,knockdown,-0.0903255,4,0.13701827311104653,0.0439524076488256,-0.2246034076488256,no,no
Arc_1,BACH2,activate,0.06353475,4,0.04939311388830768,0.11194000161054152,0.015129498389458478,no,no
Arc_1,BACH2,knockdown,0.08402275,4,0.06378803622610853,0.14653502550158637,0.02151047449841363,no,no
Arc_1,CREB1,activate,0.015669250000000003,4,0.021323243098787765,0.036566028236812015,-0.005227528236812006,no,no
Arc_1,CREB1,knockdown,-0.08104925,4,0.043908761414057966,-0.0380186638142232,-0.12407983618577681,yes,no
Arc_1,CUX2,activate,0.0067515000000000006,4,0.049394467095684576,0.055158077753770886,-0.041655077753770885,no,no
Arc_1,CUX2,knockdown,-0.0428485,4,0.03584280688878407,-0.007722549248991607,-0.0779744507510084,yes,no
Arc_1,EGR1,activate,-0.02434775,4,0.057204092781169655,0.03171226092554626,-0.08040776092554626,no,no
Arc_1,EGR1,knockdown,-0.09163,4,0.042894937051669246,-0.04959296168936414,-0.13366703831063587,yes,no
Arc_1,EHF,activate,-0.03648174999999999,4,0.04338251598186378,0.006033115662226508,-0.07899661566222649,no,no
Arc_1,EHF,knockdown,0.08813825,4,0.04678157889864343,0.13398419732067057,0.042292302679329444,no,no
Arc_1,EPCAM,activate,-0.0027067499999999974,4,0.051357819446020095,0.04762391305709969,-0.05303741305709969,no,no
Arc_1,EPCAM,knockdown,-0.02998075,4,0.040811118120556315,0.010014145758145188,-0.06997564575814519,no,no
Arc_1,ESR1,activate,-0.0290785,4,0.05351505585346987,0.02336625473640047,-0.08152325473640047,no,no
Arc_1,ESR1,knockdown,-0.01173925,4,0.02783460156441978,0.015538659533131383,-0.03901715953313138,no,no
Arc_1,ETS1,activate,-0.0328595,4,0.04624006269819855,0.012455761444234582,-0.07817476144423458,no,no
Arc_1,ETS1,knockdown,-0.07782725,4,0.05216558318390265,-0.026704978479775404,-0.1289495215202246,yes,no
Arc_1,FOS,activate,-0.1895925,4,0.024859555004062332,-0.16523013609601891,-0.21395486390398108,yes,no
Arc_1,FOS,knockdown,-0.0001535,4,0.039230240329793206,0.03829213552319734,-0.03859913552319734,no,no
Arc_1,FOXO3,activate,0.015529000000000005,4,0.05908629123014351,0.07343356540554064,-0.04237556540554063,no,no
Arc_1,FOXO3,knockdown,0.01139625,4,0.08195597682648492,0.09171310728995521,-0.06892060728995522,no,no
Arc_1,GRHL2,activate,-0.0085925,4,0.06364720525155314,0.05378176114652207,-0.07096676114652208,no,no
Arc_1,GRHL2,knockdown,-0.038114249999999995,4,0.06286590412603109,0.02349433604351047,-0.09972283604351045,no,no
Arc_1,HES1,activate,0.16199375000000002,4,0.0523617526723148,0.2133082676188685,0.11067923238113152,no,no
Arc_1,HES1,knockdown,0.13354649999999998,4,0.05157069988213592,0.18408578588449317,0.0830072141155068,no,no
Arc_1,HSF2,activate,-0.030333,4,0.02756735848789289,-0.003316988681864967,-0.05734901131813503,yes,no
Arc_1,HSF2,knockdown,-0.040849750000000004,4,0.036820546550126065,-0.004765614380876464,-0.07693388561912354,yes,no
Arc_1,ICAM1,activate,0.010249250000000001,4,0.04839600691775442,0.05767733677939933,-0.03717883677939933,no,no
Arc_1,ICAM1,knockdown,0.025207,4,0.0589861232381538,0.08301340077339073,-0.03259940077339072,no,no
Arc_1,JUN,activate,-0.39652725,4,0.028363246833123086,-0.3687312681035394,-0.4243232318964606,yes,yes
Arc_1,JUN,knockdown,-0.038010249999999995,4,0.04519447607377845,0.006280336552302888,-0.08230083655230289,no,no
Arc_1,JUNB,activate,0.08375525,4,0.04481416170791699,0.12767312847375864,0.03983737152624136,no,no
Arc_1,JUNB,knockdown,0.07129425,4,0.030184736489104337,0.10087529175932225,0.04171320824067776,no,no
Arc_1,JUND,activate,0.032367,4,0.04364768606314276,0.0751417323418799,-0.010407732341879902,no,no
Arc_1,JUND,knockdown,-0.002485750000000002,4,0.07550139549427767,0.07150561758439211,-0.07647711758439213,no,no
Arc_1,KMT2A,activate,0.043152750000000004,4,0.05035013585135595,0.09249588313432883,-0.0061903831343288265,no,no
Arc_1,KMT2A,knockdown,0.018844,4,0.02540302277289063,0.04373896231743282,-0.00605096231743282,no,no
Arc_1,LMX1B,activate,-0.006702999999999998,4,0.06667709899708193,0.0586405570171403,-0.0720465570171403,no,no
Arc_1,LMX1B,knockdown,-0.1446405,4,0.026923141898126723,-0.11825582093983582,-0.17102517906016418,yes,no
Arc_1,MEIS2,activate,-0.01278,4,0.013768975439976159,0.000713595931176635,-0.026273595931176633,no,no
Arc_1,MEIS2,knockdown,-0.33372575,4,0.008466291056300866,-0.3254287847648251,-0.34202271523517486,yes,yes
Arc_1,NCAM1,activate,-0.0263,4,0.05566386895165181,0.028250591572618774,-0.08085059157261877,no,no
Arc_1,NCAM1,knockdown,-0.03321375,4,0.05582051061139325,0.021490350399165387,-0.08791785039916539,no,no
Arc_1,NFATC2,activate,0.01633275,4,0.0601188530738625,0.07524922601238525,-0.04258372601238525,no,no
Arc_1,NFATC2,knockdown,-0.34579275,4,0.012580789094885903,-0.3334635766870118,-0.35812192331298814,yes,yes
Arc_1,NFIA,activate,0.064939,4,0.05605824557844576,0.11987608066687684,0.010001919333123152,no,no
Arc_1,NFIA,knockdown,-0.06190625000000001,4,0.10128556245380353,0.037353601204727443,-0.16116610120472746,no,no
Arc_1,NFIB,activate,-0.02365525,4,0.04708599807710002,0.02248902811555802,-0.06979952811555802,no,no
Arc_1,NFIB,knockdown,-0.51118025,4,0.008025240074290601,-0.5033155147271953,-0.5190449852728047,yes,yes
Arc_1,NFIX,activate,-0.10417825,4,0.024765381541915855,-0.07990817608892246,-0.12844832391107755,yes,no
Arc_1,NFIX,knockdown,-0.023934249999999997,4,0.03615509262768755,0.011497740775133797,-0.05936624077513379,no,no
