,FLI1,PU1,GATA1,CJUN,EKLF,FOG1,CEBPA,SCL,GFI1,GATA2
FLI1,0.38437033482176935,0.1866686943871802,,0.2080250005002469,,,0.15346309980323486,,,-0.037806194281260405
PU1,,0.781673,,,,,,,,
GATA1,-0.29192919553811525,-0.18888388663508582,,-0.26446026594259986,,,-0.21737441484088885,,,0.07829786094715416
CJUN,0.1724924904105764,0.12333309019486323,,0.5500655499170929,,,0.02871314745572562,,,0.0348305811325028
EKLF,-0.2825797974109393,-0.17330025413270997,,-0.24430927175445002,,,-0.22444991848912457,,,0.039592723421878126
FOG1,-0.22324322495207177,-0.2809098310219824,,-0.21765432683165567,,,-0.16895594485518267,,,0.1066498373716518
CEBPA,0.1513942686377891,0.15220566751201256,,0.032719558742360426,,,0.5523515427607439,,,0.05620085034075947
SCL,-0.22817939990527408,-0.2265699926097119,,-0.24984834920232737,,,-0.13406533801366016,,,0.10153609554713625
GFI1,0.064963573518637,-0.1556505923680364,,0.13344181241373698,,,0.2859396947915154,,,0.2697399238274614
GATA2,-0.03776992077787063,-0.07307289201748682,,0.02936867857587691,,,0.0648653219923774,,,0.6940779170489635
