,FLI1,PU1,GATA1,CJUN,EKLF,FOG1,CEBPA,SCL,GFI1,GATA2
FLI1,0.38437033482176935,0.1866686943871802,,0.21544606533651453,,,0.1578239093628194,,,0.05294077214896079
PU1,,0.781673,,,,,,,,
GATA1,0.29192919553811525,0.1890385415050098,,0.2700122363577664,,,0.2403505235214471,,,0.07829786094715416
CJUN,0.1903580779881241,0.12474869806521156,,0.5500655499170929,,,0.05953037558546079,,,0.060526550176893484
EKLF,0.2886647599027966,0.177451088863427,,0.2560334641957455,,,0.2397297198614089,,,0.1025336797869395
FOG1,0.25013013967971715,0.30264424323114086,,0.24615036895327846,,,0.2752673537015235,,,0.1066498373716518
CEBPA,0.1585763729326422,0.15220566751201256,,0.06702119944851484,,,0.5523515427607439,,,0.06279943268314123
SCL,0.245752674254126,0.23841542181102762,,0.2750476153677524,,,0.21075947827703814,,,0.13217577041123393
GFI1,0.31414987962059915,0.38096719716767935,,0.20516289825269363,,,0.2865069319698629,,,0.2757111046876624
GATA2,0.05774379278247703,0.11924417546814838,,0.07290722072088024,,,0.0945343077591071,,,0.6940779170489635
