gene,r2_6667,roc_auc_score_6667,r2_8888,roc_auc_score_8888,r2_diff
BACH1,0.8889451852231156,0.9889294545675659,0.8890051329180124,0.9889256541743519,5.99476948968114e-05
ZEB1,0.9298943193323815,1.0,0.9316243190650033,1.0,0.0017299997326217786
THRB,0.4661833527268533,0.882248315591103,0.4664623249268509,0.882248315591103,0.000278972199997618
KMT2A,0.8448841862329453,0.9563091382485552,0.8448606747442058,0.9560392455705848,-2.35114887394694e-05
STAT1,0.9219429007095142,1.0,0.9219429007095142,1.0,0.0
SIX1,0.9686492011024463,0.9977611940298508,0.968683169914125,0.9977665628691077,3.3968811678608546e-05
REST,0.9505989759014013,0.9946122781678165,0.9509601831337985,0.9946384388411648,0.0003612072323971871
TCF7L2,0.8608436782082687,0.9691539633611157,0.8606771382934332,0.9691132378859265,-0.00016653991483550623
NFIB,0.9552599562789664,0.9995721215073945,0.955293911846205,0.9995645484367289,3.3955567238619366e-05
NFATC2,0.8688035301035486,0.9767599683126486,0.8691739949553328,0.976851069448112,0.000370464851784158
CUX2,0.8673652608132496,0.9814112392043752,0.8675843776161307,0.9814251425407969,0.00021911680288111413
ASCL1,0.9828073968735531,0.9996655909169658,0.9828160276986176,0.9996615618918689,8.63082506452617e-06
RUNX1,0.8793011409050082,0.9870533309884698,0.8795946914707631,0.9871769858978445,0.00029355056575486316
EGR1,0.7569513585380252,0.9517528088470006,0.7573237649835873,0.9517818278165749,0.00037240644556213454
BACH2,0.34797250556537385,0.9091204974747185,0.34816185736075356,0.9092736608732611,0.0001893517953797108
ESR1,0.9180265010461229,1.0,0.9182751572650333,1.0,0.00024865621891034806
GRHL2,0.9070284999688334,0.9954327357918932,0.9070383994054456,0.9954314707969595,9.899436612226253e-06
STAT2,0.5768096180077645,0.88979059245779,0.5768714170571311,0.8898133404104741,6.17990493665399e-05
ZBTB20,0.969738400243145,0.9993694678687132,0.9699269514612662,0.9993694678687131,0.00018855121812122455
ICAM1,0.8871653854813482,0.979851442778231,0.8869784250712915,0.979814056456017,-0.00018696041005661357
FOXO3,0.7292597247607827,0.9348275279345343,0.7296955701430214,0.9349069019551614,0.00043584538223873093
NFIA,0.8768272146054387,0.9710151031874578,0.876978336614066,0.971135081182983,0.0001511220086273246
TCF7L1,0.7469358522049772,0.950637408568443,0.7473051452726103,0.9506716063455876,0.0003692930676331141
CREB1,0.975735679711676,1.0,0.975735679711676,1.0,0.0
PBX1,0.4250445120498052,0.8565506911542584,0.425354328640581,0.8566602882024446,0.00030981659077577994
RORA_RORB,0.9594859668739117,0.9990155467080858,0.9593152333385255,0.9990115877806385,-0.00017073353538621383
TBX15,0.9516115190170412,0.9981216725489024,0.9515159136062122,0.9981362950555988,-9.560541082898055e-05
SOX11,0.7516723435723596,0.9392839876978779,0.7516555885032605,0.9391849844166265,-1.6755069099039233e-05
HES1,0.832190434955461,0.954313622907309,0.8320376828561253,0.9542383370763576,-0.00015275209933562905
SIX4,0.977431340233158,0.99861613852374,0.9768448936512639,0.9986452445968546,-0.0005864465818941067
MEIS2,0.9258754782806721,0.9837886248145693,0.9262109895269929,0.9838241328157056,0.00033551124632080764
PROX1,0.9119485829233314,0.9955183297763457,0.9120614518829742,0.9954794287178345,0.00011286895964279786
FOS,0.8107868092475858,0.9762358853267945,0.8111408745735067,0.976288862652499,0.0003540653259208604
TFDP1,0.9401183341473218,1.0,0.9401183341473218,1.0,0.0
NFKB1,0.8845447418003036,0.990820721394887,0.8846507379799703,0.9908131498150641,0.00010599617966666752
LMX1B,0.9118760294929438,0.9848077436719264,0.9121063966131087,0.9849040516107823,0.00023036712016488714
PKNOX2,0.9047849513542573,0.9873543093085245,0.9049883291048455,0.9873778288820363,0.00020337775058820728
EPCAM,0.925881560225876,0.9950003527976856,0.9258653923280249,0.9949953128307478,-1.6167897851082635e-05
JUN,0.9252846041993286,0.9940920681176578,0.9254613727906685,0.9941059810379544,0.0001767685913399708
HSF2,0.9183464418727634,0.9928189205604541,0.9182857739803998,0.9927652522671582,-6.066789236358616e-05
EHF,0.5419610431500739,0.8874572926131816,0.5418790210949831,0.8872783343268459,-8.20220550907802e-05
NR6A1,0.9528948882062129,1.0,0.953292912630992,1.0,0.0003980244247790976
SOX9,0.9295280892650459,1.0,0.929351808577076,1.0,-0.0001762806879699319
ETS1,0.9071301376875426,0.9914333074920743,0.9073645566016166,0.9914396102381808,0.0002344189140740527
NCAM1,0.9671331834632708,0.9966818990402538,0.9674372580704378,0.996676573035503,0.0003040746071669709
SMAD3,0.9320411506446821,0.9943611790189699,0.9318063486092483,0.9943598525496729,-0.00023480203543380096
JUNB,0.33454120914489094,0.8274953635575625,0.33456083726188235,0.827467645695164,1.9628116991410316e-05
JUND,0.9251145988689511,1.0,0.9256892278580732,1.0,0.0005746289891220835
NFYC,0.9449899166818441,1.0,0.9449899166818441,1.0,0.0
RBPJ,0.961307984105447,1.0,0.961307984105447,1.0,0.0
TCF4,0.9473402880973392,1.0,0.947340745045425,1.0,4.5694808581409063e-07
TEAD1,0.9780356167189944,0.9994696270129924,0.9781057392769814,0.999468367219674,7.012255798699574e-05
NFIX,0.9422455883376544,0.9809150876811987,0.9424634072594222,0.9808988001520169,0.000217818921767865
