name,n_cells,baseline_r2,r2_8888,baseline_r2_median,r2_8888_median,baseline_auc,auc_8888
organoid_celltag_RPM,1191,0.26611459865588005,0.26426164770194593,0.318628918020598,0.3182713786467838,0.767194501549931,0.7669623361656979
tbo_allograft_5khvg_RPM_CTpreCre,1599,0.20716812801946077,0.206238016532773,0.2167560973671323,0.21402252502268482,0.7401253883688382,0.7402209555909349
organoid_celltag_WT,1767,0.3154401413376259,0.3128512669212724,0.3854053217299189,0.3877149888575855,0.7902233671809392,0.7902075974799515
tbo_allograft_5khvg_RPM_CTpostCre,2836,0.0856178276254684,0.08573246614147449,0.0762885384274207,0.07642241934748617,0.6905197177296631,0.6909601094549873
organoid_celltag_RPMA,6131,0.22908731118796802,0.22755167902919687,0.240420150106185,0.24006712812100073,0.7534277118742438,0.7532561639447248
cgrp_k5_CGRP,7628,0.08694952506115651,0.0858940869012307,0.0061818295953847,0.0048592717438604716,0.6935977637778495,0.6936153213520844
rpr2_allograft_RPR2,8792,0.10328555830266575,0.10195238852413775,-0.0450537744573975,-0.04522057869050178,0.6933611531021373,0.6930753053939404
celltag_fate_dpt_RPMA,10160,0.13804494496476774,0.13716574597580425,0.028376000312816,0.028075653590149963,0.7201312212700657,0.7198612326859166
rpr2_allograft_RPM,10572,0.10405225508296186,0.10366558283043573,0.0938202561693204,0.0909516899789764,0.6958540893452222,0.6962523999079078
celltag_fate_dpt_RPM,16458,0.05894467795896695,0.05849526230705226,0.0129215100934463,0.01253129426344024,0.679859078831212,0.6803281558745431
cgrp_k5_K5,20046,0.10254198157359858,0.10215132555305917,0.0554939177859915,0.05598231681200949,0.7042967239638672,0.704531810912631
