start-state,dist-to-start,attractor
2909823858155040,1, 2909755138678304
2909720778939938,1, 2909755138678306
2909823925263906,1, 2910923436891682
2909755138678306,0, 2909755138678306
2909755138678306,1, 2907556115422754
2909755138678306,1, 2909755407113762
2909755138678306,1, 2909755121901090
2909755138678306,1, 2909755138416162
2909755138678306,1, 2909755138678314
2909755138678306,1, 2909755138678304
3051660925247008,1, 2910923436891680
2909823925263904,1, 2910923436891680
2909823858155042,1, 2909755138678306
2910923436891680,0, 2910923436891680
2910923436891680,1, 2910923705327136
2910923436891680,1, 2910923420114464
2910923436891680,1, 2910923436629536
2910923436891680,1, 2910923436891682
2909823841377826,1, 2909755121901090
2909823841377824,1, 2909755121901088
2910923436891688,1, 2910923436891680
2910923436891688,1, 2910923436891690
4186357193678452,1, 3060457286835828
