,GATA1,GATA2,PU1,FLI1,CEBPA,EKLF,GFI1,FOG1,SCL,CJUN
GATA1,0.0,0.0,0.0,-1.3222417847784262,0.0,0.0,0.0,1.0971541898738706,1.2304335526150496,0.0
GATA2,0.0,0.0,0.0,-0.1974880103112211,0.0,0.0,0.0,0.20476970419520865,-0.14794703092480363,0.0
PU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLI1,-0.03873498972860461,0.002254535683524722,0.3725203580975603,0.0,0.0,0.0,-0.0032760567830364554,0.0,-0.0063905774035788,0.0
CEBPA,0.0,0.0,0.0,0.0,0.0,-3.352544610066386,0.0,0.0,0.0,0.0
EKLF,0.2647505841797044,0.0,0.0,0.0,0.0,0.0,-0.00824221490670497,0.0,0.0,0.0
GFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCL,0.0,0.0,-0.06687305641612844,-0.056306635872956166,0.0,0.0,0.0065561454830924395,-0.2791016887717148,0.0,0.0
CJUN,0.0,0.0,0.011976894371359863,0.33882484506746724,0.0,0.0,0.0,0.0,0.0,0.0
