,GATA1,GATA2,PU1,FLI1,CEBPA,EKLF,GFI1,FOG1,SCL,CJUN
GATA1,0.0,0.0,0.0,0.0,0.03987839014532729,2.089770634552482,0.0,0.5745135491438531,1.2285182060428588,-1.8447878764005998
GATA2,0.1260492801272319,0.0,0.0,0.0,0.0,-0.33451914403742344,0.0,0.275497556801709,-0.14492868436868486,0.0
PU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124604086441241
FLI1,-0.039993572960439865,0.002254535683524722,0.0,0.0,0.05116021913400609,0.05045515260330398,-0.0026774503944847765,-0.0468328375896153,-0.0008235787627218976,0.0
CEBPA,0.0,0.0,0.0,0.0,0.0,-0.012711659499030824,0.0,0.0,-0.10001379952814976,0.4956030196949967
EKLF,0.3145665177639224,0.0,0.0,0.0,-0.015212219121750602,0.0,0.0,0.22069883859538614,0.0,0.35056938715044417
GFI1,0.0,0.0,0.0,0.0,0.05934243966846285,0.0,0.0,0.0,0.0,0.9027350860457887
FOG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCL,-0.1268464383221995,0.0,0.0,0.0,0.0,1.0296505963841753,-0.011732464700722443,-0.5092414644452747,0.0,-0.4117959682802672
CJUN,0.0,0.0,0.2352574423418648,0.0,0.010476931498046047,0.01529106757513804,0.0,0.0,0.0,0.0
