,tf,target,key
2,Arntl,4930517M08Rik,Arntl_4930517M08Rik
21,Arntl,Cldn34d,Arntl_Cldn34d
204,Ctcf,2610005L07Rik,Ctcf_2610005L07Rik
302,Ctcf,6820431F20Rik,Ctcf_6820431F20Rik
1683,Ctcf,Gm525,Ctcf_Gm525
1763,Ctcf,Greb1,Ctcf_Greb1
4185,Ep300,Gm525,Ep300_Gm525
4206,Ep300,Kpna1,Ep300_Kpna1
4274,Foxo1,Btrc,Foxo1_Btrc
4277,Foxo1,Ccpg1,Foxo1_Ccpg1
4282,Foxo1,Crebl2,Foxo1_Crebl2
4290,Foxo1,Fam168a,Foxo1_Fam168a
4293,Foxo1,Fyco1,Foxo1_Fyco1
4294,Foxo1,Gid4,Foxo1_Gid4
4312,Foxo1,Mfsd11,Foxo1_Mfsd11
4329,Foxo1,Plaa,Foxo1_Plaa
4330,Foxo1,Pnkd,Foxo1_Pnkd
4335,Foxo1,Rnf44,Foxo1_Rnf44
4364,Gata4,1700057H21Rik,Gata4_1700057H21Rik
4371,Gata4,2310043M15Rik,Gata4_2310043M15Rik
4372,Gata4,2700054A10Rik,Gata4_2700054A10Rik
4390,Gata4,Akr1c13,Gata4_Akr1c13
4395,Gata4,Ankrd1,Gata4_Ankrd1
4422,Gata4,Brox,Gata4_Brox
4435,Gata4,Cldn34d,Gata4_Cldn34d
4441,Gata4,Crip2,Gata4_Crip2
4465,Gata4,E030030I06Rik,Gata4_E030030I06Rik
4498,Gata4,Gm35584,Gata4_Gm35584
4502,Gata4,Gm525,Gata4_Gm525
4510,Gata4,Got1,Gata4_Got1
4515,Gata4,Greb1,Gata4_Greb1
4526,Gata4,Il31ra,Gata4_Il31ra
4535,Gata4,Kpna1,Gata4_Kpna1
4536,Gata4,Krt79,Gata4_Krt79
4556,Gata4,Mir6236,Gata4_Mir6236
4558,Gata4,Mir6923,Gata4_Mir6923
4559,Gata4,Mir7010,Gata4_Mir7010
4568,Gata4,Myl2,Gata4_Myl2
4570,Gata4,Mylk3,Gata4_Mylk3
4572,Gata4,N6amt1,Gata4_N6amt1
4585,Gata4,Ntn1,Gata4_Ntn1
4598,Gata4,Panx1,Gata4_Panx1
4638,Gata4,Rpp25,Gata4_Rpp25
4654,Gata4,Slc14a1,Gata4_Slc14a1
4662,Gata4,Smtnl2,Gata4_Smtnl2
4669,Gata4,Spert,Gata4_Spert
4673,Gata4,Spty2d1,Gata4_Spty2d1
4679,Gata4,St6galnac4,Gata4_St6galnac4
4687,Gata4,Tcf3,Gata4_Tcf3
4688,Gata4,Tedc2,Gata4_Tedc2
4693,Gata4,Ticam1,Gata4_Ticam1
4697,Gata4,Tmem125,Gata4_Tmem125
4698,Gata4,Tmem184a,Gata4_Tmem184a
4703,Gata4,Tnni1,Gata4_Tnni1
4705,Gata4,Tnnt2,Gata4_Tnnt2
4716,Gata4,Ttc32,Gata4_Ttc32
4718,Gata4,Txndc11,Gata4_Txndc11
4725,Gata4,Urm1,Gata4_Urm1
4730,Gata4,Vstm2l,Gata4_Vstm2l
4733,Gata4,Wdr95,Gata4_Wdr95
4736,Gata4,Zc3h6,Gata4_Zc3h6
4746,Mef2c,0610039K10Rik,Mef2c_0610039K10Rik
4748,Mef2c,1110046J04Rik,Mef2c_1110046J04Rik
4749,Mef2c,1500004A13Rik,Mef2c_1500004A13Rik
4750,Mef2c,1500015L24Rik,Mef2c_1500015L24Rik
4751,Mef2c,1700001K19Rik,Mef2c_1700001K19Rik
4752,Mef2c,1700001K23Rik,Mef2c_1700001K23Rik
4759,Mef2c,1700034E13Rik,Mef2c_1700034E13Rik
4761,Mef2c,1700049E15Rik,Mef2c_1700049E15Rik
4762,Mef2c,1700072O05Rik,Mef2c_1700072O05Rik
4763,Mef2c,1700092K14Rik,Mef2c_1700092K14Rik
4765,Mef2c,1700108F19Rik,Mef2c_1700108F19Rik
4769,Mef2c,1810034E14Rik,Mef2c_1810034E14Rik
4772,Mef2c,1810063I02Rik,Mef2c_1810063I02Rik
4774,Mef2c,2010111I01Rik,Mef2c_2010111I01Rik
4777,Mef2c,2210408I21Rik,Mef2c_2210408I21Rik
4778,Mef2c,2210409D07Rik,Mef2c_2210409D07Rik
4779,Mef2c,2210420H20Rik,Mef2c_2210420H20Rik
4780,Mef2c,2310022A10Rik,Mef2c_2310022A10Rik
4781,Mef2c,2310040G24Rik,Mef2c_2310040G24Rik
4782,Mef2c,2310043O21Rik,Mef2c_2310043O21Rik
4788,Mef2c,2610528A11Rik,Mef2c_2610528A11Rik
4790,Mef2c,2810004N23Rik,Mef2c_2810004N23Rik
4793,Mef2c,2900026A02Rik,Mef2c_2900026A02Rik
4796,Mef2c,3425401B19Rik,Mef2c_3425401B19Rik
4797,Mef2c,3632451O06Rik,Mef2c_3632451O06Rik
4798,Mef2c,4833412C05Rik,Mef2c_4833412C05Rik
4801,Mef2c,4921509O07Rik,Mef2c_4921509O07Rik
4803,Mef2c,4921533I20Rik,Mef2c_4921533I20Rik
4805,Mef2c,4930413F20Rik,Mef2c_4930413F20Rik
4806,Mef2c,4930414N06Rik,Mef2c_4930414N06Rik
4807,Mef2c,4930417O22Rik,Mef2c_4930417O22Rik
4808,Mef2c,4930432L08Rik,Mef2c_4930432L08Rik
4816,Mef2c,4930500L23Rik,Mef2c_4930500L23Rik
4821,Mef2c,4930564D02Rik,Mef2c_4930564D02Rik
4826,Mef2c,4930583K01Rik,Mef2c_4930583K01Rik
4827,Mef2c,4930590A17Rik,Mef2c_4930590A17Rik
4831,Mef2c,4931430N09Rik,Mef2c_4931430N09Rik
4834,Mef2c,4933406D12Rik,Mef2c_4933406D12Rik
4835,Mef2c,4933406I18Rik,Mef2c_4933406I18Rik
4837,Mef2c,4933412E24Rik,Mef2c_4933412E24Rik
4838,Mef2c,4933413L06Rik,Mef2c_4933413L06Rik
4839,Mef2c,4933415F23Rik,Mef2c_4933415F23Rik
4844,Mef2c,5430427M07Rik,Mef2c_5430427M07Rik
4845,Mef2c,5930438M14Rik,Mef2c_5930438M14Rik
4846,Mef2c,6030440G07Rik,Mef2c_6030440G07Rik
4847,Mef2c,6430548M08Rik,Mef2c_6430548M08Rik
4848,Mef2c,6430562O15Rik,Mef2c_6430562O15Rik
4849,Mef2c,6430584L05Rik,Mef2c_6430584L05Rik
4850,Mef2c,6720489N17Rik,Mef2c_6720489N17Rik
4856,Mef2c,9130221F21Rik,Mef2c_9130221F21Rik
4857,Mef2c,9230104L09Rik,Mef2c_9230104L09Rik
4860,Mef2c,9330111N05Rik,Mef2c_9330111N05Rik
4862,Mef2c,9330162B11Rik,Mef2c_9330162B11Rik
4863,Mef2c,9430091E24Rik,Mef2c_9430091E24Rik
4865,Mef2c,9930111J21Rik2,Mef2c_9930111J21Rik2
4866,Mef2c,A230028O05Rik,Mef2c_A230028O05Rik
4869,Mef2c,A530013C23Rik,Mef2c_A530013C23Rik
4871,Mef2c,A630001O12Rik,Mef2c_A630001O12Rik
4873,Mef2c,A730004F24Rik,Mef2c_A730004F24Rik
4874,Mef2c,A730020E08Rik,Mef2c_A730020E08Rik
4877,Mef2c,A830009L08Rik,Mef2c_A830009L08Rik
4878,Mef2c,A830010M20Rik,Mef2c_A830010M20Rik
4883,Mef2c,AI839979,Mef2c_AI839979
4893,Mef2c,Abl1,Mef2c_Abl1
4894,Mef2c,Ablim1,Mef2c_Ablim1
4896,Mef2c,Abraxas1,Mef2c_Abraxas1
4897,Mef2c,Acadm,Mef2c_Acadm
4899,Mef2c,Acat1,Mef2c_Acat1
4902,Mef2c,Acot2,Mef2c_Acot2
4908,Mef2c,Actc1,Mef2c_Actc1
4910,Mef2c,Actn4,Mef2c_Actn4
4911,Mef2c,Actr3,Mef2c_Actr3
4913,Mef2c,Actrt3,Mef2c_Actrt3
4916,Mef2c,Adamtsl4,Mef2c_Adamtsl4
4917,Mef2c,Adamtsl5,Mef2c_Adamtsl5
4919,Mef2c,Adcy6,Mef2c_Adcy6
4920,Mef2c,Adcy7,Mef2c_Adcy7
4922,Mef2c,Adgrg6,Mef2c_Adgrg6
4923,Mef2c,Adgrl4,Mef2c_Adgrl4
4925,Mef2c,Adnp2,Mef2c_Adnp2
4926,Mef2c,Adprhl1,Mef2c_Adprhl1
4931,Mef2c,Aebp2,Mef2c_Aebp2
4932,Mef2c,Agfg1,Mef2c_Agfg1
4940,Mef2c,Aldh1a1,Mef2c_Aldh1a1
4941,Mef2c,Aldh1l1,Mef2c_Aldh1l1
4942,Mef2c,Aldh2,Mef2c_Aldh2
4943,Mef2c,Aldh3a2,Mef2c_Aldh3a2
4946,Mef2c,Aldoart1,Mef2c_Aldoart1
4955,Mef2c,Ankhd1,Mef2c_Ankhd1
4956,Mef2c,Ankrd1,Mef2c_Ankrd1
4960,Mef2c,Ankrd34a,Mef2c_Ankrd34a
4962,Mef2c,Ankrd40,Mef2c_Ankrd40
4963,Mef2c,Ankrd61,Mef2c_Ankrd61
4967,Mef2c,Antxr1,Mef2c_Antxr1
4969,Mef2c,Anxa11,Mef2c_Anxa11
4970,Mef2c,Anxa6,Mef2c_Anxa6
4977,Mef2c,Apol7a,Mef2c_Apol7a
4978,Mef2c,Appbp2,Mef2c_Appbp2
4979,Mef2c,Aqp1,Mef2c_Aqp1
4980,Mef2c,Aqp8,Mef2c_Aqp8
4982,Mef2c,Arap1,Mef2c_Arap1
4983,Mef2c,Arf2,Mef2c_Arf2
4987,Mef2c,Arhgap23,Mef2c_Arhgap23
4988,Mef2c,Arhgap32,Mef2c_Arhgap32
4989,Mef2c,Arhgap6,Mef2c_Arhgap6
4990,Mef2c,Arhgef12,Mef2c_Arhgef12
4991,Mef2c,Arhgef2,Mef2c_Arhgef2
4992,Mef2c,Arid1a,Mef2c_Arid1a
4994,Mef2c,Arid5a,Mef2c_Arid5a
4999,Mef2c,Arnt,Mef2c_Arnt
5000,Mef2c,Arpc5,Mef2c_Arpc5
5003,Mef2c,Arvcf,Mef2c_Arvcf
5006,Mef2c,Ash1l,Mef2c_Ash1l
5011,Mef2c,Atf3,Mef2c_Atf3
5015,Mef2c,Atl2,Mef2c_Atl2
5017,Mef2c,Atp1a2,Mef2c_Atp1a2
5018,Mef2c,Atp1b3,Mef2c_Atp1b3
5019,Mef2c,Atp2c1,Mef2c_Atp2c1
5020,Mef2c,Atp5g1,Mef2c_Atp5g1
5021,Mef2c,Atp5h,Mef2c_Atp5h
5022,Mef2c,Atxn1l,Mef2c_Atxn1l
5024,Mef2c,Axin2,Mef2c_Axin2
5025,Mef2c,Azin1,Mef2c_Azin1
5026,Mef2c,Azin2,Mef2c_Azin2
5032,Mef2c,B4galt6,Mef2c_B4galt6
5033,Mef2c,B930095G15Rik,Mef2c_B930095G15Rik
5034,Mef2c,BB123696,Mef2c_BB123696
5038,Mef2c,Bag3,Mef2c_Bag3
5042,Mef2c,Bbc3,Mef2c_Bbc3
5044,Mef2c,Bcar1,Mef2c_Bcar1
5047,Mef2c,Bdnf,Mef2c_Bdnf
5048,Mef2c,Bdp1,Mef2c_Bdp1
5049,Mef2c,Bin3,Mef2c_Bin3
5050,Mef2c,Birc5,Mef2c_Birc5
5054,Mef2c,Bmp10,Mef2c_Bmp10
5055,Mef2c,Bmpr1a,Mef2c_Bmpr1a
5056,Mef2c,Bmt2,Mef2c_Bmt2
5058,Mef2c,Bola2,Mef2c_Bola2
5059,Mef2c,Brd7,Mef2c_Brd7
5060,Mef2c,Bri3bp,Mef2c_Bri3bp
5061,Mef2c,Brk1,Mef2c_Brk1
5062,Mef2c,Brox,Mef2c_Brox
5064,Mef2c,Btbd2,Mef2c_Btbd2
5065,Mef2c,Btbd6,Mef2c_Btbd6
5066,Mef2c,Btg2,Mef2c_Btg2
5071,Mef2c,C1qtnf4,Mef2c_C1qtnf4
5074,Mef2c,C730036E19Rik,Mef2c_C730036E19Rik
5076,Mef2c,Caap1,Mef2c_Caap1
5079,Mef2c,Cald1,Mef2c_Cald1
5082,Mef2c,Camk2a,Mef2c_Camk2a
5090,Mef2c,Casp3,Mef2c_Casp3
5092,Mef2c,Cavin1,Mef2c_Cavin1
5094,Mef2c,Cbwd1,Mef2c_Cbwd1
5095,Mef2c,Cbx5,Mef2c_Cbx5
5096,Mef2c,Ccar1,Mef2c_Ccar1
5103,Mef2c,Ccdc63,Mef2c_Ccdc63
5104,Mef2c,Ccdc68,Mef2c_Ccdc68
5106,Mef2c,Ccer1,Mef2c_Ccer1
5110,Mef2c,Ccl7,Mef2c_Ccl7
5111,Mef2c,Ccna2,Mef2c_Ccna2
5112,Mef2c,Ccnl1,Mef2c_Ccnl1
5113,Mef2c,Ccnt2,Mef2c_Ccnt2
5114,Mef2c,Ccr3,Mef2c_Ccr3
5115,Mef2c,Ccser2,Mef2c_Ccser2
5116,Mef2c,Cd1d1,Mef2c_Cd1d1
5117,Mef2c,Cd28,Mef2c_Cd28
5118,Mef2c,Cd300lb,Mef2c_Cd300lb
5119,Mef2c,Cd44,Mef2c_Cd44
5122,Mef2c,Cdc42,Mef2c_Cdc42
5123,Mef2c,Cdc42bpa,Mef2c_Cdc42bpa
5130,Mef2c,Cdk19,Mef2c_Cdk19
5132,Mef2c,Cdk4,Mef2c_Cdk4
5133,Mef2c,Cdk5rap1,Mef2c_Cdk5rap1
5135,Mef2c,Cdk7,Mef2c_Cdk7
5136,Mef2c,Cdkn2aip,Mef2c_Cdkn2aip
5138,Mef2c,Cdr2,Mef2c_Cdr2
5141,Mef2c,Cdv3,Mef2c_Cdv3
5144,Mef2c,Celf2,Mef2c_Celf2
5146,Mef2c,Cenpa,Mef2c_Cenpa
5150,Mef2c,Cep192,Mef2c_Cep192
5152,Mef2c,Cep55,Mef2c_Cep55
5156,Mef2c,Cetn3,Mef2c_Cetn3
5160,Mef2c,Cfl2,Mef2c_Cfl2
5163,Mef2c,Chchd1,Mef2c_Chchd1
5164,Mef2c,Chd1,Mef2c_Chd1
5166,Mef2c,Chd9,Mef2c_Chd9
5172,Mef2c,Chst3,Mef2c_Chst3
5174,Mef2c,Cirbp,Mef2c_Cirbp
5176,Mef2c,Ckap4,Mef2c_Ckap4
5179,Mef2c,Clca3a1,Mef2c_Clca3a1
5180,Mef2c,Clca3a2,Mef2c_Clca3a2
5184,Mef2c,Cldn10,Mef2c_Cldn10
5185,Mef2c,Cldn18,Mef2c_Cldn18
5188,Mef2c,Cldn34b2,Mef2c_Cldn34b2
5189,Mef2c,Cldn34d,Mef2c_Cldn34d
5190,Mef2c,Cldn4,Mef2c_Cldn4
5191,Mef2c,Clec4n,Mef2c_Clec4n
5192,Mef2c,Clec9a,Mef2c_Clec9a
5193,Mef2c,Clic5,Mef2c_Clic5
