,clusters
Prdm16,3
Mecom,1
Runx1,3
Ahr,1
Esr1,3
Rarb,3
Npas2,1
Tcf7l2,1
Nfia,1
Sox5,1
Meis2,0
Prox1,0
Ascl1,0
Tbx15,0
Rorb,0
Jund,4
Fosb,4
Jun,4
Fos,4
Junb,4
Egr1,4
Kmt2a,2
Lmx1b,0
Nfatc2,2
Bach1,1
Hif1a,2
Hsf2,2
Six1,2
Six4,2
Ets1,2
Pknox2,2
Cux2,0
Tfdp1,0
Nfib,3
Pbx1,5
Tcf12,0
Zbtb20,4
Creb1,0
Bbx,2
Kdm2a,2
Lcor,2
Trps1,0
Nr3c2,2
Tcf4,0
Sox6,0
Zeb1,0
Epas1,1
Smad3,5
Sp100,1
Nfix,3
Bach2,1
Foxo3,5
Glis3,1
Ehf,5
Nfe2l2,3
Tcf7l1,3
Arid5b,3
Thrb,3
Cux1,3
Grhl2,1
Stat1,1
Stat2,3
Nr6a1,4
Tead1,5
Nfkb1,5
Nfyc,5
Stat4,2
Pparg,1
