x,Generalist,1,2,3,4,variable
NE_1,1143,5,31,7,238,NE_1
NE_2,740,209,68,10,44,NE_2
NE_3,556,112,322,22,6,NE_3
NE_4,481,2,61,51,250,NE_4
NE_5,504,191,29,2,15,NE_5
NE_6,299,71,58,56,13,NE_6
NE_7,126,26,9,3,13,NE_7
NE_8,71,2,23,0,4,NE_8
NFIB high_NE,293,4,6,11,39,NFIB high_NE
